Section,Content
Import Documentation,"CITES Certificate
To enable clearance for CITES shipments, please ensure CITES Certificate is forwarded by Express service.
Packing List
Packing list is not mandatory required.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS."
Clearance Information,"Customs Clearance Process
The Australian Quarantine and Inspection Service screens all goods that are imported into Australia. The shipping documents for all regulated or non-compliant shipments are inspected. Incomplete invoices as well as goods requiring an import permit and inspection are charged an inspection fee. Using the following words to describe a shipment will incur Quarantine inspections and fees: wood, sample, gift, present, sporting goods, used goods, food, and nutritional supplements. Quarantine inspections delay Customs clearance.
Note: All used items are Quarantine inspected.
Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Package Delivery
The air waybill (AWB) must include the consignee name, telephone number and physical address. Do not include the name and address of the Customs broker.
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping.
High Weight with Low Value Imports
Australian Customs will request for Evidence of Money Price Paid (EMPP) if the total weight or number of packages relative to the value declared seems unrealistic. (for example: A shipment with 5 packages of Printed Advertising material that weighs 100 kg and costs $50.00 AUD. If the Advertising material is provided free of charge, the import paperwork must declare the fair market value or actual cost of the goods in the country or territory of export.)
Failure to comply will cause delays.
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver.
Clearance Comments
The Australian Customs Service randomly holds 5 percent of all formal entry shipments for a documentary and physical examination of the goods. This process can cause delays of 24 to 72 hours.
Import Charges
For Importations into AU, if the value of the goods is under AUD $1000.00 no Import charges will be applicable (excluding alcohol and tobacco).
If the value of the goods is over AUD $1000.00, the goods will be subject to 10% GST (goods and services tax) and depending on the goods and Origin, may also be subject to 5% Duty, and a Customs Entry (TRADEGATE) processing fee of AUD $88.00 and this fee increases to AUD $190.00 when the value of the goods is valued over AUD $10,000.00."
Areas Served,"Service is provided to and from certain cities.
Service agents are used in areas of New South Wales, Victoria, Queensland and Western Australia.
Norfolk Island is a territory of Australia. For Rates/TNT use AU  Country or Territory, Postal code  2899 and City  Norfolk Island
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Rest Days:
Sunday, Saturday, and official holidays.
GMT:
Spring +1000/ Fall +0900
Language:
English
Currency:
Australian Dollar(AUD), Romanian New Lei(RON), US Dollar(USD)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to Australia. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Samples
The invoice must state the material composition of the sample. Samples without clear description will be subject to quarantine inspection. All quarantine costs are charged to the importer, unless the shipment is Free Domicile, which will result in charges to the shipper. There is a typical minimum 1 day delay.
Veterinary Products
Require import permit from Australian Quarantine and Inspection Service.
Other
Packing Materials
Straw is strictly prohibited (non-compliance will result in longer delays). All packages containing straw will be stopped and the straw will be removed. This will be done at the importer's expense and with delays ranging from 48 hours to 2 weeks. The cost for this and the delay time will be based on the size of the package.
Shoes
Under Trade Marking requirements shoes must be individually marked in a permanent manner with the country or territory of origin and their content material(s).
Cosmetics
Shipments of cosmetic products more than 250mg/kg of lead, require approval from the Ministry for Justice and Customs. This does not apply to those designed for use in hair treatments.
Jewelry
Jewelery Shipments with a value less than $1000.00 AUD require Evidence of Price Paid or Sale. This can be in the form of Bank Statements showing proof of payment for the goods, or Credit Card statements or other Receipts showing the actual monetary transaction for the goods.
Vitamins
Full ingredient listing must be provided on the invoice. Customs may hold shipments for inspection.
Toys
Any painted item must be labelled with the words ""Paint not containing lead"".
Videos
Subject to censorship for objectionable material.
Compact Discs
Subject to censorship for objectionable material.
Tobacco Products
 Tobacco products now require written permission to be shipped.must have a valid import permit before goods arrive in AU.
If the goods arrive in AU and you dont have a Valid Import Permit you cant apply for one after the goods arrived they will get seized you cant return them and cant transship them.
 Certain types of tobacco products are exempt from this regulation (smokeless tobacco, cigars and unmanufactured tobacco).
Wood and Products made of Wood
Wooden furniture and other wooden products should be fumigated prior to export. Shipments should include a Fumigation Certificate issued by a fumigation inspector to avoid delays. The Fumigation Certificate should be attached to the shipping documentation. All items made of wood, cane, bamboo and rattan imported into Australia must undergo quarantine checks, which could add 1 to 2 days of delay.
For solid wood packing and dunnage, AQIS will require mandatory compliance with ISPM 15. This can either be in the form of a phytosanitary certificate or an IPPC logo.
In the event of non-compliance , the package will be treated, destroyed or re-exported. Charges will apply in these instances.
Clothing
All clothing must contain labels. The labels must state the material composition and country or territory of origin. This label must be sewn into the garment, where the customer can see the markings, if the garments are packaged. If the packaging is not transparent, the markings must also be on the packaging.
Pharmaceuticals
Require import permit from Therapeutic Goods Administration (TGA).
Used Items
Quarantine will hold and inspect all used goods. Minimum quarantine charge of 36 AUD applies.
Dairy
Requires an import permit from Dept of Agriculture, Forestry and Fisheries.
Tires
The manufacturer must issue a certificate certifying that the tire is free from mosquitoes and/or their larvae.
Goods of Taiwan Origin
Increased quarantine measures are being applied for products produced in Taiwan as a result of the confirmed outbreak of Foot and Mouth Disease.
Import Permits and applications for products with more than 10% of dairy content; semen, embryos and other biological products of susceptible species are to be assessed and appropriate measures or suspension in line with new requirements as a result of the outbreak will be imposed. All affected business will be informed of changes affecting their Import Permits.
Further, import for the following products will be assessed on a case by case basis depending on manufacturing processing and other treatment being sufficient to manage the risk of Foot and Mouth Disease:
Used farming equipment
Saddlery, harnesses & tacks
Scoured wool, animal hair and leather products
Processed canned and dried pet food
Biological Products from non-susceptible species
Processed meat of dairy products (for example, chocolate and confectionary, highly processed cheese; shelf stable hermetically sealed/retorted meat and dairy products)
For further information, please visit the following website: http://www.daff.gov.au
Telephone Equipment
Portable telephones require an Import Permit.
Food
Restrictions will depend on the product itself. All goods containing meat, dairy, fish, bee product, etc., will require permits to import. Quarantine charges apply for food importation. Restrictions in relation to commerce marking also apply. Must have manufacturer, distributor, importer, quantity, ingredients, and country or territory of manufacture on the packaging.
Any shipments that arrive in old fruit boxes will be repacked. The boxes are then destroyed. Clearance delays will occur.
Any food will be quarantine inspected and the charges billed to the consignee. Suspicion of foods will be fumigated by Australian Quarantine Authorities.
The minimum quarantine fee is 36 AUD.
Textiles
Textiles must be labeled with composition of fabric and country or territory of origin.
Coffee
Green coffee beans require Import Permit from Australian Quarantine and Inspection Service.
Nutritional Supplements
A full listing of ingredients is required on the invoice. Customs and Quarantine will hold all shipments until ingredients can be verified. Shipments containing ingredients that cannot be verified or are prohibited, will be seized by Customs. Quarantine inspection charges will apply.
http://www.daff.gov.au/biosecurity/import/biological/therapeutic-foods-dietary
The list of prohibited ingredients can be found in the Australian Government - Department of Health website
http://www.health.gov.au/internet/main/publishing.nsf/Content/ocs-treaties-compliance-prohibited-impexp-precursor.htm
Refer to Department of Health - Therapeutic Goods Administration (TGA) website for more information on importing personal shipments to Australia
http://www.tga.gov.au/consumers/personal-importation-scheme.htm
http://www.tga.gov.au/consumers/information-online-internet.htm
Animal Skins, Non-Domesticated
If these skins are covered by the Convention on International Trade of Endangered Species, they will be seized by Customs, unless a valid Export Permit and Import Permit is in place at time of importation and presented to Customs at such time.
Tableware
Ceramic tableware may be taken for lead cadnium testing.
Medicine
The importation of medicines into Australia is regulated under the ""Therapeutic Goods Act"". If the medicines are not registered with the ""Therapeutic Administration"" then they are not permitted entry into Australia. Permits to import are required for certain goods such as steroids.
Personal imports of prescription medicines can be imported if the importer is a person, the supply is for less than 3 months and they have a prescription from an Australian doctor.
Films
Subject to censorship for objectionable material.
Software
All software shipments must include the value of the CD-Rom/diskette and the intellectual property/programming. If the goods are blank CD-roms or disks, then the description on the invoice must mention the fact. Software shipments without the intellectual property/programming value which should be determined by the shipper, may be subject to further Customs checks, resulting in delays."
Gift Exemptions,"Shipment value amount:
0.00 Australian Dollar AUD
Shipment type:
no gift exemption
Exemption rule:
no gift exemption

There is no gift exemption in Australia however with the exception of alcohol, tobacco and prohibited items, when the Free on Board (FOB) value of the shipment is less than the 1,000.00 AUD, the shipment may enter the country or territory duty and tax free."
Invoice Requirements,"Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.

Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Non-document shipments to Australia must include 1 original and 2 copies of an invoice.
The invoice should include:
A clear and accurate description of the goods (new or used) needs to be described for clearance purposes (for example: New Machine parts or New Golf Clubs or Used Golf Clubs.)
Material composition of the item
Currency (for example, USD)
Currency amount
Itemized value for each item, including a unit value and a total value for each item
Incoterms (for example, FOB, CIF, or DDP)
Country or Territory of origin
For items of no commercial value, a value must be stated on all non-document shipments.
The consignee's telephone number must appear on the invoice."
Items Classified as Documents,"The destination country or territory considers the following items as document shipments. If criteria are listed, the shipment must meet the criteria to be considered a document shipment.
Negotiable Bonds, Drafts
Cash Letters
Manuscripts
Maps
Advertising Literature
Must be business related.
Airline Tickets
Annual Reports
Bids
Checks (Non-negotiable checks)
Blueprints
Brochures
Catalogs
Charts
Computer Print-Outs
Credit Cards
Discs
Must contain data
Diskettes
Must contain data
Intercompany Data on CD-Rom/Disk
In order to ship Intercompany Data on Diskette/CD ROM as a document shipment, the following guidelines must be met:
The content must not be sold commercially or have commercial value.
The data can not be software.
Specifically write ""Intercompany Data on Diskette/CD ROM"" in the description of the goods field of the waybill.
Mark an ""x"" in the documents only box on the waybill.
Intercompany Mail
Microfilm, Microfiche
Pamphlets
Passports
Periodicals
Photographs
Price Lists
Proposals
Publications
Specifications Sheets
Tapes (Audio, Video, Magnetic)
Peak Season Shipping To AU
Goods Description needs to be precise and not generic.
Example of generic descriptions are as follows:
 Gift/s
 Christmas Gift/s
 Sweets
 Foods / Christmas Foods
 Assorted Christmas sweets
 Presents
A generic description will all be stopped and inspected by Australian Customs and will fail service and causing back log of shipments to be processed in Australia.
Transparencies
Visa Applications
Drawings
Greeting Cards, Invitations
Business Cards
Gift Cards
Magazines
Manuals (Technical)
Graphs
Newsletters (Company)
Newspapers

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to Australia.
Alcoholic Beverages
Import of Alcoholic beverages into Australia is permitted via ISC contract service.
UPS only delivers to New South Wales, Victoria, Australian Capital Territory, South Australia, Western Australia and Tasmania.
UPS cannot deliver to Queensland and Northern Territories due to certain communities local alcohol regulations.
Importation of Alcohol products to Australia does not include the de-minims value rule, All Alcohol products are subject to high rates of duties rates (excise and WET tax) and GST upon importation at Australian Border regardless of the importation value declared.
UPS require the alcoholic percentages of the products to be declared on the commercial invoice with Consignor / Consignee sale transaction.
Knives
Shipments containing daggers, double edged, and sharp pointed stabbing instruments need an Import Permit to be obtained by the consignee. Any concealable knives are prohibited and will be seized by Customs.
Watches
The Department of Commerce requires that the watch, the watch housing and the watch's movement be individually labeled with the country or territory of origin if they are not all made in the same country or territory. If each item is made in the same country or territory only the case needs to be marked with the country or territory of origin.
Laser Products
High intensity laser pointer shipments are prohibited. To import a laser pointer stronger than 1mW, the importer will have to obtain police authorization from the relevant state or territory police force prior to applying for an import permit.
Electrical Equipment and Machinery
An ""Electromechanical Device"" greater than one kilogram in weight that incorporates an electric motor, must not be brought, into Australian territory If it has originated, transited or transferred through, the Republic of Turkey.
Toy Guns
Any form of toy gun or gun replica is prohibited.
Electronic Cigarette / Vaping Product
The importation of all disposable non-therapeutic vapes, and therapeutic vapes is prohibited. Personal Importation Scheme for vapes is closed.
Exceptions are for importers with licenses and permits from the Office of Drug Control (ODC) to lawfully import therapeutic vapes. Importers and domestic manufacturers of therapeutic vapes will also be required to provide pre-market notifications to the Therapeutic Goods Administration (TGA) declaring compliance with the relevant product standards, prior to the importation or supply of those goods. It will not be possible to obtain customs permit without first notifying compliance to the TGA and holding licenses and permits from the ODC. (for more information: Reforms to the regulation of vapes | Therapeutic Goods Administration (TGA))
**A disposable vape is a vape that:
1. is pre-filled with a vape substance; or is designed or intended to be supplied pre-filled with a vape substance; and is not designed or intended to be refilled; and
2. is fully assembled with all the constituent components fixed permanently in place and that is not designed or intended to be disassembled; and 3. generates or releases, or is designed or intended to generate or release, using a heating element and by electronic means, an aerosol, vapour or mist for direct inhalation by its user
Refer to Australian Customs Notice 2023/51 for detailed information: www.abf.gov.au/help-and-support-subsite/CustomsNotices/2023-51.pdf
UPS Sales team, please contact your local ISC coordinator for further information.
Lithium Batteries
There is an embargo by all airlines used by UPS to fly into Sydney on all lithium batteries (including items that have lithium batteries within the commodity) being accepted to travel on small package service as Courier. This applies to all shipments, even if they are packed in accordance to groups 965, 966 or 967 (Lithium Ion Batteries).
In addition, Emirates (which UPS uses for shipments to Melbourne) has an embargo on UN 3480 (group 965) being accepted to travel on small package service as Courier.
Lithium Metal Batteries
Shipments of Lithium Metal Batteries are prohibited on Emirates Airlines flights which UPS uses to this destination country or territory.
Alternative arrangements are in place, but expect transit delays if the normal planned flow of the package is via Dubai, United Arab Emirates. Time in Transit may be extended due to solution found.
Asbestos product and/or products containing Asbestos
Due to a growing number of asbestos products and/or products containing asbestos being imported illegally, the Australian Government has now increased border targeting of these products in an effort to reduce instances of these prohibited imports.
The Australian Border Force (ABF) is targeting specific import tariff classification codes linked to potential asbestos products and/or products containing asbestos.
The tariff classification areas include but are not limited to the following:
 Mineral and chemical products
 Plastic and rubber products
 Ceramic and glass products
 Metal products
 Machinery and electrical products and components, incl. automotive and similar products
As a result of this heightened enforcement, importers should undertake due diligence with manufacturers and suppliers of any goods or products suspected of containing any level of asbestos. Where applicable, importers should also have a statement on the commercial invoice indicating ""asbestos free materials"".
Further information including affected commodity types, classification codes and testing requirements may be obtained from the following links:
https://www.border.gov.au/Busi/Impo/Proh/Asbestos#DIBPnotices
https://www.border.gov.au/Busi/Impo/Proh
For 4C Importation of asbestos, please refer to the following link: http://www.austlii.edu.au/au/legis/cth/consol_reg/cir1956432/s4c.html
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Yeast / Starter Cultures
Starter Cultures and derivatives effective 06 Jan 2023 *Not on a whole seed, whole grain or animal derived carrier  Manufactures Declaration is required for all imports
*On a whole seed, whole grain or animal derived carrier  Import Permit is required
*Without the correct paperwork mentioned your shipment will be held for long periods of time and the goods will more than likely spoil.
**UPS AU will not be held accountable in these circumstances. It is the importers and the shippers responsibility to ensure they have the correct documents upon import
Refer to below link for full details from the Department of Agriculture, Fisheries and Forestry website:
https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Conditions?EvaluatableElementId=702037&Path=UNDEFINED&UserContext=External&EvaluationStateId=c436f187-369c-488e-97b3-5c8149b2d709&CaseElementPk=2018378&EvaluationPhase=ImportDefinition&HasAlerts=False&HasChangeNotices=False&IsAEP=False
Smoked Salmon
Plants
Living plant material requirements depend on the plant species, country or territory of origin, and will require a valid Import Permit. Depending on the plant species relevant import and export CITES permits may be required.
Accompanying documentation (for example, packing list, Phytosanitary certificates, CITES certificates, invoices etc) and labels on the consignments must correspond and the documentation should clearly identifiy the plants by their botanical names.
All plant material must be free from soil, disease symptoms and other extraneous contamination of quarantine concern.
Personal Effects
Personal Effects cannot be shipped between these countries or territories.
Batteries
All Section I (Dangerous Goods) batteries are embargoed by all airlines used by UPS.
  Section II (Lithium ion batteries prepared as Section II of PI 966 and 967; or sodium ion batteries prepared as Section II of PI 977 and PI 978; or Lithium metal batteries prepared as Section II of PI 969 and 970) batteries are allowed to be shipped. UPS Sales please contact your local DG Coordinator for specific requirements. Note that time in transit maybe extended and UN38.3 test summary must be enclosed with the shipment."
Saturday Delivery,"Saturday Delivery Available: Yes
Not available in all areas. Always check the international time in transit system for details of service availability within a country or territory.
Saturday Delivery for an additional charge"
