Section,Content
Import Documentation,"CITES Certificate
To enable clearance for CITES shipments, please ensure CITES Certificate is forwarded by Express service.
Customs Clearance Process
Customs Procedure Agent
Exporter must select and notify Japan Customs of Customs Procedure Agent when no importer under clarified by Japan Customs Law and when nonresident exporter makes import declaration. Under Japan Customs Law, an importer must be a person who imports a cargo and a person who has a right to disposition of the import cargo at the time of import declaration. If there is another person who acts on the purpose of the import, that person is also included under below condition.
Under lease contracts, a person who rents and uses the cargo.
For consignment sales, a person who sells the cargo by accepting the commission.
For processing or repairing, a person who processes or repairs the cargo.
For disposal, a person who disposes the cargo.
Packing List
Packing list is not mandatory required.
Certificate of Origin
Imports of silk or silk-related products such as linen, require a Certificate of Origin.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS."
Clearance Information,"Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number must be provided.
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver."
Areas Served,"UPS has resumed services in more areas of Fukushima. GSR will also be reinstated in the prefectures of Iwate, Miyagi and Fukushima, except for areas still affected by service suspension.
Fukushima
9601723 9791101
9791161-9791171 9791300-9791305
9791307-9791392 9791400-9791495
9791506 9791533
9791535 9791542
9791544-9791545 9791151
9601600 9791601
9791706-9791757 9792165
Service is provided to and from every other address in the country or territory.
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number must be provided.
Rest Days:
Sunday, Saturday, and official holidays.
GMT:
Spring +0900/ Fall +0900
Language:
Japanese
Currency:
Japanese Yen(JPY)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to Japan. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Veterinary Products
An import license is required from the Ministry of Health.
Shoes
Materials of sole and upper and its intended use are required in the commercial invoice. For example, sports shoes, leather (upper), rubber (sole).
Cosmetics
In order to ship cosmetics the following conditions must be met:
If consignee is an individual, shipment should not exceed 24 pieces per item.
Example: 2 soaps packed in a box is counted as 2 pieces, therefore 12 boxes may be imported.
If consignee is a company, import license and sales license are required prior to import. As samples, up to 36 pieces per item may be imported. As commercial, there is no limit on quantity.
Cosmetics include: soap, lipsticks, eye shadow, nail polish, creams, hair spray, cologne, lotion, hair tonic, etc.
Dental Instruments
Shipments of dental instruments and tools to an individual or a doctor requires a doctor's license and is limited to 3 pieces per shipment. An import license from the Ministry of Health is required for 4 or more pieces.
Vitamins
To ship vitamins, the following conditions must be met:
If the consignee is a company, an import license is required, regardless of quantity.
If the consignee is an individual, up to a 2-month supply can be imported per shipment.
Shipments of vitamins may experience delays.
Videos
The consignee will be contacted to verify the content and purpose for the import of videotapes. All video shipments must contain the following information on the commercial invoice:
Title of the video
Type of video format, such as VHS, Beta, or other
Quantity of videos
Use of the video, such as educational, personal, commercial, entertainment, or instructional
The consignee's phone number must be included for all shipments containing videos.
Laser Discs
The invoice must include the consignee's telephone number, laser disc titles, quantity and intended use (educational, personal, commercial, entertainment or instructional). The consignee will be contacted to verify this information.
Clothing
Shipments of clothing (including undergarments) from South Korea and of South Korean origin will require an importer order sheet with transaction values indicated. In place of an importer order sheet, other forms of receipt or bank remittance slip may be accepted. This applies to both commercial and personal shipments, of CIF value exceeding 20,000.00 JPY (approximately US$180.00).
An import delay is expected as Customs will audit the declared values and perform inspection on the shipments. Approval to import will then be granted accordingly.
Note: Clothing shipments from South Korea but not of South Korean origin will not be subjected to this requirement. Also, clothing shipments of South Korea origin but not shipped from South Korea need not conform to this requirement.
Nutritional Supplements
Commercial shipments of nutritional supplements require an import license. A 2 month supply of nutritional suplements can be imported for each personal shipment.
Animal Skins, Non-Domesticated
Shipments of leather and fur skin processed into products such as clothing and handbags can be imported. Shipment may require a Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) certificate and an import license.
Drugs (also see Medicine)
To ship any medicine (including Potassium Iodide), the following conditions must be met.
If the consignee is a company, an import license and a sales license are required regardless of quantity.
If the consignee is an individual:
A 1-month supply of prescription drugs can be shipped per shipment.
A 2-month supply of quasi-drugs can be shipped per shipment.
If the medication is an external preparation, such as an ointment or eye drops, then up to 24 pieces can be shipped per shipment.
A 2-month supply of vitamins can be shipped per shipment.
Shipments of medicine may experience delays.
Some prescription drugs are prohibited, such as psychoactive drugs. Stimulants such as amphetamine and methamphetamine are prohibited.
Note: Contact Import Brokerage for further information.
Tableware
After the tableware shipment arrives, the consignee must provide an import notification for inspection to the Japan Health Ministry for the following items:
Ceramic coffee cups, saucers, glasses, spoons, knives (including Swiss Army knives), and forks
Food processors and their parts, including can openers
May include other kitchen utensils
Personal shipments below 10kg (22 lbs) are exempt from the notification requirement.
Personal Effects
Shipment of ""Unaccompanied baggage"" can be customs cleared without duty & tax if shipment arrives within 6 months upon consignee's entry into Japan. Note only approved items can enter without duty & tax.
Consignee must obtain customs seal on ""Declaration of Accompanied Articles and Unaccompanied Articles"" from airport Customs upon arrival at Japan. This is required for customs clearance of ""unaccompanied baggage"".
Invoice must show ""unaccompanied baggage"" and include all items shipped.
Refer to https://www.customs.go.jp/english/summary/passenger.htm for detailed information.
Checks (Non-negotiable checks)
Blank checks can be imported into Japan as a non-document shipment. A commercial invoice is required.
Bound Items
Bound items, such as books, are classified as a non-document shipment.
Credit Cards
All credit cards must be imported into Japan as a non-document shipment. A commercial invoice is required.
Discs
All discs must be imported to Japan as non-document shipments. The invoice must include the consignee's telephone number, disc titles, quantity and intended use (educational, personal, commercial, entertainment or instructional). The consignee will be contacted to verify this information.
Diskettes
Floppy disk, CD-ROM and DVD's are regarded as non-documents. In case of CD-ROM and DVD, the invoice must include the consignee's telephone number as well as the quantity and contents of the disk.
Films
The invoice must include the consignee's telephone number, the title of the film, the type of film (VHS, BETA, etc), and the quantity. Used films may require censorship. For 355mm film, expect at least one month delay for censorship.
Event Tickets
Event Tickets are non-documents. The ticket price should be declared on the commercial invoice.
Tapes (Audio, Video, Magnetic)
The consignee will be contacted to verify the content and purpose for the import of videotapes. All video shipments must contain the following information on the commercial invoice:
Title of the video
Type of video format, such as VHS, Beta, or other
Quantity of videos
Use of the video, such as educational, personal, commercial, entertainment, or instructional
The consignee's phone number must be included for all shipments containing videos.
Food
Commercial shipments require import notification and inspection by the Health Ministry.
Personal shipments under 10 kgs are exempt from notification and inspection by the Health Ministry.
Food such as ham, sausage, frozen fruit are prohibited. Please see Prohibited/Restricted Commodity Section.
Parts
The invoice must include the name of the part and the machine that uses the part.
Ship and Boat Parts
Ship and boat parts may be imported into Japan through UPS Worldwide Express, however, the package must go through Customs, and duty and taxes will be applied.
UPS Supply Chain Solutions cannot obtain special clearance for ship or boat parts. These items must be cleared by the Japan Customs office in charge of the port where the ship or boat requiring the parts is lodged.
Textiles
For shipments claiming GSP preferential, a certificate of origin is required.
CD Roms
All CD Roms must be imported to Japan as non-document shipments. The invoice must include the consignee's telephone number, CD-ROM titles, quantity and intended use (educational, personal, commercial, entertainment or instructional). The consignee will be contacted to verify this information.
Medical Items
In order to ship Medical Items the following conditions must be met:
If the Consignee is a company, an import license is required.
If the Consignee is an individual, only one set can be shipped.
Examples: Massage machines, false teeth, tonometer, clinical thermometer and electrocardiograph.
Coffee
Shipments of roasted coffee require an import notification and inspection by the Japan Health Ministry.
Green, raw, unroasted coffee beans are prohibited.
Toys
Commercial shipments of baby toys need import notification and inspection by the Health Ministry. Personal shipments up to 10 kgs are exempt.
Medicine (also see Drugs)
To ship any medicine (including Potassium Iodide), the following conditions must be met.
If the consignee is a company, an import license and a sales license are required regardless of quantity.
If the consignee is an individual:
A 1-month supply of prescription drugs can be shipped per shipment.
A 2-month supply of quasi-drugs can be shipped per shipment.
If the medication is an external preparation, such as an ointment or eye drops, then up to 24 pieces can be shipped per shipment.
A 2-month supply of vitamins can be shipped per shipment.
Shipments of medicine may experience delays. Some prescription drugs are prohibited, such as psychoactive drugs. Stimulants such as amphetamine and methamphetamine are prohibited.
Note: Contact Import Brokerage for further information."
Gift Exemptions,"Shipment value amount:
10000.00 Japanese Yen JPY
Shipment type:
individual-to-individual
Exemption rule:
per shipment

Shipment value amount: 10,000.00 Japanese Yen (JPY). This amount includes the value of the gift plus transportation charges and insurance, if applicable. Most gift shipments valued under 10,000.00 JPY are free of duty and tax. This gift exemption is applicable all year. Shipments over 10,000.00 Japanese Yen may need pre-inspection of goods if the description on the invoice is inadequate.
The invoice for the gift must include the following information:
Complete description of gifts
Quantity of each item
Value of each item
The words, ""gift shipment"", not ""Christmas gift"", must be written on the invoice
Shipments to individuals should include the consignee's complete name, address, and telephone number. Shipments to companies should include the consignee's name, department, address, and phone number.
In addition to a detailed description of each item, write additional comments of ""gift shipment"" on the invoice and in the Special Instructions box of the UPS Waybill to insure a proper assessment of duties and taxes."
Invoice Requirements,"Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Document shipments with weight more than 9.5 kgs will require an invoice. Non-document shipments to Japan must include 1 original and 2 copies of an invoice.
The consignee's phone number is required on the invoice.

Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory."
Items Classified as Documents,"The destination country or territory considers the following items as document shipments. If criteria are listed, the shipment must meet the criteria to be considered a document shipment.
Manuscripts
Document weight limit 9.5 Kgs.
Annual Reports
Document weight limit 9.5 Kgs.
Bids
Document weight limit 9.5 Kgs.
Envelopes (Blank)
Document weight limit 9.5 Kgs.
Computer Print-Outs
Document weight limit 9.5 Kgs.
Microfilm, Microfiche
Data without pictures, only. Document weight limit 9.5 Kgs.
Newspapers
Document weight limit 9.5 Kgs.
Periodicals
Document weight limit 9.5 Kgs.
Price Lists
Document weight limit 9.5 Kgs.
Specifications Sheets
Document weight limit 9.5 Kgs.
Visa Applications
Document weight limit 9.5 Kgs.
Greeting Cards, Invitations
Document weight limit 9.5 Kgs.
Business Cards
Document weight limit 9.5 Kgs.
Newsletters (Company)
Document weight limit 9.5 Kgs.
Proposals
Document weight limit 9.5 Kgs.
Seismic Data
Document weight limit 9.5 Kgs.
Intercompany Mail
Document weight limit 9.5 Kgs.
Manuals (Technical)
Document weight limit 9.5 Kgs.

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to Japan.
Jewelry
Shipments of jewelry can be shipped as long as the value does not exceed US$500.00 or the local currency equivalent per package.
Jewelry for which the retail price is lower than US$150.00 per item and which do not contain precious metal(s) and/or stone(s) are considered costume jewelry and can be shipped only up to this value from the origin country or territory.
Rough/ Industrial Diamonds - Kimberley Process Certificate is required.
Miscellaneous
Miscellaneous Prohibited Articles
As of October 01, 2010, UPS will no longer accept shipments to Japan that contain articles that are subject to plant and animal quarantine enforced by the Ministry of Agriculture, Forestry and Fisheries' Plant Protection Station or Animal Quarantine Services.
Plant-Related
Fresh, cut or dried flowers, leaves, roots, bark, seeds or other plant products (could include potpourri, garlands, wreaths, baskets made of plant material, etc.)
Tobacco (excludes rolled cigarettes or cigars), tobacco leaves
Fresh or frozen fruit or vegetables
Non-roasted coffee beans
Beans, except canned-beans
Soil
Wheat, sesame, cotton, grain, barley, malt, straw, rice, flour, herbs, spices, tea (tea bags accepted), mushrooms, sugar cane
Wood, nursery tree, bulbs
Any other type of commodity that requires quarantine
Additional detail can be found at http://www.pps.go.jp/english/index.html
Animal-Related
Meat, frozen meat, meat products, ham, sausage, beef jerky, including canned, bottled and vacuum-pouched products
Bacteria, viruses (human or animal)
Animal origin blood, blood product, serum, antibody, semen, tissue
Animal bone, horn, antler
Unprocessed animal fur, feathers
Gelatin, collagen
Pet food, wood or chews
Raw wool or leather
Insects
Any other type of commodity that requires quarantine
Additional detail can be found at http://www.maff.go.jp/aqs/english/index.html
Soil
Earth and sand.
Airline Tickets
Airline tickets are non-documents. The ticket price should be declared on the commercial invoice. No duties or taxes will apply.
Christmas Ornaments
Any items that are subject to plant quarantine are prohibited by UPS. For example, Garlands, Wreaths, and items made of plant products etc.
Toy Guns
Any form of toy gun or gun replica is prohibited.
Guns
Any form of toy gun or gun replica is prohibited.
Electronic Cigarette / Vaping Product
Electronic Cigarettes can only be shipped with an International Special Commodities (ISC) contract.
If the consignee is a company,an Import License is required regardless of the quantity.
If consignee is a private individual,one cartridge per shipment is acceptable.
Alcoholic Beverages and Wines
Import of Alcoholic beverages into Japan is permitted via ISC contract service.
Private shipping must not exceed 10kg in total.
Lithium Metal Batteries
Shipments of Lithium Metal Batteries are prohibited on Emirates Airlines flights which UPS uses to this destination country or territory.
Alternative arrangements are in place, but expect transit delays if the normal planned flow of the package is via Dubai, United Arab Emirates. Time in Transit may be extended due to solution found.
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Cannabidiol / Cannabidiol Oil
Importing products containing Cannabidiol/ cannabidiol oil, better known as CBD or CBD oil respectively is strictly prohibited in Japan.
Knives
Only kitchen knives are acceptable. All other types of knives are prohibited and will be processed return or abandon upon importation."
Service Options,"Always check Calculate Time and Cost for details of service availability and guarantee information within a country or territory. All Service Levels may not be available to or from every address within a country or territory.
India to Japan
UPS Worldwide Express Saver
UPS Worldwide Express
UPS Worldwide Expedited
UPS WorldWide Express Freight
WorldWide Express Freight Midday"
