Section,Content
Import Documentation,"CITES Certificate
To enable clearance for CITES shipments, please ensure CITES Certificate is forwarded by Express service.
Packing List
In addition to the commercial invoice all non-document shipments require a packing list.
Standards and Industrial Institute of Malaysia
Standards and Industrial Institute of Malaysia (SIRIM) was established in 1996 and entrusted by the Malaysian Government to be the national organization for standards and quality and as a promoter of technological excellence in the Malaysian industry.
Commodities listed below require certification:
Communication Devices
Telecommunication Equipment
Commodities integrated with communication modules
Computers, Laptops, Desktops
Tablets, iPads
Importers should apply for import permit from SIRIM prior to shipments arrival. UPS Malaysia Brokerage will provide advices on the contact details of SIRIM only.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS."
Clearance Information,"Clearance Comments
For dutiable shipments with Free on Board (FOB) value greater than 10,000.00 Malaysian Ringgit (MYR), the consignee must complete a Supplementary Customs form No. 1A and submit it to Customs as part of a valuation regulation. Based on the invoice valuation of goods imported for commercial purposes, the consignee will pay import duty and sales tax if applicable, to Customs. Declaration of form No. 1A can be done via EDI.
Non dutiable shipments with FOB value of up to 2,000.00 MYR are cleared immediately upon arrival by Customs. These shipments do not require formal entry unless they are controlled or restricted.
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping.
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver.
Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known."
Areas Served,"Service is provided to and from certain cities.
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Rest Days:
Sunday, Friday, and official holidays.
Rest day is Sunday for all states except for Trengganu, Kedah and Kelantan, where Thursday is observed as half day and rest day is Friday.
GMT:
Spring +0800/ Fall +0800
Language:
English
Currency:
Malaysian Ringgit(MYR)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS).
Split Duty And VAT (SDV)
The freight and duties can be billed to the shipper or a third party
The taxes can be billed to the receiver or a third party
A surcharge will be applied for the SDV billing option"
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to Malaysia. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Veterinary Products
Shipments of veterinary products require approval from the Veterinary Department.
Televisions
Shipments of televisions require an Import Permit issued by the Director General of the Department of Electricity Supply Malaysia.
Cosmetics
All cosmetic products must be registered with the National Pharmaceutical Agency prior to importation. Items not registered may be refused entry and may be RTSed or abandoned.
Gambling Devices
Shipments of gambling devices require an Import Permit issued by the Police Department and the Ministry of Finance.
Coffee
Shipments of unroasted coffee require an Import Permit from the Food Control Division of the Ministry of Health.
Telecommunication Equipment
The consignee is required to obtain an Import Permit from the Standards and Industrial Research Institute of Malaysia (SIRIM).
Religious Material
Shipments of religious material require approval from the Publication Department, Ministry of Home Affairs (KDN)
Israeli Origin Goods
An import permit from Ministry of International Trade and Industry is required.
Satellite Equipment
Shipments of satellite equipment require approval from the Standards and Industrial Research Institute of Malaysia (SIRIM)
Computers
Shipments of computers (e.g. laptops, desktop, tablets or iPads) require approval from the Standards and Industrial Research Institute of Malaysia (SIRIM).
Videos
Shipments of vidoes require an Approval Permit from the Censorship Board.
Laser Discs
Shipments of laser discs require an Approval Permit from the Censorship Board.
Coral
Shipments of coral, dead or alive, require an Import License from the Director General of Fisheries, Malaysia.
Animal Skins, Non-Domesticated
Import permit required from Veterinary department
Personal Effects
Customs Regulation
All used household goods and personal effects used and owned by shipper for more than 6 months may be imported into Malaysia duty free.
Items less than 6 months old are subject to Customs duties and taxes.
Customs may require an Electrical Board Permit for all electrical goods.
The List of Electrical Items must include the item name, model, make, serial number and year of purchase.
Original purchase receipts may require during clearance.
All shipments subject to 100% Customs examination.
Documents Required
1. Copy of Passport and Copy of Malaysian ID
2. Detailed inventory in English, dated and signed by the shipper
3. Copy of Bill of Lading (OBL) / Air Waybill (AWB)
4. Full contact information of shipper in Malaysia
5. Letter of Employment / Copy of Work Permit
6. List of Electrical Items
7. List of Additional Items (include detailed information for books, VCDs, DVDs, CDs, etc. (included in shipment)
8. K1 Customs Declaration
Dairy
Shipments of dairy require approval from the Ministry of Health.
Multi-color Copy Machines
Shipments of multi-color copy machines (includes rank Xerox 6500, Canon NP Color T and RICOH Color 5000) require an Import Permit from the Ministry of International Trade and Industry.
Calendars
Shipments of calendars require approval from the Ministry of Home Affairs.
Discs
Shipments of discs require approval from the Ministry of Home Affairs.
Magazines
Shipments of magazines require approval from the Publication Department, Ministry of Home Affairs (KDN).
Medicine (also see Drugs)
Shipments of medicine require approval from the Pharmaceutical Board, Ministry of Health.
Commodities Integrated with Communications Modules
Shipments of commodities which are integrated with communications modules require approval from the Standards and Industrial Institute of Malaysia (SIRIM).
For examples, Wi-Fi, Bluetooth, GSM, 3G & 4G for connection to public communication network or for radio communication, electrical appliances, medical devices, toys with remote controls, video games with communication modules (e.g. Xbox) and etc.
Tapes (Audio, Video, Magnetic)
Shipments of tapes require an Approval Permit from the Censorship Board.
Food
Requires approval from the Ministry of Health.
Smoked Salmon
Shipments of smoked salmon require approval from the Fisheries Department.
CD Roms
Shipments of CD Roms require approval from the Ministry of Home Affairs.
Military Equipment
Shipments of military equipment require approval from the Ministry of Defense.
Video Cassette Recorders (VCRs)
Shipments of VCR's require an Import Permit issued by the Director General of the Department of Electricity Supply Malaysia.
Vitamins
Shipments of vitamins require approval from the Pharmaceutical Board, Ministry of Health.
Communication Items
Shipments of communication items require approval from the Standards and Industrial Research Institute of Malaysia (SIRIM).
Nutritional Supplements
Shipments of nutritional supplements require approval from the Pharmaceutical Board, Ministry of Health.
Pharmaceuticals
Shipments of pharmaceuticals require approval from the Pharmaceutical Board, Ministry of Health.
Drugs (also see Medicine)
Shipments of medicine require approval from the Pharmaceutical Board, Ministry of Health.
Cellular Telephones
Shipments of cellular telephones require approval from the Standards and Industrial Research Institute of Malaysia (SIRIM)
Telephone Equipment
Shipments of telephone equipment requires the consignee to obtain an Import Permit from the local government agency (SIRIM)."
Gift Exemptions,"Shipment value amount:
500.00 Malaysian Ringgit MYR
Shipment type:
individual-to-individual
Exemption rule:
per shipment
Shipment value amount:
50.00 Malaysian Ringgit MYR
Shipment type:
individual-to-company
Exemption rule:
per shipment
Shipment value amount:
500.00 Malaysian Ringgit MYR
Shipment type:
company-to-company
Exemption rule:
per shipment
Shipment value amount:
500.00 Malaysian Ringgit MYR
Shipment type:
company-to-individual
Exemption rule:
per shipment"
Invoice Requirements,"Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.

Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Non-document shipments to Malaysia must include 1 original and 2 copies of an invoice.
The consignee's telephone number is required on the invoice for all non-document shipments."
Items Classified as Documents,"The destination country or territory considers the following items documents. If criteria are listed, the shipment must meet those criteria to be considered a document shipment.
Negotiable Bonds, Drafts
Must be validated with value. Blank Negotiable Bonds or Drafts are considered to be non documents.
Cash Letters
Must be validated with value. Blank cash letters are considered to be non-documents
Manuscripts
Maps
Compact Discs
For intercompany data, not copyright, licensed or for sale.
Advertising Literature
Airline Tickets
Validated only.
Annual Reports
Bids
Checks (Non-negotiable checks)
Must be validated with value. Blank checks are considered a non-document
Blueprints
Brochures
Catalogs
Charts
Must be printed. Blank charts are considered to be non-documents
Computer Print-Outs
Diskettes
Contain intercompany data, not copyright,licensed or resale.
Intercompany Mail
Manuals (Technical)
Newspapers
Not for sale.
Pamphlets
Periodicals
Price Lists
Seismic Data
Specifications Sheets
Traveler's Checks
Used traveler's checks only.
Visa Applications
Must be validated or printed with particulars
Drawings
Business Cards
Graphs
Newsletters (Company)
Publications
Proposals
Sepia Drawings

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to Malaysia.
Knives
An Import License from the police department is required for shipments of knives. Knives not intended to inflict bodily harm (i.e kitchenware, utility knives) are accepted.
Other
Any article bearing the imprint or reproduction of any currency note, bank note, or coin which have at any time been issued or is current in any country or territory.
Any emblem or device in circumstances which raise a reasonable presumption that such emblem or device was intended or was likely to be used in a manner prejudicial to the interest of the federation or to promote or foster a purpose prejudicial to or incompatible with peace, welfare, or good order in the federation.
Portland Cement (within the heading number 2523.29.9000) is prohibited for import into Sabah or Sarawak.
Chemicals
Sodium Arsenate
Liquids
Liquid Glucose
Miscellaneous
Multi-color Copy Machines (includes rank Xerox 6500, Canon NP Color T and RICOH Color 5000)
Guns
Any form of toy gun or gun replica is prohibited.
Passport & Identifcation Card
Passport & any kind of Identification Card is not allowed in MY
Textiles
Any cloth bearing the imprint or reproduction of any verses of the Koran.
Radios and Radio Equipment
Broadcast receivers capable of receiving radio communication within the ranges of 68 to 27 MHZ, except for those designed to receive meteorological broadcasts at spot frequencies (except for the use of the telecommunication authority), are prohibited.
Alcoholic Beverages and Wines
Import of Alcoholic beverages into Malaysia is permitted via ISC contract service.
B2C shipments to individuals of spirits is allowed, as long as the spirits are below 1L per shipment. There are no additional import requirements for spirits below 1L consigned to an individual.
For whiskey from Scotland under 1L, a permit is not required, but duty and tax are payable, as this is a controlled item.
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited."
Saturday Delivery,"Saturday Delivery Available: Yes
Not available in all areas. Always check the international time in transit system for details of service availability within a country or territory.
Saturday delivery for an additional charge"
