Section,Content
Import Documentation,"Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.
Anti-Dumping
The Mexican government discourages dumping of goods into their market. In order to discourage dumping practices, they have established anti-dumping duties called ""Cuotas Compensatorias"".
Below is only a partial list of commodities subject to ""Cuotas Compensatorias"";
Commodity Percentage
Rate Cuota Compensatoria
Rate
Ceramic coatings for walls and floors
China From USD $2.90 to $12.42 /mt2, depending on the exporter
Ceramic tableware and loose parts of tableware
China Depending if the value is below USD $2.61 /kg
Stainless steel sinks
China USD $4.14 or $5.40 /kg, depending on the exporter
Aluminum pressure cookers
China 92.64%
Aluminum utensils for cooking
China USD $5.65 or $10.60 /kg, depending on the exporter
Bikes for children
China USD $13.12 /piece
Metallic plastic ballons
China USD $37.80 /kg
Pencils
China USD $0.0299 /piece
Plastic atomizers
China 86%
NAFTA Certificate of Origin
(Not applicable for U.S. to Puerto Rico or Puerto Rico to U.S.)
NAFTA (North American Free Trade Agreement) was established to allow preferential duty treatment for goods manufactured and shipped between the Customs territories of Canada, Mexico, and the United States (including Puerto Rico). The following information applies to commodities manufactured within the NAFTA region only.
For all commercial shipments over 1,000 USD, a completed NAFTA Certificate of Origin, supplied by the shipper, is required in order to qualify for a possible lower rate or elimination of duty.
In order for commercial shipments 1,000 USD or less to qualify for a possible lower rate or elimination of duty, the shipper must provide either:
A completed NAFTA Certificate of Origin, or
The NAFTA Statement on the commercial invoice.
The shipper also needs to print their name, title and date with a signature on the invoice.
Shipments importing to the U.S. for the sole purpose of personal use do not need the NAFTA Certificate of Origin or the NAFTA Statement ""I hereby certify that the goods covered by this shipment qualifies as an originating good for purposes of preferential tariff treatment under the NAFTA."" to qualify for NAFTA tariffs. If the goods are made in a NAFTA country or territory and the invoice states ""personal use"" the shipment will be processed under the NAFTA tariff codes. NAFTA does not exempt goods from Value Added Tax (in Mexico, IVA).
Certificates of Origin may be used for multiple importations of the same goods made in a period not exceeding one year from the issuance date of the Certificate. For more information, please see the following website:
http://www.sat.gob.mx/sitio_internet/aduana_mexico/importando_exportando/142_18126.html
Certificate of Origin
Certificates of origin are optional in most cases, but mandatory to obtain Preferential Tariff Treatment in accordance with the Treaties and Agreements to which Mexico is a party.
T-MEC certificate of origin link
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS.
ADDITIONAL IMPORT DOCUMENTATION
On October 15, 2024, the Mexican Tax Administration System (SAT) has implemented modifications to the General Rules of Foreign Trade, which will impact air and ground transport operations with entry declaration T1.
 It will be mandatory to include:
 The full name, denomination or business name of the importer, recipient or consignee -must be included on each package.
TAX ID (Mexico’s RFC = Registro Federal de Contribuyentes), which is issued by Mexico Government.
Must include a detailed commercial description of the contents/merchandise contained in each package.
Commercial descriptions of the merchandise will be required to be detailed and specific. Generic descriptions such as “Courier and parcel items”, “Miscellaneous/various items”, “Gift”, “Present” or “Sample” will not be accepted. Any description that does not allow a clear identification of the merchandise will also not be allowed.
Examples of Unacceptable vs Acceptable Cargo Descriptions: U.S. Customs and Border Protection (cbp.gov)
The T1 is a customs-type procedure that allows courier shipments up to USD 2,500 to be cleared as express shipments. 

Packages that do not comply with the changes indicated above, will not be processed for import and will be automatically returned to origin.


Seismic Link - FAQ's New Rules in the Mexican Custom Regulation"
Clearance Information,"Customs Clearance Process
These adjustments apply only when ""UPS is not the customs broker"":
1) IMPORT OPERATION.
Step 1
UPS will deliver the shipment to the corresponding warehouse and collect the Proof of Delivery (POD).
Step 2
The customs broker assigned by the client, must request the shipment in the corresponding warehouse to perform the release process. Upon delivery to your customs broker, UPS is not responsible for delivery or additional costs incurred.
Step 3
The package is in the hands of your customs broker, so you can follow up directly with him.
1) EXPORT OPERATION.
Step 1
The customs broker assigned by you must go to the corresponding warehouse.
Step 2
Your customs broker must present these packages to the Mexican customs to carry out the customs clearance of exports.
Step 3
Upon completion of the customs clearance for export at the Mexican Customs, the customs broker needs to return the packages to the UPS warehouse. In order for UPS to receive the packages, they must be delivered with export entry.
For us it is very important to help our customers to establish effective import and export strategies, if you want UPS also has a customs clearance service, which gives you visibility from start to finish, if you need more information do not hesitate to contact your executive of account or to 01 800 PIDE UPS.
Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Limits on Imports by Individuals
Below are limits for goods allowed to be imported by individuals without permit or other government agency Mexico limits the quantity of the following commodities for import: 1. Clothes and accessories (including hats, socks and scarves: limit 10 pieces. 2. Computer equipment parts: limit 5 pieces of each type 3. Electric domestic items: limit 6 of each part 4. Fashion/custom jewelry: limit 20 pieces 5. Jewelry: limit 3 pieces 6. Motorcycle parts: limit 10 pieces 7. Records, cassettes or CD's: limit 20 pieces 8. Shoes: limit 10 pairs 9. Sporting goods: limit 1 piece
Door-to-Door Delivery
Customs may send a notice to the consignee for verification of shipment details if the shipment is dutiable and requires door-to-door delivery.
Missing Value
This indicates the consignee must provide either a Value Declaration form (sent to consignee with the Aviso) or a revised invoice for the package to clear Customs.
Package Delivery
RFI's for shipments to Mexico:
If ITT will not accept the Mexico postal code (when issuing a RFI only) use the following postal codes: 01000 or 15000. These postal codes can be used for imports and exports. Please reference the correct Mexico postal code in the remarks section of the RFI screen to get the postal code added to the system.
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping.
Warnings for Industrial Property for Trademarks
Mexican law dictates that any importing item which may be considered counterfeit trademark goods or pirated copyright goods, will be held by the Mexican competent authorities until the importer demonstrates the authenticity of such item.
Limits on Imports
f the value of the shipment is less than US$2500 UPS can be the IOR. If the value of the shipment is US$2500 or more, the consignee will automatically be considered a regular importer and will be required to have an Import License and complete the following forms in Spanish:  Carta de Traduccion (translation letter)  Carta de Encomienda (letter of authorization for UPS broker agent and depends of the Brokerage team in the Port of entry) If the consignee uses a UPS broker or any other Third Party Broker, all forms listed above are requested by customs. However, when using UPS Brokerage, the consignee does not pay higher fees due to transfer, handling, custody, transportation or warehouse. If a different broker is used, the forms must be completed and there will be higher broker fees. Goods that exceed US$2500 will be subject to tariff restrictions.
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver.
Clearance Comments
ANAM
On January 1, 2022, the National Customs Agency of Mexico (ANAM) came into operation as a decentralized administrative body of the Ministry of Finance and Public Credit (SHCP) replacing the General Customs Administration (AGA); which supposes a temporarily and indefinite transition period for their internal activities.
The National Customs Agency of Mexico will be endowed with technical, operational, administrative and management autonomy, it will have the character of a tax and Customs authority, in addition to having the power to issue resolutions within the scope of its competence. The creation of the Agency is given with the objective of continuing the strategy of the current administration in the fight against smuggling, the introduction of drugs and corruption.
Carta Porte
The CFDI with Carta Porte Complement is a digital, fiscal document that is a new obligation of transport companies in Mexico since January 1, 2022, to issue that contains detailed information on the merchandise. The Mexican government will use this to verify the operations carried out by the participants in the transfer of merchandise. It´s the full obligation of the Carrier company to generate it properly.
In order to generate this document automatically, UPS will rely on technological tools that allow us to extract information directly from air waybills generated by customers; therefore, as of January 1, 2022, UPS Manual Waybills will no longer be available.
Given this change, in order to make shipments in the shortest possible time and without errors, customers must be kept informed, analyze their shipping history, upload documentation, etc. Our strategy is focused on helping your company to go digital through the use of tools such as Worldship or CampuShip. We recommend you take your precautions to avoid setbacks.
Immobilized Shipments
According to Customs Legislation, Customs authorities and Other Government Agencies (OGA) have the power to held shipments to review if they are in compliance with Mexican Legislation and to avoid illegal practices, such as drugs, piracy, undervaluation, etc. The shipments may remain at hold for an undefined period that can take up to six weeks depending on the authorities analysis, without the control of UPS.
Any product could be subject to inspection, the main affected items are: personal effects, products of difficult identification (such as liquids, powder, etc), food, clothing, among others.
NEW HTS CODES FOR MEXICO EFFECTIVE ON DECEMBER 28, 2020
These changes are the result of the implementation in Mexico of the sixth amendment to the Harmonized System, in accordance with the recommendations of the World Customs Organization (WCO)
The core change is the increase from 8 to 10 digits in the HTS codes for Mexico, which implies a reordering in all the HTS codes, grouping some HTS codes, deleting and creating others for the establishment of a more compact and functional Tariff (HTS), for which it is important to take into account the correlation tables for the current and new HTS codes available in this link, section ""Base Unica RRNAs""
Regarding this change, it is important to note that the HTS code that is currently declared and must be declared as of December 28 in permits or regulations is in 8 digits, which for Mexico is known as ""Fraccion Arancelaria"", since the 10 digits that will be implemented from the date indicated is for statistical and tax purposes, not for regulations or permits."
Areas Served,"Service is provided to and from certain cities.
Intra-Mexico UPS Services
Domestic Express Saver Service is offered all over the country or territory
Domestic Express Plus 8:30 a.m. and Domestic Express 10:30 a.m. are available only to and from specific zip codes within main cities in Mexico
Shippers within Mexico may call the UPS toll free customer service line at 01-800-90-292-00 for more information regarding the Domestic Express Services.
There is a Mexican imposed tariff (known as I.V.A.) for Mexico Domestic rates.
Note: See details in the Mexico web page rate chart.
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Rest Days:
Sunday, Saturday, and official holidays.
GMT:
Spring -0600/ Fall -0600
Language:
Spanish
Currency:
Mexican Nuevo Peso(MXN)
For rate inquiry use (MEP)"
Billing Options,"Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS).
Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to Mexico. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Medical Items
Mexican customs requires the consignee to obtain a permit from the Health Department (COFEPRIS) for all medicine or medical products regardless if they are from a company or from an individual for personal use.
In the case of medical items for personal use, an import permit must be processed with the Health Department (COFEPRIS); which will be granted for a single occasion if it meets all the requirements imposed. If this permit is not presented, customs will not clear the shipment.
These items are not authorized to be imported with the UPS Standard Service (Colombia & Tijuana) including toothpaste, dental floss, and any medical devices.
Electrical Items
Electrical products in Mexico are required to comply with the Quality Certification Standards (NOM's).
If the value of the shipment does not exceed 2,500 USD, the import can be carried out by simplified procedure, exempting compliance with the Quality Certification Standards (NOM's) (See numeral ""1. Simplified entry"" of the Commodity Specific Stipulation)
Toys
Toys can be imported according to their value (See the Commodity Specific Stipulation).
In the case of toys intended for children under 3 years of age, it is required to comply with a permit of the Health Department (COFEPRIS).
Chemicals
Chemical products require an attached technical letter and its corresponding HS Code. They are considered ""Difficult to identify goods"" and as such cannot be imported through a simplified procedure.
In addition, a tariff restriction may apply to the product depending on the HS Code.
Computers
Computers and Laptops can be imported no matter if they are used or new, but they need to comply with Quality Certification or Labeling Standards, aka NOM's, on shipments above 2,500 USD if applicable Link to SNICE
Printers, monitors, mouse, CPU, keyboard, memory units, readers and scanners are allowed in for repair.
In case your computer is transported with a lithium battery, please refer to Link to UPS Special Item Shipping Guide
Compact Discs
To import CDs, it is necessary to provide a document with a value equal to or greater than 1 USD.
Wood and Products made of Wood
All shipments containing solid wood require:
SEMARNAT permit: for Marketing Purposes or for Non-marketing Purposes
Confirmation of payment of SEMARNAT permit
Ocular inspection (RV) - link
Fumigation stamp on all the sides. This includes, pallets, crating and the goods being shipped
May require an international phytosanitary certificate before entering Mexico, depending on the characteristics of the product
Goods made of heat-treated or processed wood (plywood), require only the Ocular Inspection (RV) approval.
Drugs (also see Medicine)
Mexican customs requires the consignee to obtain a permit from the Health Department (COFEPRIS) for all medicine or medical products regardless if they are from a company or from an individual for personal use.
In the case of medicines for personal use, an import permit must be processed with the Health Department (COFEPRIS); which will be granted for a single occasion if it meets all the requirements imposed. If this permit is not presented, customs will not clear the shipment.
These items are not authorized to be imported with the UPS Standard Service (Colombia & Tijuana).
Animal Products
Cows, goats, sheep, and pigs are considered domesticated animals. All other animals are considered non-domesticated animals. Items or products made from non-domesticated animals are restricted in the UPS system and only allowed with a UPS ISC contract. CITES permit and additional restrictions may apply, please check with your local ISC Coordinator.
The importation into Mexico of products made with animals in danger of extinction is not allowed unless the recipient has a CITES permit and processes the import permit from the Secretariat of Natural Resources of Mexico (Semarnat).
Consumables
Articles sent to Mexico for human consumption (internal or external) require a pre-permit from the Health Ministry (Sanidad). Non-compliant shipments will be returned to origin as required by law.
Wheels
Customs allows imported wheels, however, the consignee must present to Customs a special certificate called ""NOM Certificate""; the Quality Certification Standards (aka NOM's) are mandatory for the importation and trade of tires, tubes or valves for motor vehicle wheels.
NOM-086/1-SCFI-2011 (tires)
NOM-086-SCFI-2010 (tires)
NOM-121-SCFI-2004 (inner tubes for tires)
NOM-134-SCFI-1999 (tire valves)
Animals and Animal Products
Articles sent to Mexico for animal consumption (internal or external) require a pre-arrival permit from the Ministry of Agriculture and Rural Development (SAGARPA). Non-compliant shipments will be returned to origin as required by the law.
Books
Most of the books are exempt from taxes by Mexican customs.
Fasteners
All fasteners, screws, nuts, washers, etc., must have the following elements listed on the invoice:
Specific name description
Specific dimensions
International identification code
Product weight in kilograms
If these elements are not specified, shipments will be held in customs.
Medicine (also see Drugs)
Mexican customs requires the consignee to obtain a permit from the Health Department (COFEPRIS) for all medicine or medical products regardless if they are from a company or from an individual for personal use.
In the case of medicine for personal use, an import permit must be processed with the Health Department (COFEPRIS); which will be granted for a single occasion if it meets all the requirements imposed. If this permit is not presented, customs will not clear the shipment.
These items are not authorized to be imported with the UPS Standard Service (Colombia & Tijuana).
Photographs
Photographs are exempt from taxes by Mexican customs.
Alcoholic Beverages and Wines
There are no gift exemptions for Mexico. All goods going into Mexico are subject to the normal duty and tax rates.
There are no gift exemptions for Mexico. All goods going into Mexico are subject to the normal duty and tax rates.
A Customs Broker must arrange clearance (either UPS broker or the importer's own broker). Alcoholic beverages are not a restricted commodity, but if the consignee cannot arrange clearance, then UPS will return any bottles that the contents are less than 24% of alcohol volume to the shipper. For bottles with more than 24% alcohol volume, UPS will abandon the shipment. These items are not authorized to be imported with the UPS Standard Service (Colombia & Tijuana).
For Formal Entry, Marbetes Tag for wine bottles is also required (Issued by a government agency in Mexico).
If the value of alcoholic beverages is less than 2500 USD, the importation may be carried out in a simplified procedure with prior authorization from the import customs office, paying the following fees:
Product / Fee
Beverages with alcoholic contenct and beer with an alcohol content of up to 14 degrees GL - 77% fee
Beverages with alcoholic contenct and beer with an alcohol content of up to 14 degrees GL and up to 20 degrees GL - 82% fee
Beverages with alcoholic contenct and beer with an alcohol content of more than 20 degrees GL - 114% fee
The above fees will have reductions if the products prove through documentation that they originate from a party country with which Mexico has entered into a Free Trade Agreement or Cooperation Agreement. Please consult the respective rate with the Brokerage or Compliance Team.
Vulnerable Products
UPS will not pay the duties and taxes arising from import and export entries (Pedimentos) of products considered as vulnerable for the Mexican authorities.
Duties and taxes will be paid through the PECA service (Centralized Customs Electronic Payment) according to the conditions and requirements established for this purpose.
Products considered as vulnerable:
Ground, air and sea vehicles; new and used
Gambling and lottery machines, new and used
Equipment and materials for the manufacture of payment cards
Jewelry, watches, gemstones and precious metals, with a value equal or greater than 485 times UMA´s (UMA=$96.22 MXP)
Art work, with a value equal or greater than 4815 times UMA´s (UMA=$96.22 MXP)
Ballistic resistant materials for service provision of vehicle shieling, regardless of the value of the goods
Semiconductor supports, smart cards, cards incorporating an electronic integrated circuit (smart cards)
Semiconductor supports, smart cards, cards incorporating an electronic integrated circuit (smart cards)
All the electronic cards to pay (debit cards, credit cards, gift certificates and others)
UPS cannot be the IOR on import of Vulnerable Products
PECE Centralized Customs Electronic PaymentIs the payment form for Vulnerable goods to prevent the Money Laundering, the importer need to update their RFC in SAT (Service Tax Administration)
Also is necessary to provide the following bank information, to pay the Pedimento Previously the importer need in their Bank Account register the patent Broker (Check where will be the Mexican Customs to clear to register the correct Broker License)
Branch where the account was open - Account number
Bank Name (only Banamex, Bancomer and HSBC)
Bank ID number (4 digits)
Personal Effects or Personal Goods
Personal effects or personal goods, items that are used for personal use such as clothing, footwear, toiletries, and beauty products (provided they are used for and during the trip taken), can be shipped and cleared through customs as personal effects / goods. These shipments, however, require a copy of the itinerary and passport showing the trip details (which Must be within 6 months of import), not for sale, and their CURP# (similar to a U.S. Social Security number) if a Mexican citizen.
Personal Effects / Goods must be clearly stated on the invoice and goods description.
If the shipment includes medicine, a copy of the prescription must be presented with the quantities and doses indicated.
Any items intended for any other use, such as wholesale or retail sales, business purposes, and/or for distribution are not considered personal effects and cannot be shipped on this basis.
Laptops can be considered as personal effects in Mexico, only if the goods are accompanied by the traveler at the time of arrival into Mexico.
Personal effects or Personal Goods:
Personal effects or Personal Goods:
Can only be shipped via UPS Express or UPS Expedited. Personal effects / goods that are shipped UPS Standard Service will result in the packages automatically returned to the Shipper.
Shipments sent via UPS Express or UPS Expedited service are accepted to most destinations and may be cleared by UPS or an alternate broker.
Due to Mexican customs restrictions, personal effects / goods will not be accepted to the greater Colombia and Tijuana areas. Shipments containing these commodities will be returned to shipper.
For shipments containing other commodities (e.g. not personal goods and/or effects), UPS must be the broker for U.S. to Mexico Standard service. Please refer to the link MX Port Contact List to verify which ports have restrictions regarding personal effects. These products may be subject to customs revision and may be held for an undefined period of time (see Immobilized shipments on see additional clearance information).
Tapes (Audio, Video, Magnetic)
An import license is required when the value of the shipment is equal to or greater than US$2500.
Prior to the shipment leaving the United States, the consignee must obtain the import license.
Traveler's Checks
Unused traveler's checks must have a signature in order to be shipped. If the value exceeds US$10,000 a declaration signed by the shipper and consignee must be presented to the Mexican government.
Declaration on bringing and taking money in cash and/or securities form (Spanish & English) may be found ""Secretaría de Hacienda y Crédito"" - Link
Food
For import to Mexico:
A permit is required to ship non-perishable foods to Mexico. Prior to shipping, the permit must be obtained by the consignee from the Department of Health in Mexico.
All the food supplements without Federal Commission for the Protection against Sanitary Risk permit (COFEPRIS) cannot be cleared for any Mexican Customs.
Sweets (Candy, Cookies, Chocolate, etc)
Food sold as sweets have additional taxes imposed by the government. To comply with classification, the invoice should list the percentage of sugar of the total product. For example, a candy bar may be 70% sugar by weight.
Candy cigarettes (chocolate, sugar, etc.) are prohibited to import into Mexico in all forms.
Please note This also applies for any gifts, personal or commercial.
For export from México to abroad:
For the export of food from Mexico to abroad, mainly to the USA, it is only allowed to be sent through air service, it is restricted through the standard service and will be returned to the sender.
It is important to mention that only the shipment of food through the air service is allowed in small amounts or for personal consumption, not for resale, for example: bread, tortillas, cheese, >i>mole (in powder and paste), typical sweets (like cocadas, turrones, palanquetas, etc.), pralines, marzipan, ate, wafers, sweet pumpkin and sweet potato, guava roll, ravioli and peanuts, chocolates, fruit preserves, preserves (beans, corn, hominy corn, chiles), dough for tamales (corn dried or ground or prepared dough), tamale leaves, dried chiles, sauces.
Textiles
New Clothing
When importing clothing with a declared value of US$2500 or greater, the consignee must have the following requirements in place to import textiles:
Padron de Importadores: Customer´s importer registration with the MX Customs Authority (SAT). This is completed through ""Secretaria de Hacienda y Crédito Público"" - link: SAT´s website.
Padron Sectorial: An additional certification on the importer´s registration allowing them to import textiles. This is completed through ""Secretaria de Hacienda y Crédito Público"" - link: SAT´s website.
Normas de Etiquetado: Labels/markings in the textiles comply with Mexican marking laws, or if goods are not for resale, a letter from the importer advising the goods will not be re-sold.
Certificado de Origen (Certificate of Origin) Optional. Required only when customer requests reduced duty through trade program (NAFTA, TPP, etc.)
Some ports in Mexico do not allow import of textiles via Small Package. Please refer to the Mexico's Contacts to assure accepted in the port for your customer.
Used Clothing
Used clothing can be imported only if the consignee left clothes behind in another country or territory while traveling, and the used clothing is for personal use. The consignee must present an airline ticket or passport to demonstrate that he or she has recently returned to Mexico from traveling abroad.
Other
Some products due to their presentation in the form of powders, liquids or pharmaceutical forms, such as pills, troches, tablets, granules, tablets, capsules and draggers, which require physical or chemical analysis, or both, to know their composition, nature, origin and other characteristics necessary to determine its tariff classification, regardless of the quantity and the consigned value. In this case, UPS will return these goods to their country of origin.
Within this classification customs authorities may consider some products like cosmetics (cream, make up, shampoo, etc.), as well as certain food, as products difficult to identify even if they have a commercial packing.
These products may be subject to customs revision and may be held for an undefined period of time (see Immobilized shipments on see additional clearance information).
Shoes
For small package shipments (only authorized ports of Entry) valued less then 2,500 USD there are not restrictions for import. For Small Package shipments greater then 2,500 USD or all SCS shipments, the consignee must have the following requirements:
Padron de Importadores: Customers importer registration with the MX Customs Authority (SAT). This is completed in SAT´s website and applies to all importers of any material.
Padron Sectorial: An additional certification on the importers registration allowing them to import textiles. This is completed in SAT´s website.
In order to avoid incorrect customs declarations at import, it is mandatory that the exporter provide all the detailed information about the shoes (what kind of leather, what material used for soles and uppers, if are sport shoes, sandals, boots and if are for children, women or men). Duties and taxes will be determined with this info. The only authorized ports to import shoes are:
Mexico City Airport
Ciudad Hidalgo Chiapas
Lazaro Cardenas Michoacan (ocean)
Manzanillo Colima (ocean)
Mexico City (known as Pantaco)
Guadalajara, Jalisco (only 10 pairs)
Nuevo Laredo, Tamaulipas
Progreso, Yucatan (Merida)
Tijuana, Baja California
Veracruz (ocean)
There are no restrictions for export shipments.
Checks (Non-negotiable checks)
Any person who enters or leaves the country with cash values (or through the UPS service), national or foreign checks, money order or any other document receivable, including a combination of them, with a value greater than $10,000 USD or the currency or equivalent currencies in question, they will be obliged to declare the amount before the customs authorities in the official forms approved by the National Customs Agency of Mexico (ANAM) or the SAT (Tax Administration Service), following the link you can download the approved form:
Download the form in (Declaration of income and withdrawal of cash and/or securities format (Spanish and English), here.
If the check is found by the authorities, it will be confiscated, and the consignee is subject to fines and penalties and can be subject to criminal prosecution.
Catalogs
Catalogs are exempt from taxes by Mexican customs.
Magazines
Magazines are exempt from taxes by Mexican customs.
But if it is part of a serialization (such as issues or editions) you must pay taxes.
Used clothes
Used clothing can be imported only if the consignee left clothes behind in another country or territory while traveling, and the used clothing is for personal use. The consignee must present an airline ticket or passport to demonstrate that he or she has recently returned to Mexico from traveling abroad.
In no other scheme/case is the importation of used clothing allowed.
Software
To import software is necessary to provide a document with the real value of the software."
Gift Exemptions,"Shipment value amount:
0.00 No Currency Specified 000
Shipment type:
no gift exemption
Exemption rule:
no gift exemption

There are no gift exemptions for this destination country or territory. All goods going into Mexico are subject to the normal duty and tax rates."
Invoice Requirements,"Invoice
Mexico is a paperless country, and it is required a copy of the commercial invoice (in English and/or Spanish).
Starting July 1, 2016, for commercial exports (goods which are being sold to another party), MX Customs requires electronic filing of the commercial invoice for all formal entries (pedimento A1). This is called CFDI (Comprobante Fiscal Digital Impreso). Additionally, starting January 1, 2017, numerous additional elements will be required to be transmitted.
Detailed information can be located here.
Important note: If there is any information that allows to identify the goods individually (serial numbers, parts, brand, model), these must be entered on the invoice. The point-of-sale value of the merchandise and the consignees tax identification number (RFC number) must be included. Visible corrections on invoices will not be accepted.
The consignees phone number is required on all documentation. Invoices on company letterhead or Online UPS invoices (Worldship) are preferred. All other types of invoices could cause shipments to be delayed in Customs.

A Validation of Information
The clearance information has been validated as current/correct as of November 2021. All consignees are required to be registered with the Mexican Tax Authority (SAT) to be able to import or export in Mexico. For Small Package moves, UPS will act as the importer of record up to US$1000 for businesses and US$5000 for individuals. This excludes goods which require special licensing or where Mexican law prevents UPS from acting as the importer/exporter.
For processes on how to register a business or an importer and for commodities which may require additional licensing, see overview here."
Items Classified as Documents,"The commodity information has been validated as current/correct as of September 2022. For Small Package moves, UPS will act as the importer of record up to US$2500. This excludes goods which require special licensing or where Mexican law prohibit UPS from acting as the importer/exporter, such as products of difficult identification in the presentation of liquids, powder or pills, for example certain food, cosmetics, medicines, dietary supplements, among others.
Documents
Documents shipped in letter envelopes, Paks, or boxes do not require an invoice for Customs. Mark an ""X"" in the Documents Only box on the waybill or Instruction Letter. There are no duties and taxes for documents only.
Airline Tickets
Airline tickets are considered documents as long as they have the name of the passenger and cannot be transferred.
Annual Reports
Bids
Bill of Lading
Passports
Passports for personal use only.
Seismic Data
Visa Applications
Greeting Cards, Invitations
Non-commercial use only.
Newsletters (Company)

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to Mexico.
Negotiable Bonds, Drafts
Meat
Meat can only be imported/exported if the customer must have a Senasica permit, which is issued per shipment by the MX Government. More info can be found here.
Credit Cards
Credit cards, as they are merchandise marked as vulnerable products by the Mexican government, require for their import a formal entry with an IOR correctly registered in México other than UPS, payment of taxes directly from the IOR account ELECTRONIC PAYMENT FOREIGN TRADE (PECE) and several affidavits that identify the owner or ultimate beneficiary of these credit cards, since these can be used for the financing of crimes or management of resources of illicit origin.
Information on how to set up PECE payment can be found here.
For the previous reasons, the importation to Mexico of credit cards through small parcel with simple entry called T1 is restricted and all shipments will be returned to origin.
This restriction also applies to debit cards and all electronic payment cards.
Electronic Cigarette / Vaping Product
The importation of electronic cigarettes and vapers in all its forms is prohibited in Mexico.
Cigarettes/Tobacco
All products containing tobacco require a permit from COFEPRIS and payment of duties / taxes directly from the IOR account ""Centralized Customs Electronic Payment"" (PECE).
Link
In addition, cigarette importers require the Sectorial Import License (see section ""Registration in the specific sector of cigarettes""):
Link
Marijuana, including Marijuana intended for medical use
Marijuana is forbidden to import in Mexico in all forms. This includes seeds, tablets, ointment, herbs, dust, etc. even when intended for medical use.
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Military Equipment
The importation of weapons (and their parts such as telescopic sights or others), knives and explosives of any kind is regulated by the Mexican Army.
For knives, this rule applies specifically to knives that are for military use or as a weapon.
The army import permit (SEDENA) is required for each shipment.
If goods are denied access by the MX authorities, the goods will be seized by the government and not allowed to return to origin.
To know the requirements to get the permit please click here."
Saturday Delivery,"Saturday Delivery Available: Yes
Not available in all areas. Always check the international time in transit system for details of service availability within a country or territory.
Yes (Not available in all areas. Always check the international time in transit system for details of service availability within a country or territory) UPS offers Saturday delivery to selected postal codes in Mexico. The package must be shipped WW Express Saver and the shipper at the origin country or territory must place a ""Saturday Delivery"" sticker on the package. Always check the international time in transit system for details of service availability within a country or territory."
