Section,Content
Import Documentation,"Legalization
The shipper can obtain a certified Certificate of Origin and Invoice from the Saudi Embassy or Consulate or Chamber of Commerce within the origin country or territory prior to export to assist with clearance on arrival in Saudi Arabia.
Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.
Miscellaneous
IECEE permit/SASO
Commodities requiring SASO/IECEE
Electrical goods, Water pump, Washing Machine, Laptop & Desktop PC, Printer, Mobiles phones & Accessories, Car and mobile batteries.
Note :- Any electronic goods exported to Saudi Arabia, the power cord should be 3 pin as 2 pin is not allowed in Saudi Arabia.
The importer should have IECEE permit in Saudi Arabia and regarding SASO (Saudi Standards, Metrology and quality organization) any electrical / electronic /Car spare parts in commercial quantity will require a SASO from origin.
IECEE IEC System for Conformity Assessment Schemes for Electro technical Equipment and Components. IECEE is needed for personal consumption if quantity exceeds more than 2.
Saber/SASO
Saber is an electronic platform that helps the local supplier and factory to register the required conformity certificates electronically for consumer products, whether imported or locally manufactured, to enter the Saudi market. The platform also aims to raise the level of safe products in the Saudi market .For registered products list kindly refer to the below link:
https://saber.sa/home/regulations
Certificate of Origin
For shipments to Saudi Arabia a legalized Certificate of Origin and Commercial Invoice (see ""Legalization"") is required for shipments containing goods with a removable country or territory of origin, e.g. if the origin is placed with a sticker on the goods, only. For goods with an un-removable country or territory of origin, e.g. permanently stamped or marked a Certificate of Origin will be not required. However SFDA, ,CITC,MOI & other Government departments have the right to request a Certificate of Origin at any time.
The Certificate of Origin issued by the Chamber of Commerce is sufficient. A certification by the Saudi Embassy or Consulate is not mandatory.
Note: In the event that one or more required documents are not available at the time of importation, the importer may issue a ""guarantee letter"" with Customs. The letter may gain the shipper 90 days to produce the documentation. If the documentation is not produced, a penalty of 2000.00 SAR or US$533.33 (USD) will be applied to the customer.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS.
Certificate of Conformity
The Certificate of Conformity/SASO states the compliance of the certified goods with approved standards of Saudi Arabia and the conformity to the accompanying invoice. The Certificate of Conformity must be issued by an approved accreditation authority and must be based on laboratory testing of the goods. The authorities reserve the right of taking samples and testing the goods to verify the CoC on base of the test results.
The CoC has to accompany the shipments to ensure clearance. The CoC is needed for all kind of mobile phones, computers and computer parts, any other kind of telecommunication equipment and all electric home appliances and their sparepart.
IECEE IEC System for Conformity Assessment Schemes for Electro technical Equipment and Components. IECEE is needed for personal consumption if quantity exceeds more than 2 .
The regime of standardisation and product safety is a living target and other commodities might be included. For further information please check the website of the Saudi Arabian Standard Organization (http://www.saso.org.sa/engsite/] ,the customs website of Saudi Arabia ( http://www.customs.gov.sa/CustomsNew/default_E.aspx ), the website of the Saudi Arabia Ministry of Commerce and Industry http://www.commerce.gov.sa/english/default.aspx ) or your local Chamber of Commerce."
Clearance Information,"Post Office Boxes
Consignee's full name and a valid telephone number, company name (if applicable), building name and or number, and apartment number (if applicable), street name, area name, and city are required. A valid phone number (preferably mobile) is vital to recover any missing clearance documents and/or validate the delivery address if needed. Please note that missing address requirements will cause a delivery delay. A P.O. Box address is not valid as we do NOT deliver to a P.O. Box.
Important Note: Shipments addressed to a P.O. Box are excluded from the UPS International guarantee regardless of the payer. A delay in delivery may occur due to the need for the consignee's physical address in order to complete delivery.
Duty and Taxes
Please note that not only the value(s) of the commodity/commodities have to be considered when calculating duty and tax, but also the freight charge and other fees.
Clearance Comments
As per customs notification any product /items Country of Origin (COO) PK will be subject to hold by Audit Department and once the audit flag is removed shipment can be cleared from customs ,this applies to all items COO Pakistan regardless of the Origin country shipments whose bill of entry is processed will be held .This applies to all port of entries in SA and only to Non documents.
Currently there are no timelines for release as such and some cases it can exceed even 1-2 weeks, this does not apply for documents.
Ban of Imports
Pornographic material, including toys or any item of a sexual nature, is strictly prohibited.
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping.
Miscellaneous
Following new regulations from the Saudi Government, any E-commerce (B2C) shippers should breakdown the invoice as per the example below and also the customer procuring the order online should be aware/notified of the clearance charges at the destination
In case the breakdown of applicable charges has not been notified to the consignee upfront to importation, the charges will be auto reversed back to the shipper.
Shipping Amount _based on origin countries and as agreed rate between UPS and E-commerce platforms
High value shipment subject to duty and VAT. (above 266 USD or 1000 SAR )
High value shipment subject to government smart system fees (FASAH I)
Dutiable shipments subject to declaration form fees.
Low value shipment subject to VAT. (Below 266 or 1000 SAR )
All shipments subject to disbursement fees.
Invoice details sample:
Value of the shipment :-
Shipping & Handling ( as per the agreed rates with UPS Origin) :-
Discount if any :-
Total amount before VAT at destination if shipment is F/D=e.g .Duty, VAT, Government smart system fee ( Fasah )
Total amount
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver."
Areas Served,"Service is provided to and from every address in the country or territory.
Consignee's full name and a valid telephone number, company name (if applicable), building name and or number, and apartment number (if applicable), street name, area name, and city are required. A valid phone number (preferably mobile) is vital to recover any missing clearance documents and/or validate the delivery address if needed. Please note that missing address requirements will cause a delivery delay. A P.O. Box address is not valid as we do NOT deliver to a P.O. Box.
Important Note: Shipments addressed to a P.O. Box are excluded from the UPS International guarantee regardless of the payer. A delay in delivery may occur due to the need for the consignee's physical address in order to complete delivery.
Rest Days:
Friday, Saturday, and official holidays.
Rest days for public sector are Friday, Saturday, and official holidays.
Most private companies are closed for weekend off on Friday and Saturday. Some private companies work half day on Thursday or Saturday.
Only UPS rest day is Friday.
GMT:
Spring +0300/ Fall +0300
Language:
Arabic
Currency:
Saudi Riyal(SAR)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
As per requirement from Country Courier Regulatory; any shipper sending shipments via E-commerce platform to customers in Saudi Arabia (receiver) must notify of complete charges for Duty/Vat/disbursement fee (Import charges) applicable at destination. Failure to comply to this requirement will result in Import charges reversed back to Origin without prior notice or authorization requirement. Please refer to Worldcom session-Clearance information > Additional Clearance information-for further information.
As per requirement from Country Courier Regulatory; Disbursement fees of shipment where consignee is an individual (Released not under consignee VAT number) must be absorbed by shipper and will be charged to shippers via WWF paperwork process independently of bill term without prior notice or authorization requirement.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to Saudi Arabia. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Cosmetics
Cosmetics are subject to strict Ministry of Health inspections. If the customs authorities are not satisfied with the initial inspection, they will forward the shipment to the Central Lab for analysis. Clearance is done based on the final report from the Central Lab.
All cosmetic products should be accompanied by a Certificate of Conformity. For further information see 'Certificate of Conformity' under section 'Additional Import Documentation'.
Production and expiration date must be on the packs, bottles, cans or containers.
All ingredients and constituents must be listed on the packs, bottles, cans or containers preferably in Arabian letters.
The country or territory of production must be affixed in irremovable manner on the packs, bottles, cans or containers and on the outer package as well.
Jewelry
Accessories made of precious metal (for example, rings, earrings, bracelets) must have the country or territory of production engraved.
Import is not allowed for any gold item having a purity of less than 18 carat.
Accessories consisting of different metals, the degree of purity (for example, carat of gold) or the portions of the metals must be indicated.
Accessories made of silver or gold must show the logo of the consignee (for example, the trading or marketing logo or the company stamp) to avoid import delays and penalties or fines. Once a shipment arrives, it will be sent to Lab check to check the purity of Silver /Gold
Samples accessories are subject to tests to ensure that they are free of toxic materials or radiation. Only if shipment passes the test, will it be cleared finally.
The importation of jewelry showing religious symbols is strictly prohibited.
The following documentation must be provided for clearance purposes:
 Original COO (Legalized ) and Original CI ( Legalized ) . The exporter should mention the weight and quantity of each item separately on the invoice.
Vitamins
See medicine for details.
Telecommunication Equipment
All communication equipment requires an import license from the Saudi Ministries. All telecommunication equipment requires a Certificate of Conformitiy (CoC) to ensure product saftey. The CoC has to accompany the shipments. For further information see 'Additional Import Documentation' in section 'Clearance Information'.
Computers
Computer Equipment.
All computers and computer eqipment requires a Certificate of Conformitiy (CoC) to ensure product safety. The CoC has to accompany the shipments. For further information see 'Additional Import Documentation' in section 'Clearance Information'.
Communication Items
All kinds of telephone sets and related parts require an Import License from the concerned Saudi Ministries and are subject to inspection before release from customs.
Clothing
If the country or territory of origin is not specified on the internal labels, clothing will not be allowed to import.
Import of military uniforms may require an Import License.
The importation of garments showing religious symbols is strictly prohibited.
Drugs (also see Medicine)
Any type of medicine in the form of tablet /powder/Liquid or herbal is strictly prohibited for import into Saudi Arabia for private individuals.
Shipments require a certificate from the City Health Authority Department in the origin country or territory. This is required for all medicine shipments (prescription or non prescription). This certificate must state articles used, names of each product, formula, date and number of the permit for manufacture. A letter from the Health Authority containing the necessary information may be used if a formal certificate is not available.
Small shipments of medicines and vitamins imported into the country or territory, (4-5 bottles would constitute small) are taken directly to the Ministry of Health, which is located inside the Saudi Airlines Terminal where the goods are stamped as cleared, returned and released.
Larger shipments or shipments needing further inspection, are transferred to the Ministry of Health downtown by the Customs duty manager. The consignee must collect all the paperwork from UPS and then verify the reason for import, present any paperwork for legal reasons, and all medical related documents. Once this is finalized, the Ministry of Health will stamp release (all medicines duty exempt) and will return to UPS at the airport. UPS will arrange delivery or the consignee can collect.
Commercial shipments of Nutritional Supplements / Food Supplements / Vitamins / Medicine / Drugs require an import permit from the Ministry of Health (MOH) and or Saudi Food and Drug Authority (SFDA) and must be obtained by the importer prior to shipment arriving to any port of entry.
Prior to export, the shipper is responsible to check and confirm with the importer that all import permits are submitted to UPS brokerage prior to import of shipment for customs clearance.
If import permits are incorrect or not available upon import, shipment will be immediately seized by customs authorities with no RTS or future clearance option.
Additional accessorial charges (disposal) will be determined by the customs authorities and this will be charged back to the shipper.
Animal Products
Cows, goats, sheep, and pigs are considered domesticated animals.All other animals are considered non-domesticated animals. Items or products made from non-domesticated animals are restricted in the UPS system and only allowed with a UPS ISC contract. CITES permit and additional restrictions may apply, please check with your local ISC Coordinator.
Animal feeds are subject to strick Ministry of Health inspections. If the customs authorities are not satisfied with the initial inspection, they will forward the shipment to the Central Lab for analysis. Clearance is done based on the final report from the Central Lab.
Machine Parts
The invoice must provide the description of the parts, components and the machine for which it is used.
Discs
Discs containing pictures that are considered offensive will be destroyed.
Films
Films containing pictures that are considered offensive will be destroyed.
Intercompany Data on CD-Rom/Disk
Data shipments to Saudi Arabia require an invoice with the value of the CD-ROM or disk only.
Medicine (also see Drugs)
Any type of medicine in the form of tablet /powder/Liquid or herbal is strictly prohibited for import into Saudi Arabia for private individuals.
Shipments require a certificate from the City Health Authority Department in the origin country or territory. This is required for all medicine shipments (prescription or non prescription). This certificate must state articles used, names of each product, formula, date and number of the permit for manufacture. A letter from the Health Authority containing the necessary information may be used if a formal certificate is not available.
Small shipments of medicines and vitamins imported into the country or territory, (4-5 bottles would constitute small) are taken directly to the Ministry of Health, which is located inside the Saudi Airlines Terminal where the goods are stamped as cleared, returned and released.
Larger shipments or shipments needing further inspection, are transferred to the Ministry of Health downtown by the Customs duty manager. The consignee must collect all the paperwork from UPS and then verify the reason for import, present any paperwork for legal reasons, and all medical related documents. Once this is finalized, the Ministry of Health will stamp release (all medicines duty exempt) and will return to UPS at the airport. UPS will arrange delivery or the consignee can collect.
Commercial shipments of Nutritional Supplements / Food Supplements / Vitamins / Medicine / Drugs require an import permit from the Ministry of Health (MOH) and or Saudi Food and Drug Authority (SFDA) and must be obtained by the importer prior to shipment arriving to any port of entry.
Prior to export, the shipper is responsible to check and confirm with the importer that all import permits are submitted to UPS brokerage prior to import of shipment for customs clearance.
If import permits are incorrect or not available upon import, shipment will be immediately seized by customs authorities with no RTS or future clearance option.
Additional accessorial charges (disposal) will be determined by the customs authorities and this will be charged back to the shipper.
Microfilm, Microfiche
Microfiche may be held by the Ministry of Information for several days prior to release. If considered offensive they may be destroyed.
Fire Detectors and Fire Alarms
The importer of fire detectors & fire alarms must have an import license for customs clearance.
Surveillance Cameras
The importer of surveillance cameras must have an import license for customs clearance.
Newspapers
Shipments subject to censorship, any offensive material will be subject to delay.
Home Appliances
For commercial shipments, shipper must send Certificate of Conformity (CoC) with the shipment. For further information see 'Additional Import Documentation' in section 'Clearance Information'
USB Sticks
Data shipments require an invoice with the character of the USB stick (storing intercompany data) and the value of the USB Stick.
Tapes (Audio, Video, Magnetic)
Audio, uncensored CD, DVD, video cassette and other media are subject to a strict Ministry of Information check.
Radios and Radio Equipment
Two-way radios, communication radios, wireless radio equipment and their parts are prohibited for importation into Saudi Arabia.
Only normal radios used for entertainmant purposes are allowed.
Nutritional Supplements
See 'Medicine' for clearance requirements.
Magazines
Magazines containing pictures that are considered offensive will be destroyed.
Food
Food items are subject to strict Ministry of Health inspection. If the customs authorities are not satisfied with the initial inspection, they will forward the shipment to the Central Lab for analysis. Clearance is done based on the final report from the Central Lab.
For additional clearance requirements see 'Cosmetics'.
Software
Software may be held by the Ministry of Information for several days prior to release. If considered offensive they may destroyed.
CD Roms
These items may be held by the Ministry of Information for several days prior to release. If considered offensive, they may be destroyed.
Global Positioning Systems
Shipments need clearance approval from Communications And Information Technology Commission (CITC).
Food Supplements
A whole range of products are considered to be food supplements like vitamins, mineral supplements and supplements used for supporting athletics (e.g. protein blends, sports drinks, amino acids). For clearance details see 'Medicine'."
Gift Exemptions,"Shipment value amount:
0.00 Saudi Riyal SAR
Shipment type:
no gift exemption
Exemption rule:
per shipment

No gift exemption for shipments to Saudi Arabia"
Invoice Requirements,"Invoice
Non-document shipments to Saudi Arabia must include 1 original and 2 copies of an invoice.
Shipments without the following information will often be delayed, possibly undeliverable, and ultimately abandoned:
Consignee's complete address including the P.O. Box number
Consignee's full name
Consignee's telephone number
The invoice must be prepared on the shippers company letter head. Invoices prepared through the Worldship system can be accepted provided
Invoice shows company stamp of shipper
Invoice legalized for invoice value more than US$2,600.00
Shipments of documents do not require an invoice.
The consignee's email address, if available, should also appear on the invoice.
Please also refer to 'Additional Clearance Information' for additional requirements
Failure to comply with this requirements may result in:
Delayed customs clearance
Confiscation of the shipment by SA customs authority
RTS at shippers expense"
Items Classified as Documents,"The destination country or territory considers the following items document shipments. If criteria are listed, the shipment must meet those criteria to be considered a document shipment. All shipments of printed matter are subject to inspection by the Ministry of Information.
Cash Letters
Labels
Manuscripts
Airline Tickets
Bids
Checks (Non-negotiable checks)
Forms (Blank)
Credit Cards
A maximum of two credit cards may be sent to a private individual. Shipments of more than two credit cards are prohibited.
Diskettes
Only diskettes including data are classified as documents. New diskettes are classified as non-documents.
Intercompany Mail
Manuals (Technical)
Pamphlets
Pamphlets which contain pictures, advertising or other content considered offensive will be destroyed by Saudi Customs.
Passports
Valid for visa stamp purposes.
Event Tickets
Tickets for events like stage performances, football matches or concerts can be sent as documents up to a limit of 5 kgs per shipment.
Event tickets coming from a printing company and send to the organizer of the event or ticket sales offices can not be sent as documents.
Photographs
Photographs which contain any pictures, advertising or other content considered offensive will be destroyed.
Price Lists
Examination Papers
Drivers License
Proposals
Specifications Sheets
Transparencies
Traveler's Checks
Visa Applications
Drawings
Greeting Cards, Invitations
Doc if small quantities (4 or 5)
Graphs
Negotiable Bonds, Drafts
Advertising Literature
Annual Reports
Envelopes (Blank)
Diplomas
Sepia Drawings
Business Cards
Newsletters (Company)
Blueprints
Charts
Negatives
Must be non-offensive.
Computer Print-Outs

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to Saudi Arabia.
Antiques
Antiques are prohibited
Toys
Human or animal toy figures that resemble an idol are prohibited. Toys or sample items of any military nature are also prohibited.
In addition, the importation of toys showing religious symbols is strictly prohibited.
Weapons
Firearms and accessories thereof are prohibited from import into Saudi Arabia. This includes parts, holsters, manuals, books, training accessories, targets, etc. Anything related to guns is prohibited.
Religious Material
Bibles and other religious items are strictly prohibited.
Israeli Origin Goods
Chemicals
Any form of chemicals DG/Non-DG in any form is prohibited to be imported into Saudi Arabia, this is applicable for samples or commercial shipments.
Penalty of 5000 SAR will be applied for each shipment imported by and customer and same will be reverted back to shipper/origin.
Perfumes
Commercial perfume shipments clearance is done based on the Central Lab analysis. Shipper must send original commercial invoice and certificate of origin, both must be attested by Chamber of Commerce at origin.
All ingredients and constituents must be listed on the packs, bottles, cans or containers.
The country or territory of production must be affixed in irremovable manner on the packs, bottles, cans or containers and on the outer package as well.
Tobacco Products
As per Customs, any form of Tobacco whether in liquid form/Chewable including E-Cigarettes are strictly prohibited to be imported into Saudi Arabia regardless of whether personal or commercial quantities, upon inspection Customs will intercept and seize the shipment-penalty will be applied-and same will be reversed back to origin country regardless of the service level.
Personal Effects
Personal Effects cannot be shipped between these countries or territories.
Artwork
Artwork is prohibited
Mobile Telephones
Mobile cover imitations or mobile accessories of any brand which are not original or branded, are not allowed and Customs will impose penalty on consignee and if refused. the same will be charged back to the origin country or territory.
Imports of commercial quantities of Mobile Phones.
Apple I-Phone :
Any importer should be registered & certified from ( Saudi Arabian Stand Authority ) SASO in Saudi Arabia. A copy of the same should be attached with the invoice prior to export.
If the SASO certificate does not arrive with the shipment then customs will check in their system to verify if the consignee is registered, then the shipment will be inspected and cleared. If the consignee is not registered, then the shipment will be sent to for a laboratory check and shipment can be delayed for 10-20 days.
Upon receiving the report, if the shipment is counterfeit, then the consignee will be prosecuted as per the legal procedure.
Samsung /Other mobiles:
Normal clearance for Samsung and other branded mobiles.
Upon arrival, the shipment will be inspected and if in doubt then the shipment will be sent for a laboratory check and the shipment can be delayed for 10-20 days for the result.
Upon receiving the report, if the shipment is counterfeit then the consignee will be prosecuted as per the legal procedure.
Documents required for Mobile phone clearance:
Original invoice legalized from the chamber of commerce at the origin country or territory.
Original certificate of origin legalized from the chamber of commerce at the origin country or territory.
Original certificate of conformity ( SASO ) legalized from certified company such as Intertek , TUV ,SGS etc.
Consignee Commercial registration ( CR ) copy.
Cigars
Shipments which contain Cigars, can only be sent to Saudi Arabia under F/D or DDP mode. Upon arrival, customs will revalue the shipment and apply the below charges and the revalue is done as per the customs tariff. Based on the new value, the customs will calculate 215 % duty & VAT 15%. Below is the breakdown:
Duty 100 % Duty on Revalued Amount
Tobacco Tax 100% Duty on Revalued Amount
Vat 15%
Narcotics
Narcotics are prohibited
Electronic Cigarette / Vaping Product
As per Customs, any form of Tobacco whether in liquid form/Chewable including E-Cigarettes are strictly prohibited to be imported into Saudi Arabia regardless of whether personal or commercial quantities,upon inspection Customs will intercept and seize the shipment-penalty will be applied-and same will be reversed back to origin country regardless of the service level.
Religious Symbols
The importation of commodities like toys, jewelry or garments showing religious symbols are strictly prohibited.
Gambling Items
Any items or goods that could be used to gamble (including playing cards, dice, slot machine, roulette, etc.)are prohibited for importing to Saudi Arabia.
Drones
Drones are banned for import.
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Alcoholic Beverages
Alcoholic Beverages are strictly prohibited for import into Saudi Arabia.
Satellite Equipment
Satellite communications equipment is subject to inspection by the Ministry of Information and may be prohibited.
Satellite cards and internet cards are strictly prohibited and will incur a fine of approximately US$1,500.00 for each item imported.
Miscellaneous
Metal Detectors are banned for import.
Signal Extendable // Wi-Fi Extenders are not allowed to be imported into Saudi Arabia.
Watches
Samsung or any other watch which includes a camera is not allowed in Saudi Arabia and Customs will impose penalty on consignee and if refused, the same will be charged back to the origin country or territory.
Used goods
Used car parts are prohibited for import
Military Equipment
Books
These items may be held by the Ministry of Information for several days prior to release. If considered offensive they may be destroyed. The Holy Quran is prohibited for import.
Pornographic Material/Toys
Pornographic material, including toys or any item of a sexual nature, is strictly prohibited."
Service Options,"Always check Calculate Time and Cost for details of service availability and guarantee information within a country or territory. All Service Levels may not be available to or from every address within a country or territory.
India to Saudi Arabia
UPS Worldwide Express Saver
UPS Worldwide Expedited
UPS WorldWide Express Freight"
