Section,Content
Import Documentation,"Declaration of Origin
The Declaration of Origin (Form DA 59) must accompany goods exported to South Africa which are subject to anti-dumping, countervailing or safeguard duties or in respect of which import restrictions are imposed in South Africa against imports from specific countries or territories, and imported from a country or territory other than that for which the duty and /or import restriction is imposed.
Customs may require the Declaration of Origin for clarification with regard to the declaration or any other documentation pertaining to proof of origin or proof of preferential trade of the goods. Shipments must be stopped until the DA 59 is provided by the exporter.
When the form is required, exporters or suppliers must provide at least one original signed copy. A Chamber of Commerce Certification or a Customs stamp is not required.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS."
Clearance Information,"Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver.
Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Duty and Taxes
Please note that not only the value(s) of the commodity/commodities have to be considered when calculating duty and tax, but also the freight charge and other fees.
Registration Number
The importer or exporter must provide a registration number for each import or export declaration. Commercial importers or exporters must provide their registered Importer/Exporter code. Importers or exporters who have no registered code available must apply with SARS for an importer/exporter code.
Private individuals must provide a South African ID number or a SARS (South African Revenue Service) Tax Reference Number.
Foreign entities can register with SARS as a foreign principal and appoint a local registered agent.
A missing registration number may cause delays.
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping.
Customs Clearance Process
Delays will occur for clearance of import shipments to South Africa due to SARS (South African Revenue Service) revenue drive taking place as an ongoing project.
It is very important for origin stations and shippers to declare the correct export value on the commercial invoice. If detained, SARS will request for the commercial invoice and Bank proof of payment. It is important not to under declare.
Please note: Customs will raise possible penalty of R2500.00 + 10% of the VAT for due clearances not done within the prescribed time (14 days) from the date the shipment arrives in the country or territory.
The clearance process includes accepting and checking the goods declaration against the documents produced (invoice, bill of lading, certificate of origin, permits, etc.), examination of the goods if necessary and the assessment and collection of duty and VAT. Customs may require additional information and may also request samples. Customs may also detain goods for other Government departments. The relevant Government department will then ensure compliance with their applicable laws, regulations and rules.
How long will I be allowed to make a declaration?
National legislation gives an importer / agent seven days (an additional seven days in which to make due entry for loose or break bulk cargo, imported by sea, air or rail i.e. 14 days) or 28 days in the case of goods in a container depot, in which to clear goods from the time they have landed in the Republic.
What happens if goods are not declared on time?
These may be removed and detained in a State Warehouse. It must be noted that certain goods will require an import permit, which must be produced at the time of clearance. Application for Import Permits must be made to The Department of Trade and Industry."
Areas Served,"Service is provided to and from certain cities.
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Rest Days:
Sunday, Saturday, and official holidays.
GMT:
Spring +0200/ Fall +0200
Language:
English
Currency:
Rand(ZAR)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to South Africa. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Cosmetics
The above mentioned items may attract additional enforcement from Other Government Agencies such as the Department of Health The relevant departments will review consignments on a case by case basis.
Machinery
Electronics and Machinery including parts may require a Letter of Authority from the National Regulator for Compulsory Specifications (NRCS). It is important that the importer determines the requirements prior to importation.
Coffee
The above mentioned item may attract additional enforcement from Other Government Agencies such as the Department of Health.
The relevant departments will review consignments on a case by case basis.
Miscellaneous
The following shipments require an Import Permit:
petroleum products
raw and scrap metal
Electronics
Electronics and Machinery including parts may require a Letter of Authority from the National Regulator for Compulsory Specifications (NRCS). It is important that the importer determines the requirements prior to importation.
Intercompany Data on CD-Rom/Disk
Data shipments require an invoice with the value of the data and the value of the CD-ROM or disk.
USB Sticks
Data shipments require an invoice with the character of the USB stick (storing intercompany data) and the value of the USB Stick.
Unsolicited Gifts
Gift  A gift is classified as any item sent from a natural person abroad to another natural person in the Republic that is unsolicited by the recipient. These include but are not limited to weddings, birthdays, etc.
In terms of item 412.10  A person can receive two gifts per calendar year, of which the value must not exceed 1 400.00 Rand for each parcel on which the duty will be rebated.
Customs Charges  Should the value of the parcel exceed 1 400.00 Rand, customs charges will be paid on the total price actually paid for the item. On gift parcels where the contents are intended for more than one person and the total declared is more than 1400.00 Rand, customs charges will be paid by the recipients as the rebate cannot be split and the gifts cannot be linked to people other than the recipient.
Important Information: Please note that the following commodities are subject to inspections by the relevant government department before being cleared or dispatched to its intended destination:
All Medications (including prescriptions, vitamins, enhancers, skin lightening creams, etc.) are subject to inspection by Port Health.
Plants, vegetables, etc. are subject to inspection by the Department of Agriculture.
Animals and their articles thereof are subject to inspection by the State Vet.
Please allow up to a period of 48 working hours for the inspection process to be finalised.
Parts
The invoice should include a description of the part, the part's components, and the machine that will use the part.
Textiles
All textile products originating or manufactured in China require a Certificate of Origin (DA59)to be imported.
Drugs (also see Medicine)
The import of medicines or other scheduled substances is regulated and the importer must be licensed in terms of the Medicines and Related Substances Act, and, in respect of unregistered medicines, is authorized (by virtue of a permit issued by the Medical Control Council) to import such unregistered medicines.
Ports of entry are limited to Johannesburg International Airport and the airports and harbours of Cape Town, Port Elizabeth and Durban only.
For further information regarding the import/export of this product, please visit www.mccza.com - Documents -Guidelines - Miscellaneous.
Animal Products
Animal Feed may attract additional enforcement from other Government Agencies such as the Department of Health, Department of Agriculture and the State Vet.
The relevant departments will review consignments on a case by case basis.
Medicine (also see Drugs)
Medicine inclusive of complementary medicine available to the public of South Africa is subject to registration with Medicine Control Council to ensure the safety, efficacy and quality of medicines. Importation of medicines for retail requires registration of the medicine and an Import License from the Department of Health.
Unregistered medicine may only be imported inclusive for personal use, if a section 21 permit has been issued by the Department of Health.
Ports of entry are limited to Johannesburg International Airport and the airports and harbours of Cape Town, Port Elizabeth and Durban only.
For further information regarding the import/export, pls visit: http://www.itac.org.za/
Samples
The invoice must include a detailed description of the sample and indicate whether the sample is marked or mutilated in line with SARS Sample Policy. No more than six items are allowed per consignment. A value for customs purposes must be declared.
Tea
The above mentioned item may attract additional enforcement from Other Government Agencies such as the Department of Health.
The relevant departments will review consignments on a case by case basis."
Gift Exemptions,"Shipment value amount:
1400.00 Rand ZAR
Shipment type:
individual-to-individual
Exemption rule:
per shipment

In addition to a detailed description of each item, write additional comments of ""gift shipment"" on the invoice and in the Special Instructions box of the UPS Waybill to insure a proper assessment of duties and taxes. Gift shipments to and from private individuals are limited to 2 packages per year.
Private importers are only allowed to import 3 times a year (including non-gift shipments) without an importers code, before penalties are assessed. Please also refer to Additional Clearance Information."
Invoice Requirements,"Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.

Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Non-document shipments to South Africa must include 1 original and 2 copies of an invoice.
The invoice must be electronically generated, in or translated into English and include a value for the shipment. No Proforma Invoices will be accepted.
To facilitate clearance, the air waybill tracking number should be included on the invoice.
Shipments being exported to South Africa must be accompanied by a commercial invoice in foreign currency and not the local currency (ZAR) as per Section 73 of the Customs & Excise Act of South Africa.
The only time the local currency(ZAR) will be accepted on an invoice, will be if the importer has a Forward Exchange Contract with the South African Reserve Bank. The FEC number must be inserted on the commercial invoices accompanying the shipment.
The Importer of record on the courier waybill and on the commercial invoices must correspond in order to customs clear. If possible, endorse the importers code and vat number for the South-African registered company on the commercial invoices.
Shipments of documents do not require an invoice.
The consignee's telephone number, mobile number and email address if available, should appear on the invoice."
Items Classified as Documents,"The destination country or territory considers the following items document shipments. If criteria are listed, the shipment must meet those criteria to be considered a document shipment.
Bids
Checks (Non-negotiable checks)
Forms (Blank)
Intercompany Mail
Intercompany mail shipments require an invoice only if the shipment is for non-commercial purposes.
The waybill must include a description of intercompany mail.
The value should be of no commerical value or zero value.
Shipments not meeting this criteria require an invoice.
Commercial mail with a value greater than zero is considered a non-doument and requires an invoice.
Event Tickets
Tickets for events like stage performances, football matches or concerts can be sent as documents.
Event tickets coming from a printing company and sent to the organizer of the event or ticket sales offices can not be sent as documents.
Price Lists
Proposals
Seismic Data
Specifications Sheets
Traveler's Checks
Must be personalized to be considered documents.
Visa Applications
Newsletters (Company)
Drawings
Cash Letters
Cash letters are defined as follows: A letter given to someone showing that they can get a loan for the amount of money on the letter. Negotiable items include banker's drafts, bearer bonds, bearer share certificates, bonds, cashier checks, cash letters, checks (both unused and written), credit cards, letters of credit, lottery tickets, money orders, promissory notes, stocks, traveler's checks, (both unused and written). The value of a negotiable items is its paper value, reissue amount, or stop payment fee (not the issue amount).
Examination Papers
Up to 15 Kgs
Drivers License

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to South Africa.
Alcoholic Beverages
Alcoholic beverages are subject to excise duty. The importation of alcoholic beverages can only be accepted on a contractual basis through an International Special Commodities (ISC) contract.
Shipments of alcohol to private individuals are prohibited even if shipped under ISC contract.
If import is of a non-commercial nature, then a Import Exemption Certificate will be required from the department of Agriculture.
If import is of commercial nature, a Liquor License and B - Code permit will be required from the department of Agriculture.
An invoice with an adequate description and country or territory of origin is required.
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Passports
Passports can only be transported from Embassy in origin country or territory to Embassy in South Africa.
Personal Effects
Personal Effects cannot be shipped between these countries or territories.
Lithium Metal Batteries
Shipments of Lithium Metal Batteries are prohibited on Emirates Airlines flights which UPS uses to this destination country or territory.
Alternative arrangements are in place, but expect transit delays if the normal planned flow of the package is via Dubai, United Arab Emirates. Time in Transit may be extended due to solution found."
Service Options,"Always check Calculate Time and Cost for details of service availability and guarantee information within a country or territory. All Service Levels may not be available to or from every address within a country or territory.
India to South Africa
UPS Worldwide Express Saver
UPS Worldwide Expedited
UPS WorldWide Express Freight
UPS Worldwide Express
UPS Worldwide Express Plus"
