Country_A,Port_A,Country_B,Port_B,Distance,Route,Time,Price_Per_Container,Price_Per_kg
United States,Houston,China,Shanghai,10138,PANAMA CANAL,42 days 06 hours,4777.7189905376,0.15925729968458666
United States,Houston,Japan,Yokohama,9254,PANAMA CANAL,38 days 13 hours,4361.1177291808,0.14537059097269334
United States,Houston,Germany,Hamburg,5262,DIRECT,21 days 22 hours,2479.8142955424,0.08266047651808
United States,Houston,India,Bombay,9727,SUEZ CANAL,40 days 13 hours,4584.0276801104,0.15280092267034667
United States,Houston,United Kingdom,Felixstowe,4983,DIRECT,20 days 18 hours,2348.3304132816,0.07827768044272
United States,Houston,France,Marseilles,5458,STRAIT OF GIBRALTAR,22 days 18 hours,2572.1829010016,0.08573943003338666
United States,Houston,Brazil,Santos,5510,DIRECT,22 days 23 hours,2596.688857552,0.08655629525173333
United States,Houston,Italy,Genoa,5615,STRAIT OF GIBRALTAR,23 days 10 hours,2646.172039048,0.08820573463493334
United States,Houston,Canada,Vancouver,5588,PANAMA CANAL,23 days 07 hours,2633.4477923776003,0.08778159307925334
United States,Houston,Russia,Novorossiysk,7024,STRAIT OF GIBRALTAR,29 days 06 hours,3310.1892078848,0.11033964026282667
United States,Houston,Australia,Melbourne,9483,PANAMA CANAL,39 days 12 hours,4469.0381916816,0.14896793972272002
United States,Houston,Spain,Algeciras,4772,DIRECT,19 days 21 hours,2248.8927818944003,0.07496309272981334
United States,Houston,Mexico,Manzanillo,3292,PANAMA CANAL,13 days 17 hours,1551.4155569984,0.051713851899946664
United States,Houston,Indonesia,Tanjung Priok,11957,SUEZ CANAL,49 days 20 hours,5634.9562014064,0.18783187338021334
United States,Houston,Netherlands,Rotterdam,5052,DIRECT,21 days 01 hours,2380.8479325504,0.07936159775168
United States,Houston,Saudi Arabia,Jeddah,7404,SUEZ CANAL,30 days 20 hours,3489.2711980608,0.11630903993536
United States,Houston,Turkey,Ambarli,6553,STRAIT OF GIBRALTAR,27 days 07 hours,3088.2217937456003,0.10294072645818668
United States,Houston,Argentina,Buenos Aires,6422,DIRECT,26 days 18 hours,3026.4856339744,0.10088285446581334
United States,Houston,Sweden,Gothenburg,5210,DIRECT,21 days 17 hours,2455.3083389920002,0.08184361129973335
United States,Houston,Poland,Gdansk,5583,DIRECT,23 days 06 hours,2631.0914504016,0.08770304834672
United States,Houston,Belgium,Antwerp,5057,DIRECT,21 days 02 hours,2383.2042745264002,0.07944014248421334
United States,Houston,Thailand,Laem Chabang,12104,PANAMA CANAL,50 days 10 hours,5704.2326555008,0.19014108851669334
United States,Houston,Iran,Bandar Abbas,9523,SUEZ CANAL,39 days 16 hours,4487.8889274896,0.14959629758298668
United States,Houston,Norway,Oslo,5236,DIRECT,21 days 20 hours,2467.5613172672,0.08225204390890667
United States,Houston,United Arab Emirates,Dubai,9572,SUEZ CANAL,39 days 21 hours,4510.9810788544,0.15036603596181333
United States,Houston,Nigeria,Lagos,5952,DIRECT,24 days 19 hours,2804.9894882304,0.09349964960768001
United States,Houston,Israel,Haifa,6768,STRAIT OF GIBRALTAR,28 days 05 hours,3189.5444987136,0.10631814995712001
United States,Houston,South Africa,Durban,8277,CAPE OF GOOD HOPE,34 days 12 hours,3900.6885070704,0.13002295023568
United States,Houston,Hong Kong,Hong Kong,10763,PANAMA CANAL,44 days 20 hours,5072.2617375376,0.16907539125125334
United States,Houston,Ireland,Dublin,4705,DIRECT,19 days 15 hours,2217.317799416,0.07391059331386667
United States,Houston,Singapore,Singapore,11695,SUEZ CANAL,48 days 18 hours,5511.483881864,0.18371612939546667
United States,Houston,Malaysia,Johor,11720,SUEZ CANAL,48 days 20 hours,5523.265591744001,0.18410885305813335
United States,Houston,Philippines,Manila,10922,PANAMA CANAL,45 days 12 hours,5147.1934123744,0.17157311374581335
United States,Houston,Colombia,Cartagena,1626,DIRECT,6 days 19 hours,766.2824105952001,0.025542747019840002
United States,Houston,Finland,Helsinki,5867,DIRECT,24 days 11 hours,2764.9316746384,0.09216438915461334
United States,Houston,Egypt,Alexandria,6566,STRAIT OF GIBRALTAR,27 days 09 hours,3094.3482828832,0.10314494276277335
United States,Houston,Portugal,Lisbon,4561,DIRECT,19 days 00 hours,2149.4551505072,0.07164850501690667
United States,Houston,Romania,Constantza,6764,STRAIT OF GIBRALTAR,28 days 04 hours,3187.6594251328,0.10625531417109334
United States,Houston,New Zealand,Auckland,8082,PANAMA CANAL,33 days 16 hours,3808.7911700064,0.12695970566688
United States,Houston,Greece,Piraeus,6249,STRAIT OF GIBRALTAR,26 days 01 hours,2944.9562016048003,0.09816520672016
United States,Houston,Peru,Callao,2907,PANAMA CANAL,12 days 03 hours,1369.9772248464,0.045665907494880004
United States,Houston,Vietnam,Saigon,11389,PANAMA CANAL,47 days 11 hours,5367.2757529328,0.17890919176442666
China,Shanghai,Japan,Yokohama,1036,DIRECT,4 days 08 hours,488.2340574272,0.016274468580906667
China,Shanghai,Germany,Hamburg,10778,SUEZ CANAL,44 days 22 hours,5079.3307634656,0.16931102544885335
China,Shanghai,India,Bombay,4672,DIRECT,19 days 11 hours,2201.7659423744003,0.07339219807914668
China,Shanghai,United Kingdom,Felixstowe,10456,SUEZ CANAL,43 days 14 hours,4927.5823402112,0.16425274467370668
China,Shanghai,France,Marseilles,8763,SUEZ CANAL,36 days 12 hours,4129.7249471376,0.13765749823792
China,Shanghai,Brazil,Santos,11056,CAPE OF GOOD HOPE,46 days 02 hours,5210.3433773312,0.17367811257770666
China,Shanghai,Italy,Genoa,8670,SUEZ CANAL,36 days 03 hours,4085.8969863840002,0.13619656621280002
China,Shanghai,Canada,Vancouver,5110,DIRECT,21 days 07 hours,2408.1814994720003,0.08027271664906667
China,Shanghai,Russia,Novorossiysk,8493,SUEZ CANAL,35 days 09 hours,4002.4824804336004,0.13341608268112
China,Shanghai,Australia,Melbourne,5193,DIRECT,21 days 15 hours,2447.2967762736002,0.08157655920912
China,Shanghai,Spain,Algeciras,9166,SUEZ CANAL,38 days 05 hours,4319.6461104032005,0.14398820368010667
China,Shanghai,Mexico,Manzanillo,6855,DIRECT,28 days 14 hours,3230.5448490960002,0.1076848283032
China,Shanghai,Indonesia,Tanjung Priok,2523,DIRECT,10 days 12 hours,1189.0101610896002,0.039633672036320004
