Country,City,Latitude,Longitude
United States,Houston,29.7604,-95.3698
China,Shanghai,31.2304,121.4737
Japan,Yokohama,35.4437,139.6380
Germany,Hamburg,53.5511,9.9937
India,Bombay,19.0760,72.8777
United Kingdom,Felixstowe,51.9570,1.3500
France,Marseilles,43.2965,5.3698
Brazil,Santos,-23.9608,-46.3336
Italy,Genoa,44.4056,8.9463
Canada,Vancouver,49.2827,-123.1207
Russia,Novorossiysk,44.7235,37.7689
Australia,Melbourne,-37.8136,144.9631
Spain,Algeciras,36.1408,-5.4562
Mexico,Manzanillo,19.0522,-104.3188
Indonesia,Tanjung Priok,-6.1046,106.8805
Netherlands,Rotterdam,51.9225,4.4792
Saudi Arabia,Jeddah,21.4858,39.1925
Turkey,Ambarli,40.9690,28.7076
Argentina,Buenos Aires,-34.6037,-58.3816
Sweden,Gothenburg,57.7089,11.9746
Poland,Gdansk,54.3520,18.6466
Belgium,Antwerp,51.2194,4.4025
Thailand,Laem Chabang,13.0850,100.8996
Iran,Bandar Abbas,27.1833,56.2667
Norway,Oslo,59.9139,10.7522
United Arab Emirates,Dubai,25.2760,55.2962
Nigeria,Lagos,6.5244,3.3792
Israel,Haifa,32.7940,34.9896
South Africa,Durban,-29.8587,31.0218
Hong Kong,Hong Kong,22.3193,114.1694
Ireland,Dublin,53.3498,-6.2603
Singapore,Singapore,1.3521,103.8198
Malaysia,Johor,1.4927,103.7414
Philippines,Manila,14.5995,120.9842
Colombia,Cartagena,10.3910,-75.4794
Finland,Helsinki,60.1695,24.9354
Egypt,Alexandria,31.2156,29.9553
Portugal,Lisbon,38.7223,-9.1393
Romania,Constantza,44.1598,28.6348
New Zealand,Auckland,-36.8485,174.7633
Greece,Piraeus,37.9420,23.6466
Peru,Callao,-12.0566,-77.1181
China,Yantai,37.4645,121.4479
China,Qingdao,36.0671,120.3826
Korea (South),Busan,35.1796,129.0756
China,Tianjin,39.3434,117.3616
China,Guangzhou,23.1291,113.2644
United States,Los Angeles,34.0522,-118.2437
Malaysia,Malacca,2.1896,102.2501
China,Xiamen,24.4798,118.0894
Taiwan,Kaohsiung,22.6273,120.3014
Morocco,Tangier,35.7595,-5.8340
United States,New York,40.7128,-74.0060
Vietnam,Saigon,10.8231,106.6297
Sri Lanka,Colombo,6.9271,79.8612
India,Kandla,23.0333,70.2167
United States,Savannah,32.0809,-81.0912
Vietnam,Haiphong,20.8449,106.6881
Vietnam,Danang,16.0544,108.2022
Panama,Colon,9.3596,-79.9014
Spain,Valencia,39.4699,-0.3763
China,Yingkou,40.6640,122.2269
Germany,Bremerhaven,53.5396,8.5809
Oman,Muscat,23.5880,58.3829
China,Dalian,38.9140,121.6147
Japan,Tokyo,35.6828,139.7595
United Arab Emirates,Port Rashid,25.2780,55.2890
Egypt,Port Said,31.2653,32.3019
Chile,San Antonio,-33.5930,-71.6210
Denmark,Copenhagen,55.6761,12.5683
Indonesia,Tanjung Perak,-7.2038,112.7298
