Section,Content
Import Documentation,"CITES Certificate
To enable clearance for CITES shipments, please ensure CITES Certificate from Importer to be sent to Singapore Brokerage for clearance. The importer is required to obtain a CITES permit from National Parks Board (NParks) for both commercial consignments and personal effect and the CITES permit must be obtained before the shipments arrival date.
Packing List
Packing list is not mandatory required.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS."
Clearance Information,"Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver.
Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Clearance Comments
All packages shipped to Singapore require the consignee's telephone number. Include both the residential and commercial phone numbers for letter documents and non-documents.
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping."
Areas Served,"Service is provided to and from every address in the country or territory.
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Rest Days:
Sunday, and official holidays.
GMT:
Spring +0800/ Fall +0800
Language:
English
Currency:
Singapore Dollar(SGD)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Split Duty And VAT (SDV)
The freight and duties can be billed to the shipper or a third party
The taxes can be billed to the receiver or a third party
A surcharge will be applied for the SDV billing option
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to Singapore. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Medical Items
Equipment containing radiating apparatus subject to approval from Health Sciences Authority, Center for Radiation Projection (HSA-CRP).
Veterinary Products
Subject to approval from the Agri-food and Veterinary Authority.
Radios and Radio Equipment
Equipment with 2-way communication device subject to approval from Infocom Development Authority (IDA).
Cosmetics
Importation of cosmetics is subject to the Health Science Authoritys approval and laboratory testing by its Cosmetic Control Unit for new products.
Dental Instruments
Equipment containing radiating apparatus subject to approval from Health Sciences Authority, Center for Radiation Projection (HSA-CRP).
Vitamins
The importation of vitamins is subject to the approval from the Singapore Health Sciences Authority (HSA).
Shipments must contain the following information on the invoice:
Complete line of items and complete name for personal and company
Composition of the ingredient for personal and company
Composition of the medicine mixture for personal and company
Import License for company
HSA Approval Letter of a product for company. Note that this letter is valid for only 3 months and just for a listed product in the letter.
Name of the medicine and the strength of the medicine, doctors prescription and official letter from the doctor for personal
The shipper must provide the official Ingredient List or Supplement Facts sheet of the item that contain the content breakdown
Shipments without the above information will be refused entry and will be returned to the export location or destroyed.
Gambling Devices
Subject to approval from Arms & Explosive Department.
Satellite Equipment
Subject to approval from Infocom Development Authority (IDA).
Compact Discs
Subject to approval from the Media Development Authority.
Laser Discs
Subject to approval from the Media Development Authority.
Communication Items
Subject to approval from Infocom Development Authority.
Nutritional Supplements
The importation of nutritional supplements are subject to the approval from Singapore Health Sciences Authority (HSA).
Shipments must contain the following information on the invoice:
Complete line of items and complete name for personal and company
Composition of the ingredient for personal and company
Composition of the medicine mixture for personal and company
Import License for company
HSA Approval Letter of a product for company. Note that this letter is valid for only 3 months and just for a listed product in the letter.
Name of the medicine and the strength of the medicine, doctors prescription and official letter from the doctor for personal
The shipper must provide the official Ingredient List or Supplement Facts sheet of the item that contain the content breakdown
Shipments without the above information will be refused entry and will be returned to the export location or destroyed.
Animal Skins, Non-Domesticated
Subject to approval from the Agri-food and Veterinary Authority.
Pharmaceuticals
Subject to approval from Health Sciences Authority (HSA).
Cellular Telephones
Shipments of cellular telephones are subject to approval from the Infocom Development Authority.
Personal Effects
The Commercial Invoice and Shipment Description has to indicate clearly as ""Personal Effects"" and need to provide a valid SG contact number & contact person.
Dairy
Subject to approval from the Agri-food and Veterinary Authority.
CITES Shipments
Endangered plants and animals protected by the multilateral treaty of the Convention on International Trade in Endangered Species (CITES), must be accompanied by a valid CITES Certificate.
Shipper must provide an invoice with the scientific name and CITES certificate.
Origin need to send pre-alert to upsabccsgarg@ups.com and send the original CITES certificate to UPS SG office.
CITES Certificates
To enable clearance for CITES shipments, please ensure CITES Certificate from Importer to be sent to Singapore Brokerage for clearance. The importer is required to obtain a CITES permit from National Parks Board (NParks) for both commercial consignments and personal effect and the CITES permit must be obtained before the shipments arrival date.
Discs
Subject to approval from the Media Development Authority.
Films
Subject to approval from the Media Development Authority.
Magazines
Subject to approval from the Media Development Authority.
Medicine (also see Drugs)
Applies to all kinds of medicine, food and nutritional supplements, vitamins and dried herbs. The importation of such items are subject to the approval from Singapore Health Sciences Authority (HSA).
Shipments must contain the following information on the invoice:
Complete line of items and complete name for personal and company
Composition of the ingredient for personal and company
Composition of the medicine mixture for personal and company
Import License for company
HSA Approval Letter of a product for company. Note that this letter is valid for only 3 months and just for a listed product in the letter.
Name of the medicine and the strength of the medicine, doctors prescription and official letter from the doctor for personal
The shipper must provide the official Ingredient List or Supplement Facts sheet of the item that contain the content breakdown
Shipments without the above information will be refused entry and will be returned to the export location or destroyed.
Pork and Dairy Products from Taiwan
Singapore's Agri-Food and Veterinary (AVA) is suspending import of pork and pork products from Taiwan with immediate effect.
Import of dairy products from Taiwan must be accompanied by an official health certificate, issued by Taiwan's Veterinary Health Authority, certifying that the products have been made from double pasteurized milk, or that the pH of the products is less than 6.
Newspapers
Subject to approval from the Media Development Authority.
Periodicals
Shipments of periodicals are subject to clearance by Media Development Authority.
Publications
Subject to approval from Media Development Authority.
Slides
Shipments of slides are subject to approval from Media Development Authority.
Tapes (Audio, Video, Magnetic)
Subject to approval from Media Development Authority.
Pet Food
- Pet food are controlled by the NPARKS and an ingredient list must be submitted together with the declaration
- If the shipment does not contain meat product, a manufacturer declaration is required to certify that the product does not contains meat.
- If the shipment contains meat product, a Health Certificate from the Veterinary Administration of the exporting country is required.
Live Plant
Shipment require a phytosanitary certificate from the origin and document must be uploaded in IDIS.
Food
Subject to approval from the Agri-food and Veterinary Authority.
Fish and Fish Products
Subject to approval from the Agri-food and Veterinary Authority.
CD Roms
CD Roms that contain movies or music subject to approval from the Media Development Authority for objectional material.
Military Equipment
Subject to approval from Arms & Explosive Department.
Coffee
Subject to approval from the Agri-food and Veterinary Authority.
Telecommunication Equipment
Subject to approval from Infocom Development Authority (IDA).
Books
Subject to approval from the Media Development Authority.
Newsletters (Company)
Subject to approval from the Media Development Authority.
Religious Material
Subject to approval from Media Development Authority."
Invoice Requirements,"Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.

Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Effective 1 January 2023, Overseas Vendors who are GST registered and importing Low Value Goods, are required to provide the following information on the commercial invoice:
a. GST Registration Number
b. GST paid indicator for each item
Overseas Vendor who meets the following requirement have to register with Inland Revenue Authority of Singapore (IRAS):
Have an annual global turnover exceeding $1 million; and
Supplies B2C low value goods into Singapore exceeding S$100,000 over a period of 12 months, either on a: *Retrospective basis, of when your global turnover and value of B2C supplies of low-value goods and remote services to Singapore for the calendar year (i.e.,1st Jan to 31st Dec) exceeds S$1 million and S$100,000 respectively, or *Prospective basis, of when you reasonably expect the value of your global turnover and B2C supplies of low-value good and remote services to Singapore to exceed S$1million and S$100,000 respectively for the next 12 months.

Low Value Goods refer to:
Goods have a value of not exceeding S$400
Goods are located outside Singapore at the point of sale, and to be delivered to Singapore via air or post
Goods sold to direct consumers in Singapore and not GST-registered
Non-document shipments to Singapore must include 1 original and 2 copies of an Invoice. A detailed description of the merchandise is required.
Kindly take note that a ""Proforma Invoice"" is not acceptable for imports into Singapore.
The consignee's telephone number is required on the invoice."
Items Classified as Documents,"The destination country or territory considers the following items document shipments. If criteria are listed, the shipment must meet those criteria to be considered a document shipment.
Negotiable Bonds, Drafts
Cash Letters
Advertising Literature
Airline Tickets
Annual Reports
Bids
Checks (Non-negotiable checks)
Forms (Blank)
Envelopes (Blank)
Blueprints
Intercompany Data on CD-Rom/Disk
In order to ship Intercompany Data on diskette in the UPS letter the following guidelines must be followed:
The content must not be sold commercially or have commercial value.
The data can not be software.
CD ROMS are not considered diskettes and CD ROMS are not acceptable.
Specifically write ""Intercompany Data on Diskette"" in the description of goods on the UPS waybill.
Mark a ""X"" in the documents only box on the UPS waybill.
Intercompany Mail
Price Lists
Proposals
Specifications Sheets
Transparencies
Traveler's Checks
Repair and Return Shipments
For shipments that are not under warranty, an 8% GST will be applied to the total cost of repair and return freight charges.
Repaired Goods Returning to Singapore
The goods and services tax (GST) can be waived provided the nature of the shipment and the return/replacement are indicated clearly in the shipment description on the waybill and invoice. Shipper and Consignee needs to inform Brokerage team prior to import and export of shipments, in order for the relevant permit declarations to be processed before arrival and departure, to and from Singapore.
Greeting Cards, Invitations
Business Cards
Computer Print-Outs
Charts
Graphs
Visa Applications
Drawings

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to Singapore.
Knives
Sports & hunting knives of 9 centimeters long or more and ALL military knives are subject to approval from Arms & Explosive Department.
Photo is required for the knife shipments and it must be uploaded in IDIS.
Chewing Gum
Tobacco Products
The following tobacco products are prohibited from entering Singapore:
Chewing tobacco (loose leaf chewing tobacco, plug chewing tobacco, twist chewing tobacco, tobacco bits intended for chewing.
Imitation tobacco products (electronic cigarettes, vaporizers) and components of imitation tobacco products.
Shisha
Smokeless cigars, smokeless cigarillos or smokeless cigarettes
Dissolvable tobacco or nicotine
Any product containing nicotine or tobacco that may be used topically for application, by implant or injected into any parts of the body.
Any solution or substance, of which tobacco or nicotine is a constituent, that is intended to be used with an electronic nicotine delivery system or vaporizers.
Nasal snuff
Oral snuff
Gutkha, khaini and zarda
Import of other tobacco products are permitted via ISC contract service. The weight in grams for the tobacco and total number of sticks for cigarettes or cigars need to be indicated on the commercial invoice.
Drugs (also see Medicine)
Any type of narcotic is prohibited.
Guns
Shipments of toy or gun replicas can only be shipped with an International Special Commodities (ISC) contract. This type of commodity is restricted by Singapore Police Arms & Explosive Branch (AEB) for their import, export and also transshipment in Singapore. Approval must be obtained from the local authority prior to import or transship via Singapore.
The controlled items include Firearms , Air Gun, Airsoft Gun, Paintball Markers, Spear Gun, Taser or Stun Gun, Swords, All form of Fireworks including Sparklers and Pop-Pop and Pyrotechnic devices.
Photo is required for the gun/toy gun shipments and it must be uploaded in IDIS.
Electronic Cigarette / Vaping Product
Electronic Cigarettes are prohibited.
Alcoholic Beverages and Wines
Import of Alcoholic beverages into Singapore is permitted via ISC contract service.
Direct-to-consumer (DtC) shipments shall not exceed 5 liters per shipment & not exceed SGD 100, CIF value. (only for non-controlled dutiable liquor products).
If the quantity exceeds 5 liters & SGD 100, importer must obtain an import permit from Agri-veterinary Authority Food.
Business importer must provide import license (from Agri-Food & Veterinary Authority, AVA) prior to shipments arrival. Duty and tax are applicable.
Volume needs to be provided either in milliliter or liter, as centiliter is not recognized in APAC
Type of alcohol needs to be indicated
Percentage of alcohol of each bottle & brand name must be provided
Liter of each bottle
Consignee name & local contact number are critical
Invoice must state ""personal use, not for resale"" for B2C shipments
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Cannabidiol / Cannabidiol Oil
Importing products containing Cannabidiol/ Cannabidiol Oil, better known as CBD or CBD oil respectively, is strictly prohibited in Singapore."
Service Options,"Always check Calculate Time and Cost for details of service availability and guarantee information within a country or territory. All Service Levels may not be available to or from every address within a country or territory.
India to Singapore
UPS Worldwide Expedited
UPS WorldWide Express Freight
UPS Worldwide Express Saver"
Special Clearance Requirements,"Returned Goods
NA
Repaired Goods
The consignee can avoid paying goods and services tax (GST) provided the nature of the shipment and the return/replacement are indicated clearly in the shipment description on the waybill and invoice.
Solid Wood Packing Material
New requirements have been implemented for both small package and WWEF shipments and are based on the International Standards for Phytosanitary Measures (ISPM) 15, which is entitled ""Guidelines for Regulating Wood Packaging Material in International Trade"". ISPM 15 was adopted internationally in 2002, and is gradually being introduced by countries or territories worldwide. Wood or wood products covered by ISPM 15 include items such as packing cases, boxes, crates, drums or similar packing, pallets, box pallets and other load boards, pallet collars and skids, but exclude such processed woods as orientated strand board, particle board, plywood or veneer, created using glue, heat and pressure or a combinations thereof, and, raw wood which is 6mm or less thick. It is recommended that if a question arises on this issue, please check with the authority that issues the Phytosanitary certificates in your country or territory.
Repair and Return Shipments
At export, the invoice should indicate the following:
A clear and detailed description of the goods
Serial Number
Model Number
Clear indication that it is a Repair and Return shipment
Country or Territory of origin of goods
For shipments exported for repair and subsequent return, pick up will be one day later in order to apply for the relevant export permit so that the re-import shipment will benefit from GST waiver. A processing fee of SGD 100 is applicable for the reconciliation of the export and re-import.
Upon completion of repair works, at re-import, the invoice should indicate:
A clear and detailed description of the goods
Serial Number
Model Number
Clear indication that it is a repair and return shipment
Country or Territory of origin of goods
Value of goods
Statement stating whether goods are or are not under warranty
Warranty certificate or letter (if under warranty)
Repair charges (if not under warranty)
For shipments that are not under warranty, a 7% GST will be applied to the total cost of repair and return freight charges.
Other Shipment Types
Amendment issued by the Indian Government with effect from 4th April 2020 prohibits diagnostic kits ITC HS Code 3822 for export from India."
