Section,Content
Import Documentation,"CITES Certificate
To enable clearance for CITES shipments, please ensure CITES Certificate is forwarded by Express service.
Miscellaneous
Requirements for Country or Territory of Origin Marking
An irremovable marking (engraved, non-removable printing, molding and etc.) which shows Country or Territory of Origin is required to be affixed to all commodities, such as Made in ""Country or Territory Name"", Product of ""Country or Territory Name"" or Made by ""Manufacturer, Address, Country or Territory Name"".
Country or Territory of Origin marking should be shown at outside of products' packaging and the actual products. Stamping, sticker labeling or tagging is acceptable given if the commodity is delicate.
Penalty may be imposed by Korean Customs Service (KCS) should the requirement not be fulfilled.
Permit and License
Foods, drugs, medicines, medical instruments, automatic data processing machines and telecommunication apparatus require an import permit issued by the respective administration or institute such as the Korean FDA or the Korean Medical Devices Institute.
Packing List
Packing list is not mandatory required.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS."
Clearance Information,"Personal Shipments
For individuals to import packages into Korea, individual consignees must submit personal information for import customs clearance according to the categories in the table below.
  Category
B2C(Formal entry)
B2C(De-minimis)
C2C
Consignees Nationality
Domestic
Foreign
Domestic
Foreign
Domestic
Foreign
Personal Information to be submitted
PCCC
O
O
O
O
O
O
Birthdate
X
X
X
X
O
O
Alien Registration No.
  O
  X
  O
Passport Number
  O
  X
  O
**De-minimis threshold : value less than or equal to USD 200 from US  / USD 150 from non-US
PCCC stands for Personal Customs Clearance Code that individuals can be issued through the Korea Customs Service website at the link below. The consignee's name, PCCC and mobile number must exactly match the information submitted by the consignee when registering the PCCC with the Korea Customs Service
Link : https://unipass.customs.go.kr/csp/persIndex.do
For frictionless clearance and delivery, it is required that shippers obtain PCCC with correct mobile number and name from KR consumers when collecting orders from their e-commerce mall.
If PCCC and correct mobile numbers are not provided by origin shippers, the shipment will be held until PCCC is obtained from the consignees.
Customs Clearance Process
Due to Korea Customs regulations, effective immediately, the following is required for all imported goods into South Korea - An Irremovable label (Engraved or Non-removable printing) that shows the country or territory of origin needs to be affixed to all commodity/goods. In cases where the commodity/goods is of a delicate nature (engraving or permanent printing is not applicable), then the country or territory of origin must be affixed on each package / packing. Any arriving goods which does not have fixed evidence of country or territory of origin (which is irremovable) will expect delays and penalties.
Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number is required regardless of shipment's value.
High Value Amount
Formal Entry
Shipments valued above US$150.00 from Non-US / US$200.00 from US require import declaration per HAWB and shipment of restricted commodities and shipment with insufficient descriptions such as No HS doc, value, quantity, weight or importation purpose might be excluded from same day clearance and require an explanation letter or related documents from consignee to release shipments.
Address Format
KR Customs imposes penalties on discrepancies between the address on the manifest and the consignee delivery address. Penalties due to address discrepancies will be charged back to origin. First time penalty will be KRW 100,000, second time penalty will be KRW 250,000, and third time penalty will be KRW 500,000.
The penalties are applying to 'Deminimis shipments including documents' and 'Formal shipments declared as individuals'.
An example of an accurate/complete consignee delivery address is as follows:
 UPS Korea, Human Resource Department, Han-Young Building 5F, 94-3, Mullae-ro, Yeongdeungpo-gu, Seoul, 07295, KOREA.
Deminimis Shipments
Commercial samples or personal merchandises for self-consumption whose price is US$ 150 or less(US$ 200.00 or less for US origin shipment) can be imported without formal entry and exempt from customs duty and tax.(List clearance procedure) However, the following items must be formally declared regardless of the invoice amount.
Medicine
Foods, health supplements, alcohols, cigarettes
Cos-medical or cosmeceutical products
Items requiring import approval or permit in terms of the relevant Act
Items subject to quarantine
Items suspected of violating intellectual property laws
Goods with unclear product name, price, recipient information, etc
Items that are overweight for their value
All E-Commerce Shipments
With effect from Oct 04 2022, Korea Customs Service (KCS) regulations for E-commerce shipments send to individuals is strengthened. KCS had been collected 2 digits HS code on De-minimis list but changed 6 digits HS code as mandatory and also should provide E-commerce type information. Therefore, Shippers who export goods to Korean individual customers through e-commerce market must provide the 6 digits HS code for each commodity line and E-commerce type as mandatory. Insufficient information from the shipper may cause the failure of on-time delivery due to clearance delay.
1) 6 digits HS code for each commodity (mandatory)
2) E-commerce type (mandatory)
A) Direct purchase (Shipper is a direct seller.)
B) Purchasing agent (Shipper is a purchasing agent of the individual customers.)
C) Delivery agent (Shipper is a delivery agent of the individual customers.)
Seller's (Agent's) company name and web address should be required as mandatory. Order number should be provided as optional.
Deminimis Value
Consignee's address should have building name, room number (or floor), street address including area information (xxxx-gu). Initials or false names of individual consignees are not allowed and an invalid phone number should not be provided. Otherwise, shipments needs time to be declared as a formal entry and then duty and tax may be incurred accordingly.
Some examples are as follows Inaccurate or incomplete consignee name, address and phone number Bad example : Miss. Kim (PH#: 1111111111) Hankook APT, Unnam-dong, Jung-gu, Incheon, 22372, Korea
Good example : Gildong Hong (PH#: 8210-XXXX-XXXX, should provide a cell phone no. of consignee) Hankook APT 201-1110, 7, Unnamseo-ro, Jung-gu, Incheon, 22372, Korea
Inadequate description Example : samples/part/ replacement/ ref no. are not acceptable.
Itemized value is required Example : US$135.00 for 2 pieces of pen and 5 pieces of books is not acceptable Itemized values 2 pieces of pens at USD 5 each, 5 pieces of book at US$25.00 each are required.
Under declared or miss-keyed shipment value Example: Invoice value is US$1000.00 but keyed as US$100.00
Wrong or missing consignees phone /mobile numbers Example: 000000, 111111, 999999, 123456, NA
Korea Customs will implement a penalty regime with effect from July, 01, 2009 where customs penalty of up to US$200.00 per infringement will be levied.
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver.
Clearance Comments
Customs will pre-audit shipments of golf clubs and jewelry. Clearance delays should be expected."
Areas Served,"Service is provided to and from every address in the country or territory.
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number is required regardless of shipment's value.
Rest Days:
Sunday, and official holidays.
GMT:
Spring +0900/ Fall +0900
Language:
Korean
Currency:
Won(KRW)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Split Duty And VAT (SDV)
The freight and duties can be billed to the shipper or a third party
The taxes can be billed to the receiver or a third party
A surcharge will be applied for the SDV billing option
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to South Korea. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Medical Items
Shipments of medical instruments require a recommendation from the Korean Food and Drug Administration.
Cosmetics
Shipments of cosmetics, including manicure items, shampoos, etc. require the consignee to have a Quarantine License as provided by the Korea Food and Drug Administration (KFDA).
Functional cosmetics shipment must be customs cleared via formal entry. Cosmetics which contain placenta or steroid, whitening products, wrinkle treatment cosmetics and UV protection are considered as functional cosmetics.
Vitamins
Shipments of vitamins require a recommendation from the Korean Food and Drug Administration. Personal shipments are exempt from the recommendation but are limited to 6 bottles.
Telecommunication Equipment
In accordance with Korea's Radio Waves Framework Act on Telecommunications, shipments of broadcasting & communication equipment requires certification from Radio Research Laboratory.
Miscellaneous
Empty bottle samples are allowed but limited to a maximum of 2 bottles. Shipments that do not conform to the above, will be confiscated by Korean Customs.
Clothing
Shipments of clothing intended for sale must be commerced labeled with the material type and country or territory of origin.
Pharmaceuticals
Shipments of pharmaceuticals need a recommendation from the Korean Food and Drug Administration.
Cellular Telephones
Cellular telephones require a controlled license. It is almost impossible for a private individual to obtain this license.
Contact Lenses
A Quarantine License is required by the Korea Food and Drug Administration (KFDA).
Checks (Non-negotiable checks)
Shipments of checks are considered as non-documents which require Formal Entry (shipment value above US$100.00). Invoice must state the declared value and the actual amount written on the check. Consignee should apply for an import permit from Korea Customs Service.
Medicine (also see Drugs)
Shipments of medicine require a recommendation from the Korean Food and Drug Administration. Medicine is subject to analysis by a chemist.
Personal shipments of medicine are exempt from the recommendation but are limited to 6 bottles. Personal shipments of DHEA (steroid hormone) are limited to 2 bottles, not to exceed 90 pills per bottle.
Commercial shipments of DHEA are prohibited, including samples.
Rice
Korea has opened its rice market since January 1, 2015. With the effect from March 13, 2015, only 9 customs offices which are well equipped with expertise and experience are dedicated to perform clearance for shipments of rice (Import and Export). These offices are located at Busan, Incheon Sea Port, Pyeongtaek, Kunsan, Mokpo, Donghae, Ulsan, Kwangyang and Masan.
UPS' customers must arrange bonded truck to transport shipments of rice to the nearest customs office for customs clearance. Incheon Airport Customs is not able to handle shipments of rice.
Electronic Goods / Parts
Cables, batteries, switches, fuses, Capacitor, Automatic circuit breakers etc. require permit from Korea Electric Testing Institute with effect from 31 July 2015.
To avoid delays, it would be helpful to state on the invoice : Purpose of usage (example: switches for PCB), HTS code and Voltage.
Shpr/cnee should provide a certificate from RRA in advance and then UPS contracted broker could get a no. of certificate from RRA in place of shpr/cnee (handling fee per shpt is KRW 33,000). Related website : https://www.rra.go.kr/en/index.do
To reflect duty reduction from university for research purpose, application form of duty reduction and description of products are required. If invoice value is over USD 1,000, recommendation letter from KOAMI(www.koami.go.kr) is additionally required.
Toys & Furniture for Children
Effective 31 July 2015, Furniture (e.g. childrens playground equipment) and Toys for sale to children aged below 14 years, require permission from Korea conformity Laboratory. Personal shipments and toys for children over 14 years are exempted.
To avoid delays, it would be helpful to state on the invoice : Age group suitability for toys, detailed commodity description, HTS code.
Chemical materials
Effective 31 July 2015, shipments of chemical materials under HTS Codes: 2524, 2526, 2707, 2903, 2934, 3204 such as Asbestos, talc (industrial materials), polymer, will require permission from Korea Chemicals Management Association.
To avoid delays, it would be helpful to state the HTS code/s on the invoice and attach the Material Safety Data Sheet (MSDS) and Certificate of Analysis (imaged in IDIS).
Nicotine Products
Effective 1 Jan 2017, Undiluted nicotine or solutions containing more than 1% nicotine must submit Specifications of Chemical Materials to the Korea Chemicals Management Association.
If the accumulated weight of imported nicotine from January 1 of each year exceeds 100kg, importers must submit a Toxic Hazard Importation Declaration to the Ministry of Environment of South Korea.
Tapes (Audio, Video, Magnetic)
An explanation of the contents is needed by the consignee.
Food
Shipments of food (such as extracts of aloes, seeds, bamboos,etc.) require quarantine.
**Beef/Pork jerky - Original certificate of animal quarantine is required.
Military Equipment
Shipments of military equipment require permission from the National Military.
Dental Instruments
Shipments of dental instruments require an Import Permit from the Korea Medical Devices Industry Association or Korea Food & Drug Administration.
Drugs (also see Medicine)
Shipments of medicine require a recommendation from the Korean Food and Drug Administration. Medicine is subject to analysis by a chemist.
Personal shipments of medicine are exempt from the recommendation but are limited to 6 bottles. Personal shipments of DHEA (steroid hormone) are limited to 2 bottles, not to exceed 90 pills per bottle.
Commercial shipments of DHEA are prohibited, including samples."
Gift Exemptions,"Shipment value amount:
150000.00 Won KRW
Shipment type:
individual-to-individual
Exemption rule:
per shipment

In addition to a detailed description of each item, write additional comments of ""gift shipment"" on the invoice and in the Special Instructions box of the UPS Waybill to insure a proper assessment of duties and taxes.
Shipment value amount:
150000.00 Won KRW
Shipment type:
company-to-individual
Exemption rule:
per shipment

In addition to a detailed description of each item, write additional comments of ""gift shipment"" on the invoice and in the Special Instructions box of the UPS Waybill to insure a proper assessment of duties and taxes."
Invoice Requirements,"Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.

Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Shipments to South Korea must be accompanied by 1 original and 2 copies of an invoice. Invoices and pre-alert notifications must provide accurate and detailed descriptions of the shipments in English. The provision of the H.S. code would expedite clearance. The following information must be included on the invoice:
*Effective Apr 01, 2019, KR customs will hold about no brand name & poor description of goods for Individual and consumer goods such as clothes, shoes and electric goods etc. to set a fair taxable value based on correct information of goods / To avoid undervalued and fake good.
Reason for import (for example, ""sample"")
Currency (for example, USD)
Itemized unit value and a total value for each item
Brand Name/Model/Part number of commodity(s)
Incoterms (for example, FCA, CPT, DDP etc.)
Country or Territory of origin
Consignee's telephone number
Consignee's e-mail contact"
Items Classified as Documents,"The destination country or territory considers the following items documents. If criteria are listed, the shipment must meet those criteria to be considered a document shipment.
Please ensure that even for the items below, the following information must be provided at least for customs clearance.
- Consignee's name
- Date of birth (For foreigners, Alien Registration Number or Passport Number and nationality can also be submitted)
- Phone number
In the case of the consignee having PCCC (Personal Customs Clearance Code) in Korea, the consignee's name, PCCC, and the cell phone number submitted to Korean Customs at the time of PCCC registration can be provided.
Cash Letters
Paper
Manuscripts
Maps
Diaries
Advertising Literature
Documents
Airline Tickets
Annual Reports
Bids
Stationery
Blueprints
Brochures
Catalogs
Charts
Computer Print-Outs
Credit Cards
Intercompany Mail
Magazines
Manuals (Technical)
Newspapers
Pamphlets
Photographs
Proposals
Publications
Specifications Sheets
Visa Applications
Drawings
Greeting Cards, Invitations
Business Cards
Graphs
Newsletters (Company)
Forms (Blank)
Passports
Periodicals

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to South Korea.
Negotiable Bonds, Drafts
Knives
Shipments of knives require permission from the Police Department.
Other
Kitchen Waste Disposer
The environmental protection law prohibits kitchen waste disposers from importing into Korea.
Animal Skins, Non-Domesticated
Animal skins are prohibited.
Personal Effects
If consignee who has lived abroad for more than 1 year moves to KR, the shipment including personal belongings could be imported without duty & tax.
**Documents required**
Moving items list, Immigration documents, Passport copy and Explanation letter for the used items etc.
Items brought in at the request of others, items not suitable for personal or household use may be excluded from duty & tax exemption under the personal effects clearance policy.
In addition, goods that require quarantine or import permit(plant, foods or medicine etc) according to other regulations may not be imported of the quantity is excessive or if they do not pass quarantine.
Toy Guns
Any form of toy gun or gun replica is prohibited.
Guns
Any form of toy gun or gun replica is prohibited.
Lithium Metal Batteries
Shipments of Lithium Metal Batteries are prohibited on Emirates Airlines flights which UPS uses to this destination country or territory.
Alternative arrangements are in place, but expect transit delays if the normal planned flow of the package is via Dubai, United Arab Emirates. Time in Transit may be extended due to solution found.
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Traveler's Checks
Traveler's checks are prohibited.
Electronic Cigarette / Vaping Product
Electronic Cigarette can only be shipped with an International Special Commodities (ISC) contract.
Shipment with battery and charger requires import permit under the provision of Electrical Appliances Safety Control Act. Products brochure review or physical inspection is required by Customs if there is no battery.
Alcoholic Beverages and Wines
Import of Alcoholic beverages into South Korea is permitted via ISC contract service.
For direct-to-consumer (DtC) shipments, the wine shall be packaged in appropriate receptacles of less than 1 liter each.
The receptacles of the wine must bear an indication enabling the bottler to be identified.
It can be cleared without quarantine if for personal consumption only and it is limited to 1 bottle (1 liter)."
Service Options,"Always check Calculate Time and Cost for details of service availability and guarantee information within a country or territory. All Service Levels may not be available to or from every address within a country or territory.
India to South Korea
UPS Worldwide Express Saver
UPS Worldwide Expedited
UPS WorldWide Express Freight
WorldWide Express Freight Midday"
