Section,Content
Import Documentation,"Miscellaneous
Israeli Origin Goods
Goods originating in Israel are prohibited
Jewelry
All shipments containing precious metal or stones in jewelry form must comply be shipping with the original invoice under the shipper's letter head along with the company stamp/seal. The invoice must also state the weight/carats of the precious metal or stones. On arrival the consignee will be contacted for an authorization letter for UPS to clear the shipment which is a Dubai Customs regulation.
Food
All food items imported into UAE requires Municipality clearance. Importers must submit customs documents and samples of the the food items along with the invoices and all other relevant documentation to the Dubai Municipality for approval. The required customs documents will be supplied to the importer by UPS.
UAE does not have a temperature controlled facility therefore food items that require a temperature controlled storage same should can not be accepted.
Medicine/Vitamins
The shipper must attach a medical report from the doctor at origin which must be certified by the ministry of health at origin. Consignee is also required to obtain the clearance approval from the ministry of health in UAE.
Companies are required to obtain an Import Permit from the Ministry of Health in order to clear commercial quantities. Customs does not permit the disposal of medication in the UAE. If the consignee is unable to obtain the clearance approval or refuses to accept the shipment, then shipper will be responsible for the RTS of the shipment. Customs charges apply for the preparation of RTS paperwork and will be assessed to the shipper. UAE does not have a temperature controlled facility therefore medicine that require same should not be accepted. However small quantities can be refrigerated.(under 5kg.)
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS.
Import Permit
Medical and Pharmaceutical products
UAE Ministry of Health officials will conduct a physical inspection for any kind of medical and pharmaceutical items imported into the UAE.
After the inspection, UPS Brokerage team will advise customers and provide the relevant documentation for the permit application. Customer will then obtain an import permit from the Ministry of Health portal for each item and ensure that importing such product is stated in the trade license activity.
In case Ministry of Health decides that a shipment requires an official permit for release, the below standard charges for handling and inspection will apply:
Shipments containing between 1-5 packages: AED 200.00
Shipments containing above 5 packages or packed on pallets: AED 500.00
Please note that a storage fee of minimum of AED 30.00 or AED 3.00 per kg per day will apply from the 3rd day of arrival.
Noncompliance is subject to liabilities or penalties from the UAE government.
This mainly applies to B2B customers who are importing into UAE. B2C customers may be exempted after inspection, provided that commodities are not fully regulated and imported in small quantities. Medicines may only be released if the customer has a valid prescription issued by MOH recognized hospitals."
Clearance Information,"Post Office Boxes
Consignee's full name and a valid telephone number, company name (if applicable), building name and or number, and apartment number (if applicable), street name, area name, and city are required. A valid phone number (preferably mobile) is vital to recover any missing clearance documents and/or validate the delivery address if needed. Please note that missing address requirements will cause a delivery delay. A P.O. Box address is not valid as we do NOT deliver to a P.O. Box.
Important Note: Shipments addressed to a P.O. Box are excluded from the UPS International guarantee regardless of the payer. A delay in delivery may occur due to the need for the consignee's physical address in order to complete delivery.
Shipments requiring final clearance in Abu Dhabi Customs
All shipments cleared in AUH Customs are processed through Etihad Airport Services Cargo (EASC). The below documents are required to clear import shipments destined to Abu Dhabi.
Personal Effects (Consigned to a person only)
Emirates ID or passport of the consignee mentioned on the air waybill  copy
Emirates ID of the person clearing (if not the actual consignee)  copy.
Rulers Office & Government Entities (VIP Category)
Authorization Letter* - original
Emirates ID of the person clearing  copy
Trading and Clearing Companies
Agents/Consignees with a valid EASC ID card can collect shipments consigned to them upon presenting the card.
Authorization Letter* - original
Passport/Visa Page of signatory (visa must be from consignee company)  copy
Emirates ID of the person collecting/clearing  copy
Standing Authority for Clearance
Authorization letter* - original
Valid trade license  copy
Passport/Visa page of signatory (visa must be from consignee company)  copy
*Authorization letter  Must be original, duly stamped and signed. Signatory title and name must be clearly mentioned (without which the letter will be void).
Duty and Taxes
Please note that not only the value(s) of the commodity/commodities have to be considered when calculating duty and tax, but also the freight charge and other fees.
Customs duty is calculated on the CIF value (Cost/Insurance/Freight) for shipments valued at 300 Dirham (AED) and above.
Discounts mentioned on the invoice will not be considered and duty would be calculated on the full value of the items. For more information see ""Invoice Requirements""
Clearance Comments
Commercial Importers must provide UPS with a valid importer code for the customs clearance of their import and export shipments with a CIF value equal to and above 300 Dirham (approximately US$ 81.70).
The Customs authorities issue the importer code based on application of the importer. UPS offers the valued added service of obtaining new importer codes and renewals on behalf of the customer at a nominal service charge of respectively in additional to the fee charged by the customs authority. Mentioned below are the charges:
New Import/Export Code application fee: AED 330
Renewal of Import/Export Code fee: AED 220
The country of origin of the goods and HS code is required to be mentioned on the commercial invoice.
Shipments addressed to Sharjah Airport customers or shipments requested to be transferred to Sharjah Airport will incur an additional cost of 810 AED (approximately US$232.00) which is charged by the authority. Shipments addressed to Saif Zone customers are bonded as requested whereby the declaration charge of 30 AED (US$9) + UPS disbursement fee of 10 AED (approx. US$ 3) is billed.
Shipments addressed to Free Zones located in Ajman, Hamriyah , Fujairah and Ras Al Khaimah are cleared through Dubai Customs against their company importer code /personal name on a duty paid basis.
The following fee is charged;
Disbursement Fees
A fee of 2.00% of the value, subject to a minimum of 80.00 AED will be charged.
Implementation of Excise Tax Payment:
Clearance of Customs Declarations containing Excise Tax applicable goods are subject to verification of Excise Tax payment in Declaration Taxable Goods.
The consignee is responsible to provide the Excise Declaration Taxable Goods Transaction Number to UPS in order to process the customs declaration against each of the applicable commodities.
Any commodities regardless of the value falling under the excise goods category will be held for payment of excise tax prior to customs clearance.
In order to pay the excise tax, the seller or importer of record must ensure that the each commodity is registered with the UAE Federal Tax Authority through the Brand-Sync portal (Website: https://brand-sync.com/fta/ Email: help@brand-sync.com Tel: +971 4 557 0988).
Shipments not cleared within 15 days of arrival will be returned to the origin at the cost of the shipper.
Commodities falling under the excise taxable goods category are:
Carbonated and Energy drinks.
Tobacco, snus and other tobacco products including all items listed within Harmonized Tariff Schedule 24 of the GCC Common Customs Tariff.
Electronic shisha or smoking devices and tools.
Vape and Liquids used in such devices and tools.
Sweetened drinks.
Rate of excise tax.
According to Cabinet Decision No. 52 of 2019 on Excise Goods, Excise Tax Rates and the Methods of Calculating the Excise Price the rate of excise tax are as follows:
50 % on carbonated drinks, 100 % on tobacco products, 100 % on energy drinks, 100 % on electronic smoking devices, 100 % on liquids used in such devices and tools and 50 % on any product with added sugar or other sweeteners.
Non-Documents
Although non-document shipments to the United Arab Emirates are dutiable, the shipments addressed to free zones companies are duty exempt based on their customs registration. The invoices must be addressed to the consigned company in the free zone, with line item declarations of the relevant HS codes, and country or territory of manufacture along with the item description.
VAT Clearance
To ensure timely clearance and delivery of shipments, all importers in UAE must link their VAT ID against their Customs Import/Export registration code on the Federal Tax Authority Portal.
Importers/Exporters must ensure that their Import/Export code is valid and active for processing customs declarations.
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver.
Customs Clearance Process
Follow below guidelines to enable UPS to process import clearance without delays:
Customers must ensure that all import shipments that are addressed to commercial entities have valid Dubai Customs Business Codes and same should be mentioned on the Shipping waybill/Invoice for processing of import declarations.
Shipments addressed to individuals must clearly have the complete name and residential address of the importer mentioned on the shipping waybill and invoice.
Any special instructions such as Duty Exemption, Abu Dhabi/Sharjah or Saif Zone Transfers, Re-Export, Self-Clearance, etc. must be clearly stated on the shipping invoice/waybill to avoid pre-clearance by payment of duties and taxes.
The Shipper must ensure all shipments have itemized invoices issued by the exporter of record containing the below information:
1-Shipper & Consignee Name & Address-2-HS Code of all commodities listed on the invoice-3-Country of Origin (per line item only if commodities are of different origins)-4-Full Description per line item (codes or abbreviations are not allowed)-5- Value per line item and total amount for the invoice including the currency-6-Discounted value or ""0"" value is not acceptable on the invoice.-7-Customers should not provide duplicate invoice for same shipment.
Import Permits and Storage:
Import Permits - The importer of record is responsible to provide any import permits for timely release of shipments. Additional charges will apply as per the standard UPS UAE Brokerage tariff for in case the customer requires UPS to arrange for the inspection and detention of the shipments.
Storage fees are applicable as per the standard UPS UAE Brokerage tariff in case shipments are not cleared from customs within 3 days of arrival.
Consult ups.com/ae website for the latest UPS UAE Brokerage Charges and Clearance Requirements: UPS iTG (upscontentcentre.com)
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping."
Areas Served,"Service is provided to and from certain cities.
Note: Not all parts of each city are fully served. Please check TnT for full details.
Consignee's full name and a valid telephone number, company name (if applicable), building name and or number, and apartment number (if applicable), street name, area name, and city are required. A valid phone number (preferably mobile) is vital to recover any missing clearance documents and/or validate the delivery address if needed. Please note that missing address requirements will cause a delivery delay. A P.O. Box address is not valid as we do NOT deliver to a P.O. Box.
Important Note: Shipments addressed to a P.O. Box are excluded from the UPS International guarantee regardless of the payer. A delay in delivery may occur due to the need for the consignee's physical address in order to complete delivery.
Rest Days:
Sunday, Saturday, and official holidays.
GMT:
Spring +0400/ Fall +0400
Language:
Arabic
Currency:
UAE Dirham(AED)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories. For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to United Arab Emirates. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Medical Items
Shipments of Medical Items not cleared within 30 days of arrival,will automatically be RTSd at the shippers expense.
Veterinary Products
All veterinary medication will be forwarded to the Ministry of Environment and Water (MOEW) for approval.For release ,the customer is required to submit the original stamped invoice,original stamped packing list, along with the Certificate of Origin, and airwaybill copy to be submitted to MOEW for the permit.
Shipments which are not cleared within 30 days from arrival will be automatically RTSd and charged to the shipper.
Cosmetics
Cosmetics are regulated by the local municipality authorities in the United Arab Emirates,and approval needs to be obtained before clearance of any cosmetic items.
Shipments of Cosmetics not cleared within 30 days of arrival,will automatically be RTSd at the shippers expense.
Vitamins
Personal imports - The shipper must attach a medical report/ prescription from the doctor at origin or UAE. All shipments containing medication are inspected by Ministry of Health officials prior to release. To avoid clearance delays and rejection by Ministry of Health upon arrival the consignee must apply for the online permit using this link https://www.mohap.gov.ae/en/services/issuing-permission-to-import-medicines-for-personal-use
Companies are required to obtain an Import Permit from the Ministry of Health in order to clear commercial quantities. Customs does not permit the disposal of medication in the UAE. If the consignee is unable to obtain the clearance approval or refuses to accept the shipment, then shipper will be responsible for the RTS of the shipment. Customs charges apply for the preparation of RTS paperwork and will be assessed to the shipper. UAE does not have a temperature controlled facility therefore medicine that require same should not be accepted. However small quantities can be refrigerated.(under 5kg.)
Telecommunication Equipment
Shipments of Telecommunications Equipment need to be approved by the local TRA authorities before release.
Shipments which are not cleared within 30 days from arrival will be automatically RTSd and charged to the shipper.
Medicine
Personal imports - The shipper must attach a medical report/ prescription from the doctor at origin or UAE. All shipments containing medication are inspected by Ministry of Health officials prior to release. To avoid clearance delays and rejection by Ministry of Health upon arrival the consignee must apply for the online permit using this link https://www.mohap.gov.ae/en/services/issuing-permission-to-import-medicines-for-personal-use
Companies are required to obtain an Import Permit from the Ministry of Health in order to clear commercial quantities. Customs does not permit the disposal of medication in the UAE. If the consignee is unable to obtain the clearance approval or refuses to accept the shipment, then shipper will be responsible for the RTS of the shipment. Customs charges apply for the preparation of RTS paperwork and will be assessed to the shipper. UAE does not have a temperature controlled facility therefore medicine that require same should not be accepted. However small quantities can be refrigerated.(under 5kg.)
Films
Shipments of films (promotion, training, commercial ) are subject to censorship and will require an approval from the ministry of information prior to clearance.
Intercompany Data on CD-Rom/Disk
Data shipments to United Arab Emirates require an invoice with the value of the CD-ROM or disk only.
Magazines
Shipments of magazines are subject to National Information Office approval.
Herbal Medicine
Shipments of Herbal Medicine not cleared within 30 days of arrival,will automatically be RTSd at the shippers expense. Herbal medication must mention all the composition.
USB Sticks
Data shipments require an invoice with the character of the USB stick (storing intercompany data) and the value of the USB Stick.
Tapes (Audio, Video, Magnetic)
Shipments of tapes (audio, video, and magnetic) require Ministry of Information approval prior to clearance.
Parts
Shipments of parts require an invoice that includes a complete description of the part, the parts components, and the machine that will use the part.
Military Equipment
Shipments of military equipment requie approval from the Ministry of Defense. An Import License is also required.
Shipments of Military Equipment not cleared within 30 days of arrival,will automatically be RTSd at the shippers expense.
Antennas
Shipments of Antennas,GPS and related equipment will be automatically RTSd at the shippers expense,if not cleared within 30 days of arrival.
Telephone Equipment
Shipments of telephone equipment, telephones and/or cellular phones require an Import Permit from the local Telecommunications Authority.
Food
All food items imported into UAE require approval from Dubai Municipality before being released.Importers must submit customs documents and samples of the the food items along with the invoices and all other relevant documentation to the Dubai Municipality for approval. The required customs documents will be supplied to the importer by UPS.
UAE does not have a temperature controlled facility, therefore food items that require a temperature controlled storage can not be accepted.
Shipments of Food not cleared within 30 days of arrival,will automatically be RTSd at the shippers expense."
Gift Exemptions,"Shipment value amount:
0.00 UAE Dirham AED
Shipment type:
no gift exemption
Exemption rule:
no gift exemption

There are no official exemptions on gift items; exemptions are left to the discretion of the Customs examiner. Gift items valued up to 1,000.00 AED are considered low value and are exempt from duty. Gift items valued higher than 1,000.00 AED are charged duty at 5% on CIF value."
Invoice Requirements,"Paperless Invoice - Imports
UPS Paperless Invoice is accepted by Customs for small package imports into this country or territory.

Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Non-document shipments to the United Arab Emirates must include 1 original and 2 copies of an invoice.
Proforma Invoices must state a detailed line item description of the goods and the country or territory of manufacture . Stating only 'samples' or 'parts' is unacceptable to UAE Customs.
Invoices require the company's letterhead and signature.
It is a mandatory requirement to include the commodity classification code (Harmonized Code)on the Commercial Invoice, Country of Origin of goods and HS code.
Shipments of documents do not require an invoice.
The consignee's telephone number, mobile number and email address, if available, should appear on the invoice.
UAE customs authorities calculate duty on the base of the undiscounted CIF value of the shipment. Discounts will not be subtracted for the calculation of duty. The invoices must show the total undiscounted value. Invoices which stated solely the discounted value will not be accepted by the customs authorities.
Shipments with invoice value over AED 10,000 should be completed online by the customer before the shipment arrives to the UAE. UPS can help attest the invoice on behalf of the importer with admin charge of AED 100.
The governmental cost of attestation of a commercial invoice is AED 152.21, and if importer avails UPS services of attestation, the total charges will be AED 252.21 (AED 100 UPS charges + AED 152.21 governmental charges). Failure to Comply will result in a fine of AED 500 to the importer.
The importer in its capacity as the Importer of Record in the mainland is responsible to ensure that their invoices are attested by MOFIAC. All liabilities arising out of or in connection with delays/failure to attest belong to the importer, and the importer shall indemnify and compensate UPS for all claims, demands, penalties, fines, losses, damages, costs and expenses accordingly.
Importers have a maximum of 14 days after declaration of goods to attest the invoices to avoid any penalties.
As long as the customer fulfils the applicable requirements, there will be no impact or delays on customs clearance as Dubai Customs will allow pre-clearance for all imports as per the current process.
Should customers require assistance with attestation of invoices, UPS will support as a value-added service.
The MOFAIC exceptions will be applied to the following imports:
Goods with invoice value below AED 10,000-Personal Imports- Import from GCC (Gulf Cooperation Council) countries origin- Import into Free Zone-Transit Import-Diplomatic, Police & Military, Charitable societies & International Organizations and B2C E-Commerce movements."
Items Classified as Documents,"The destination country or territory considers the following items document shipments. If criteria are listed, the shipment must meet the criteria to be considered a document shipment.
Documents exceeding 5 kg (11 lbs.) require a commercial invoice.
Negotiable Bonds, Drafts
Cash Letters
Manuscripts
Maps
Advertising Literature
Airline Tickets
Annual Reports
Bids
Checks (Non-negotiable checks)
Forms (Blank)
Envelopes (Blank)
Stationery (Blank)
Charts
Computer Print-Outs
Intercompany Mail
Intercompany mail shipments requires a Waybill only if the shipment is for non-commercial purposes.
The waybill must include a description of intercompany mail.
The value should be of no commercial value or zero value.
Shipments not meeting this criteria require an invoice.
Manuals (Technical)
Negatives
Newspapers
Pamphlets
Passports
Event Tickets
Tickets for events like stage performances, football matches or concerts can be sent as documents up to a limit of 1 kg per shipment.
Event tickets coming from a printing company and send to the organizer of the event or ticket sales offices can not be sent as documents.
Periodicals
Photographs
Price Lists
Examination Papers
Drivers License
Proposals
Publications
Diplomas
Transparencies
Traveler's Checks
Visa Applications
Drawings
Greeting Cards, Invitations
Mylars
Newsletters (Company)
Brochures
Business Cards

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to United Arab Emirates.
Alcoholic Beverages
Personal or individual importers are permitted to import alcoholic beverages (maximum of 2 bottles) only if they are capable of providing an import permit issued by Dubai Police/CID. Shipments without alcohol import permits will be returned to the origin at the shippers expense.
Knives
Knives are prohibited except for kitchen knives.
Jewelry
All shipments containing precious metal or stones in jewelry form must comply with the following
Shipments cleared by consignee or other agent need an original invoice under shipper's letter head with the company stamp. If this cannot be provided, the consignee has to pay a deposit of AED 1000 ($US 280.00) which can be refunded when the original purchase receipt is submitted by them. Online declarations can be processed using IDIS invoice if shipment is cleared by UPS.
Shipment invoice must state the item along with the value/weight/carats Example : Description - 1 pair diamond earrings Value - US$ 2,000.00, Gold Weight - 10grams Diamonds - Carats of the diamonds. If the shipment contains gold/silver/platinum jewelry, the weight in grams must be mentioned
The consignee needs to submit their passport copy with the visa page
Jewelry shipments, generally subject to a $500 value limit, are now approved to move between these designated countries or territories up to a value of $2,500 USD per package without an International High Value Waiver (IHVW).
Jewelry for which the retail price is lower than US$150.00 per item and which do not contain precious metal(s) and/or stone(s) are considered costume jewelry and can be shipped only up to this value from the origin country or territory.
Gambling Devices
Gambling devices are prohibited.
Chemicals
On line approval needs to be obtained for Chemicals from Dubai Municipality in case the shipment is detained for approval.
Consignee will require the MSDS for this purpose.
Shipments which are not cleared within 15 days from arrival will be automatically RTSd and charged to the shipper.
Meat
Pork products are subject to municipality approval.
Tobacco Products
Tobacco Products are prohibited.
Personal Effects
Personal Effects cannot be shipped between these countries or territories.
Fireworks
Fireworks are prohibited.
Books
Religious books are prohibited. Shipments containing books will be dutiable if the value exceeds AED 1000 or US$270.00. However, if the shipment contains educational books the duty exemption may apply after approval from the National Information Office.
Pornographic Material/Toys
Adult toys for pleasure,Movies or pornographic material is prohibited in the United Arab Emirates
Aircraft Parts/Balloons
The import of balloons and light aircraft may require special clearance approval.The importation of aircraft parts,accessories and materials are restricted to airlines/flight academies.
Drugs
Any drugs (used for intoxication) including Marijuana are not allowed to be imported into United Arab Emirates. Below is the UAE law for banned substances.
The UAE maintains a strict zero tolerance policy on the use of cannabis as further explained below.
Federal Decree-Law No. 30/2021 On Combating Narcotics and Psychotropic Substances (the Law).
.The Law prohibits the procurement, import, export, manufacture, extraction, separation, production, possession, acquisition and abuse of narcotic drugs and psychotropic substances. Cannabis is specifically mentioned and its definition includes cannabis-derived products (including but not limited to hemp, hemp seeds, and THC and CBD-related products).
Narcotic, psychotropic, Marijuana and other controlled drugs/medicines of class A or B are neither freely available in the UAE, nor can they be freely imported into the country. They fall under the controlled/restricted items category.
Products Made in Iran
Products originating or destined to Iran are prohibited in our service due to a current embargo.
Electronic Cigarette / Vaping Product
Electronic Cigarettes are prohibited.
Swords
Swords are Prohibited.
Lithium Metal Batteries
Shipments of Lithium Metal Batteries are prohibited on Emirates Airlines flights which UPS uses to this destination country or territory.
Alternative arrangements are in place, but expect transit delays if the normal planned flow of the package is via Dubai, United Arab Emirates. Time in Transit may be extended due to solution found.
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Smoked Salmon
Batteries
All Used batteries packed with or contained within equipment can continue to be accepted if staying in Brown Network or transferring to CC other that UAE Registered Air Operators.
All used and/or refurbished lithium batteries when packed with or contained in equipment are not accepted for carriage by UAE Registered Air Operators – Emirates Airlines(EK), Etihad Airways(EY) and Fly Dubai(FZ).
Shipments containing used and/or refurbished lithium batteries connecting via Dubai to Commercial Flights operated by UAE Registered Carriers will not be accepted.
Batteries
All Used batteries packed with or contained within equipment can continue to be accepted if staying in Brown Network or transferring to CC other that UAE Registered Air Operators.
All used and/or refurbished lithium batteries when packed with or contained in equipment are not accepted for carriage by UAE Registered Air Operators – Emirates Airlines(EK), Etihad Airways(EY) and Fly Dubai(FZ).
Shipments containing used and/or refurbished lithium batteries connecting via Dubai to Commercial Flights operated by UAE Registered Carriers will not be accepted.
Batteries
All Used batteries packed with or contained within equipment can continue to be accepted if staying in Brown Network or transferring to CC other that UAE Registered Air Operators.
All used and/or refurbished lithium batteries when packed with or contained in equipment are not accepted for carriage by UAE Registered Air Operators – Emirates Airlines(EK), Etihad Airways(EY) and Fly Dubai(FZ).
Shipments containing used and/or refurbished lithium batteries connecting via Dubai to Commercial Flights operated by UAE Registered Carriers will not be accepted.
Batteries
All Used batteries packed with or contained within equipment can continue to be accepted if staying in Brown Network or transferring to CC other that UAE Registered Air Operators.
All used and/or refurbished lithium batteries when packed with or contained in equipment are not accepted for carriage by UAE Registered Air Operators – Emirates Airlines(EK), Etihad Airways(EY) and Fly Dubai(FZ).
Shipments containing used and/or refurbished lithium batteries connecting via Dubai to Commercial Flights operated by UAE Registered Carriers will not be accepted.
Batteries
All Used batteries packed with or contained within equipment can continue to be accepted if staying in Brown Network or transferring to CC other that UAE Registered Air Operators.
All used and/or refurbished lithium batteries when packed with or contained in equipment are not accepted for carriage by UAE Registered Air Operators – Emirates Airlines(EK), Etihad Airways(EY) and Fly Dubai(FZ).
Shipments containing used and/or refurbished lithium batteries connecting via Dubai to Commercial Flights operated by UAE Registered Carriers will not be accepted."
Service Options,"Always check Calculate Time and Cost for details of service availability and guarantee information within a country or territory. All Service Levels may not be available to or from every address within a country or territory.
India to United Arab Emirates
UPS Worldwide Express Saver
UPS Worldwide Expedited
WorldWide Express Freight Midday
UPS Worldwide Express Plus
UPS WorldWide Express Freight
UPS Worldwide Express"
