Section,Content
Import Documentation,"Import License
Customs may require an import license for certain products from certain countries or territories, depending on the harmonized tariff code.
The importer must obtain the import license from the Department for Business Innovation and Skills.
An original export license from the exporter of the country or territory of origin might be necessary to obtain the import license. The requirement of an import license is dependent on the country or territory of origin of the goods, not the country or territory of export.
For further detailed information it is highly recommended to contact your chamber of commerce.
Product Safety
Market Surveillance
Market Surveillance is organized and performed at national level. Each EU (European Union) member state is responsible for surveillance activities on its territory. Customs authorities are usually part of the market surveillance activities.
On customs request the ""Declaration of Conformity"" has to be provided by the shipper, the manufacturer or his assigned representative in the EU or the importer.
Declaration of Conformity
The Declaration of Conformity (DoC) is a document in which the manufacturer, or his authorized representative within the EU indicates that the product meets all the necessary requirements of the directives applicable for the specific product. The DoC shall contain the name and the address of the manufacturer along with information about the product (for example, brand and serial number). The DoC must be signed by an individual working for the manufacturer or his authorized representative.
On request, the manufacturer or his authorized representative within the EU must provide the DoC. In case the manufacturer is not an EU entity and has no authorized representative, the importer must be able to provide a copy of the DoC and additional proofs if requested.
Free Trade Agreements
Bilateral free trade agreements or unilateral autonomous preferential agreements allow the import clearance of certain products with a reduced duty rate or with a full duty exemption. The products benefiting from the preferential treatment must fulfil the necessary rules of originating in a country or territory covered by the preferential trade agreement.
An exporter who wants his products to benefit from the preferential treatment must be able to proof that his products fulfil the rules to be originating in a country or territory covered by the preferential trade agreement and they must provide a preferential document validated by the customs authorities or document with a valid preferential statement issued by themselves.
The preferential trade agreement foresees the following preferential proofs above.
Import Control System 2 (ICS2)
On March 1, 2023, the European Union launched Release 2 of their Import Control System 2 (ICS2) for goods transported by air to EU (European Union) destinations plus Norway, Northern Ireland and Switzerland (regardless of origin).
What is ICS2?
The Import Control System 2 (ICS2) is the second phase of electronic customs import system for the EU. This upgraded IT system is created to collect data about all goods entering the EU prior to their arrival. ICS2 aims to better protect Europes single market and its citizens with new customs safety and security measures and will facilitate free flow of trade through improved data-driven customs security processes that are adapted to global business models.
ICS2 is required for all shipments transiting via any EU country even if final destination is not a part of the EU, i.e. a shipment from Asia to the UK, where the goods are transiting via any EU country.
Importers are required to provide a six-digit Harmonized System (HS) code for each commodity line listed in the commercial invoice and/or detailed goods descriptions for the shipments to avoid potential delays, fines or penalties and facilitate customs clearance. Where more than one HS code is present, the net weight of each is also required. The Economic Operators Registration and Identification Number (EORI) for the shipment recipient / consignee is also mandatory.
When tendering a shipment to UPS Supply Chain Solutions destined to or via the EU, the following information is mandatory:
Shipper name, Shipper address, Recipient name, Recipient address, Number of packages, Gross weight, Acceptable goods description (see the full EU guidelines), Six-digit Harmonized System (HS) codes along with net weight of each where there is more than a single HS code involved. For EU-27, the recipients EORI number (see the full EU guidelines).
In a case where customers provide insufficient data to complete ICS2 data reporting requirements, UPS SCS will make a commercially reasonable effort to contact customers. If a shipper does not respond, the shipment would be held at the origin until all requirements are received.
Letters, correspondence and other document shipments of no commercial value are excluded from this requirement. For more information on HS Codes, check out our Importers Guide to HTS Codes.
For more information on ICS2, please visit the European Commission website.
Certificate of Origin
A certificate of origin is not required for the import clearance of textiles.
The country or territory of origin must be stated on the invoice for each invoice line. If the customs authorities doubt the correctness of the declared country or territory of origin they may request an additional proof which might be a certificate of origin.
Some commodities may require only an origin statement worded as follows; ""The exporter/supplier of the products covered by this invoice/document hereby declares that, except where otherwise indicated, these products are of __________ origin within the meaning of the rules in force in the European Community. Done at __________, on __________"". This must be followed by the name and address of the exporter or supplier and handwritten signature of the person authorized. Please contact your Chamber of Commerce to confirm whether a full Certificate of Origin is required. Photocopies of the Certificate of Origin are not accepted.
Form A
A Form A is only valid for imports from countries or territories covered by the Generalised System of Preferences (GSP). The products must fulfill the rules of be originating in the export country or territory Most products can be imported at a lower duty rate while others are fully exempted from duty. The Form A certificate shall be issued by the customs authorities of the exporting country or territory on application having been made by the exporter. The exporter must be able to proof at any time the originating status of his products concerned. This form is valid for products of any value and must accompany the shipment in original.
MSDS-NON DG
Goods under IATA Special Provisions A67 require a MSDS (Material Safety Data Sheet).
It is not required for all, however shipments can be held by local authority in United Arab Emirates after screening due to lack of MSDS (Material Safety Data Sheet) or NON DG (Dangerous Goods) declaration letter from the shipper resulting to misconnections and impacting end-to-end service.
It would be advisable for all shipments originating, transiting and terminating for UAE to have MSDS or NON DG declaration from shipper enclosed in the shipment and copies to be uploaded in IDIS."
Clearance Information,"Post Office Boxes
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Duty and Taxes
Please note that not only the value(s) of the commodity/commodities have to be considered when calculating duty and tax, but also the freight charge and other fees.
Clearance Comments
For shipments exceeding 15.00 GBP, a formal entry at import is required, including an imaged invoice prior to flight arrival. To assist in clearance, please forward all inquiries on brokerage related matters to: ukbrokerage@ups.com
TURN Number
TURN numbers no longer exist. The VAT/TURN system has been replaced by EORI (Economic Operator Registration & Identification) numbers. These numbers are identical in format to the VAT numbers, although for the majority of importers the 3 digit suffix (formerly TURN's) have been replaced by '000'. A new system of Branch ID codes declared with the entry to Customs identifies different cost centres/sub-divisions of a company. However, some importers have retained the full 12 digit numbers including the TURN if they are separate legal entities within a group of companies. Pseudo numbers no longer exist - the importer needs to complete an EORI application to apply for a number. The form is available to download from the HMRC website.
Please note that for shipments with a value less than 600 GBP,a temporary VAT number can be used. All shipments of 600 GBP or more require an EORI number.
Payment by Credit Card
Credit card payments are accepted upon delivery for freight and import charges by this destination. Contact UPS or the UPS service partner in the destination country or territory to determine which credit cards are accepted.
Restrictions may apply for freight collect shipments from the origin country or territory. Contact UPS or the UPS service partner in the origin country or territory prior to shipping.
Gifts & Samples
GIFTS ONLY - With effect from 12 December 2019 all gift articles imported in India will attract duties and Taxes, The change is applicable with immediate effect for all such articles imported from any origin as gifts, irrespective of their declared value or utility to the receiver."
Areas Served,"Service is provided to and from every address in the country or territory including the Isle of Man.
UPS cannot deliver to a P.O. Box address. All packages require a consignee's contact name and complete street address including apartment, suite or unit number if applicable. The consignee's telephone number should be provided if known.
Rest Days:
Sunday, Saturday, and official holidays.
GMT:
Spring +0100/ Fall +0000
Language:
English
Currency:
British Pound(GBP)"
Billing Options,"Duties and Taxes
Duties and taxes can be billed to the shipper, receiver or a third party.
When billing a third party, the third party's name, country or territory and account number are required.
If the duties and taxes are billed to an account outside of the destination country or territory, a ""Duty and Tax Forwarding"" surcharge will be applied.
Shipping Charges
Shipping charges can be billed to the shipper, receiver or a third party.
When billing the receiver, either the shipper or receiver's account number is required.
When billing to a third party, the third party's name, country or territory and account number are required.
Payment Methods
When paying by credit card, check, or cash, only the shipper can be billed the shipping charges
Split Duty And VAT (SDV)
The freight and duties can be billed to the shipper or a third party
The taxes can be billed to the receiver or a third party
A surcharge will be applied for the SDV billing option
Third-Party Billing
Please note the following third party billing exceptions:
Shipments to and from the same country or territory (domestic shipments) cannot be billed to third party payors in other countries or territories. For example, shipments from Mexico to Mexico or Canada to Canada cannot be billed to a third party payor in the U.S. This rule does not apply to UPS domestic services in European Union countries or territories as well as to UPS domestic services in the United Kingdom.For example, shipments from Germany to Germany can be billed to a third party payor in the U.S. (as long as the payor is a business and has a VAT or Tax/EIN ID on file with UPS)."
Commodity Specific Stipulations,"There are special stipulations on the following commodities when shipping to United Kingdom. If you plan to ship one of the commodities listed below, be sure to adhere to the following stipulations in order to avoid delays and holds at customs.
Samples
Please see Shipment Types for requirements to be classified as a sample.
Shoes
In order to avoid wrong customs declarations at import, it is mandatory that the exporter provide very detailed information about the shoes (for example, what kind of leather, what material used for soles and uppers, what kind of shoes (sport shoes, sandals, boots), who is to wear the shoes (children, women, men).
Antiques
Antiques can be cleared with a duty rate of 0% and with the general VAT rate if they are older than 100 years.
Meat
Meats are considered Animal Products.
Animal Products
Products Of Animal Origin are goods which contain at least partly material derived from the body of an animal. These products can be divided in food or non-food.
Food means any substance, whether processed, semi-processed or raw, which is intended for human consumption, but does not include cosmetics or substances used only as pharmaceuticals.
Non-Food (not intended for human consumption) includes animal by-products, animal feed, samples for testing or research purposes (food-grade or non-food grade), and in vitro diagnostics (IVD).
Animal products and animal by-products are often subject to a veterinary inspection. These products can only be accepted under a special contract for International Special Commodities (ISC). In addition those products must undergo veterinary checks at an approved Veterinary Border Inspection Post (BIP) when entering the EU & EFTA countries or territories (EU regulations are aligned for EU countries or territories and NO; IS; CH; LI).
For UPS shipments arriving in the EU by air, Cologne is the first point of arrival /BIP. Inspections will be processed at Cologne but final customs clearance process will be issued in the destination country or territory.
Additional charges for Vet-inspection will be applicable  see Brokerage Services and Charges.
Import requirements:
Generally, each type of Product of Animal Origin has specific import requirements that must be met. Food which is subject to veterinary inspections must:
Come from an EU listed Third Country or Territory (no safeguard measures in place)
Come from an EU approved establishment . Registered producers are listed under the following link: http://ec.europa.eu/food/international/trade/third_en.htm
Be accompanied by appropriate Health Certificate(s), signed by a veterinarian of the competent authority of country or territory of export. Photocopies of the Health Certificate will not be accepted.
Be appropriately packaged and labelled, indicating the nature, ingredients, quantity/ weight, the country or territory of origin and manufacturer.
Any foodstuff coming from non-approved establishments, sent as samples for testing purposes, can only be imported with a permit/license from a respective national veterinary authority. The permit/license must be send to the border inspection point responsible for the veterinary inspection. Delays may occur as the license needs to be provided already at the time of inspection.
Any non-compliant shipment must be returned at shippers expense immediately. The following exemptions apply to non-commercial shipments / gift shipments or purchased by private individuals for private consumption):
Meat, meat products, animal fat - max. 10 kg from Faroe Island and Greenland.
Fish and fish products (with intestines and organs removed) - max. 20 kg from all third countries or territories; no limitation from Faroe Islands.
Other animal products (for example, honey, egg, frog, live mussels - max. 10 kg from Faroe Islands and Greenland, and max. 2 kg from all other third countries or territories).
Shipments cannot be sent to Private Individuals.
Dairy
Cheese, milk, and milk products are considered animal products. Confectionary is exempt from any restrictions. Any non compliant shipment must be returned at the shipper's expense immediately.
Petfood
Pet food containing animal products may be imported into the United Kingdom if an original Health Certificate from the country or territory of origin is provided, or if the importer provides an import license from the Department of the Environment, Fisheries and Rural Affairs (DEFRA). However, pet foods from certain countries or territories may not be accepted to the United Kingdom, dependant on DEFRA regulations at the time of import. Please contact your chamber of commerce for details. Any non compliant shipment must be returned at shipper's expense immediately.
Protein Powder
If Protein powder is an animal product (for example, made of milk protein) it needs an original Health Certificate from the shipper to import and needs an inspection by the Agriculture Ministry. Brokerage charges may apply. If the above criteria are not met at the time of import, the goods cannot enter the United Kingdom and must be returned at the shipper's expense immediately.
Food Supplements
Depending on their substances of content food supplements might be classified as medicine. Vitamin and mineral supplements are usually not classified as medicine, whether they are supplied in pill, capsule, powder or liquid form.
Credit Cards
Credit cards are not considered as documents and would normally be imported under tariff 8523210000 (cards incorporating a magnetic strip) which is duty free/20% VAT.
However, if the consignment value is less than 15.00 GBP, it would be entered on the low value manifest free of import taxes.
Always provide a shipping invoice irrespective of shipment value.
This also applies to Debit Cards.
Art and Artwork
Original artwork (for example, paintings, drawings, sculptures) can be imported with a duty rate of 0% and with the general VAT rate.
Event Tickets
Tickets for events like stage performances, football matches or concerts must be sent as non-doc shipments. The invoice must show a realistic value for the price of the event.
USB Sticks
Data shipments require an invoice with the character of the USB stick (storing intercompany data) and the value of the USB Stick.
Test Reagent
Most of modern test reagents for diagnostic research are built on antibodies which are generated from animal tissue. There are two types of antibodies, the monoclonal antibodies and polyclonal antibodies.
Monoclonal antibodies are generated in vitro. Tissue from animals are taken (e.g. blood) and infected with certain substances or pathogens. The blood cells react with the production of antibodies which are than harvested and used for the production of the test kits. Due to the in vitro production and the controlled way of production those types of test kits are not subject to veterinarian control if it is a commercial production.
Polyclonal antibodies are gained from living animals like rabbits. They are infected with the substances / pathogens and the animals are producing antibodies. The antibodies are harvested from the blood stream of the animals. Test reagents with polyclonal antibodies are subject to vet inspections.
Shipment documents (commercial invoice or declaration on letterhead) should include:
 the place of origin of the material
 the quantity of the material, in weight or volume
 a description of the material/ animal source
 catalogue number and price (if available)
 additives (e.g., sodium azide, glycerol), their source (e.g., whole serum, supernatant, ascites), and purification, if any.
 protocols  the recommended protocol or datasheet indicating any unique fixation, detergent, blocking, or incubation conditions.
 the intended use (commercial/ manufacturing; research/ testing)
 the name and address of the shipper
 the name and address of the receiver
Commercially packaged, ready-to-use In Vitro Diagnostics (IVD) containing products of animal of origin, do not require a Vet-inspection, if compliant with Directive 98/79/EC on In Vitro Diagnostic Medical Devices. A declaration of conformity (CE-marking) must be provided for each individual commodity (e.g. reagents, test kits, immunosorbent assays such as ELISA kits.
Food
All food products must be adequately packaged to be accepted for import. Frozen food cannot be accepted. The UK brokerage should be contacted prior to shipping for general advising.
Based on the EU regulation 2009/669/EC certain foodstuffs (for example tea with origin China) imported from certain third countries or territories are subject to increased level of official controls due to contamination risks of these products by aflatoxinson and pathogens. These controls are carried out at Designated Point of Entries (DPE) defined by each member state.
The import of feed and food originating in or consigned from Japan following the accident at the Fukushima nuclear power station and not subject to vet inspection can only be imported into the EU through Designated Point of Entries (DPE). They have to be accompanied by a declaration attesting that the goods are either harvested or processed before March 11, 2011, originated from a prefecture other than the ones affected by higher levels of radiation or if originated from an affected prefecture have been subjected to laboratory analysis determining the level of certain radionuclides (regulation 2011/297/EC).
The customs office responsible for our import sites are not defined as DPE. Commodities subject to import controls at a DPE can t be imported with UPS.
Parts
The invoice must include a description of the part, the machine for which the part will be used, and a list of the part's components. If parts are sent for ships or aircraft in transit, the invoice should indicate ""goods in transit"".
Textiles
A certificate of origin is not required for the import clearance of textiles. The need of a certificate of origin for the import clearance was reversed on October 24, 2011.
The country or territory of origin must be stated on the invoice for each invoice line. If the customs authorities doubt the correctness of the declared country or territory of origin they may request an additional proof which might be a certificate of origin.
Fish and Fish Products
Fish and fish products are considered Animal Products.
Software
The invoice must list the value of the blank media separately from the value of the data or software.
CD Roms
An invoice is required on all shipments containing a CD-Rom/Disk and should indicate the value of the Recording Media (eg. CDR/DVD) & the Intellectual/statistical value of the software/data separately. The intellectual value is not subject to duty or VAT. This applies only for business software. Computer games are excluded.
Honey
The European Union (EU) has placed an import ban on Honey from certain countries or territories.
Before shipping Honey to a European Union country or territory, it is highly recommended to contact your local chamber of commerce or your importer for detailed information.
If the importation is allowed by the European Union, the shipment must be accompanied by an original health certificate provided by the shipper/producer, otherwise, importation will not be possible. Furthermore, a vet inspection at the first point of arrival into the EU is required, even for sample shipments.
Brokerage accessorial charges will apply and an import delay may occur.
If the shipper fails to verify the import regulation of the destination country or territory and sends honey which is prohibited by the European Union, then all charges that may apply for the respective shipment will be billed back to the shipper.
Fruit
Fruit must be accompanied by an original Phytosanitary Certificate provided by the shipper. In case of a possible phytosanitary inspection by DEFRA (Department for Environment Food and Rural Affairs), an import delay may occur."
Gift Exemptions,"Shipment value amount:
39.00 British Pound GBP
Shipment type:
individual-to-individual
Exemption rule:
per person

In addition to a detailed description of each item, write additional comments of ""gift shipment"" on the invoice and in the Special Instructions box of the UPS Waybill to insure a proper assessment of duties and taxes. Multiple gifts can be sent in the same shipment but the invoice must clearly state the name, description, and value for each person. Gift shipments from a company are treated as commercial shipments. Excise goods (e.g. alcohol, perfume, tobacco) are excluded from the gift regime."
Invoice Requirements,"Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory.

Invoice
Non-document shipments to the United Kingdom must include 1 original and 2 copies of an invoice.
All non-document shipments to the Isle of Man require invoices, including those originating in European Union countries or territories, because the Isle of Man is not part of the European Union.
Shipments of documents do not require an invoice.
The consignee's telephone number is required on the invoice for shipments to private individuals with a value above 18 GBP. The consignee's mobile number and e-mail address should also appear on the invoice if available.
Unacceptable Data Entries
Europe customs authorities have started to inspect shipments on Import Control System (I.C.S.).
Many of the inspected shipments were obviously selected because of the inadequate description of the goods.
This is a reminder that shipments to all European Union member states, Norway and Switzerland, must have a correctly keyed description of the goods on the invoice (for example):
Unacceptable Acceptable
Apparel Men's Shirts, Lingerie, Girls' Vests, Boys', Jackets
Auto Parts Automobile Brakes, Windshield Glass for Automobiles
Electronics Computers, televisions, CD Players, Walkmans, Tape Recorders, Mobile phones, Monitors, Printers
Gifts Dolls, Remote Control Cars Household goods Plates, Dishes, Tableware
A list has been published in the 'Guidelines on acceptable and unacceptable terms for the description of goods for exit and entry summary declarations':
http://ec.europa.eu/taxation_customs/resources/documents/customs/policy_issues/customs_security/
acceptable_goods_description_guidelines_en.pdf
Paperless Invoice - Exports
UPS Paperless Invoice is available for small package exports from this country or territory."
Items Classified as Documents,"The destination country or territory classifies the following items as document shipments. The items must have no commercial value. If criteria are listed, the shipment must meet the criteria to classify as a document shipment.
Airline Tickets
Validated airline tickets only
Annual Reports
Must be for shareholders or for intercompany use only.
Bids
Checks (Non-negotiable checks)
Must be personalized checks
Stationery
Must be personalized stationery and have no commercial value. The amount (number of pieces) must be appropriate for non-commercial use.
Blueprints
Must be for intercompany use or a bid invitation (such as architectural plans to obtain a contract inside the European Union) and have no commercial value.
Intercompany Data on CD-Rom/Disk
Manuals (Technical)
The number of manuals must be appropriate for the purpose
Negatives
Must be negatives, slides, or printing films being sent to press or publishing agencies.
If the value includes press or editorial charges, the items are considered non-documents and require an invoice.
Newspapers
Must be for non-commercial purposes
Passports
Valid passports can be shipped as documents. The description must clearly state 'passport'. The passports are subject to scrunity by customs. A customs inspection and delays are likely.
Examination Papers
Document Limit-20 Kgs
Diplomas
Traveler's Checks
Must be personalized to be considered documents.
Visa Applications
Completed personalized visa applications only.
Greeting Cards, Invitations
Must be personalized to be considered documents.
Non-personalized greeting cards and invitations are considered non-documents and require an invoice.
Business Cards
Document limit: up to 15 business cards
Newsletters (Company)
Document: intercompany shipments for intercompany use with no commercial value
Non-document: shipments from a publisher or printing company
Brochures
Must be non-commercial brochures or for intercompany use only.
Drivers License

UPS can recommend which forms you need based on a few simple criteria. Forms can be completed online or printed. See which forms you need."
Prohibited or Restricted Commodities,"In addition to the prohibited commodities listed here, it is prohibited to ship the following commodities to United Kingdom.
Alcoholic Beverages
Shipping of alcoholic beverages is only permitted ISC contract service.
The contractual service covers the customs clearance of alcohol at the port of entry where duty, VAT and excise duty must be paid. A customs clearance of alcohol for free circulation with a subsequent transport of alcohol under the excise duty suspension regime is not possible. The customs clearance in UK and the subsequent transport to another EU member state is not part of the service.
Alcoholic beverages are subject to excise duty. Excise duty applies usually on the amount of beverage and the percentage of alcohol. The information must be shown on the invoice. Spirits with an alcoholic strength exceeding 35% ABV sold in retail containers of 35 cl. and above need a fiscal mark/excise stamp. The consignor is responsible to get registered for tax stamps, buy them and adjust them to the bottles.
Alcoholic beverages cant be sold and delivered to under aged persons (18 years). The consignor is responsible to verify the age of the consignee prior to shipping.
Additional rules apply on the import of wine and wine products. Please check under wine.
Seeds
Seeds must be accompanied by an original Phytosanitary Certificate provided by the shipper. In case of a possible phytosanitary inspection by DEFRA (Department for Environment Food and Rural Affairs), an import delay may occur.
Miscellaneous
The following are prohibited:
Chilli
Chilli products
Curcuma
Curry Powder
Palm oil
Turmeric
Dried whole Chillies can be imported.
Bladed products:
It is forbidden to sell and deliver bladed products at a UK residential address without verifying that the recipients are over 18 years of age. Shipment should be made with the Adult Signature Required service available upon booking of the shipment with UPS.
If sending a bladed product from outside of the UK into the UK, the Adult Signature Required service must be used regardless of whether the shipment will be delivered to a residential or business address.
Corrosive products:
It is forbidden to deliver corrosive products to residential addresses or alternative delivery locations (e.g. a UPS Access Point).
It is forbidden to sell and deliver corrosive products to business addresses without verifying that the recipients are over 18 years of age. Shipment should be made with the Adult Signature Required service available upon booking of the shipment with UPS.
Furs
Import restrictions may apply. Please contact your chamber of commerce for details.
Vegetable Matter
Vegetable Matter is prohibited.
Plants
The introduction into the European Union of plants other than seeds and roots of Colocasia Schott and plants other than seeds of Mangifera L., Momordica L., Solanum melongena L. and Trichosanthes L., originating in India are prohibited.
Personal Effects
Personal Effects cannot be shipped between these countries or territories.
Wine
Shipping of alcoholic beverages is only permitted ISC contract service. For general service restrictions please see info under alcoholic beverages.
Wine and wine products are subject to excise duty. The excise duty is calculated based on the alcoholic strength by volume. The information must be shown on the invoice.
The import of wine and wine products is also regulated by a market organization of the European Union with rules on labelling and presentation of wine and additional documentation. The Importation of wine and wine products are subject to the presentation of an:
Certificate showing drawn up by a competent body, included on a list to be made public by the Commission, in the products country or territory of origin.
An analysis report drawn up by a body or department designated by the products country or territory of origin, in so far as the product is intended for direct human consumption.
No certificate or analysis report needs be presented for products originating in and exported from third countries or territories in labelled containers of not more than five liters fitted with a non-reusable closing device where the total quantity transported, whether or not made up of separate consignments, does not exceed 100 litres.
The labels of wine and wine products have to show some of the following compulsory particulars like the category of the product (e.g. wine, sparkling wine, liquor wine), the protected designation or protected geographical indication if the wine has such a protection, the actual alcohol strength by volume, an indication of provenance, an indication of the bottler or an indication of the producer or vendor in case of sparkling wine and other product categories of sparkling wine.
The rules are laid down in EU regulation 2009/491. The regulation can be checked on the EU website http://eur-lex.europa.eu/homepage.html.
Beef Jerky
Beef jerky and salami are prohibited for import, no matter what the country or territory of origin is. Any shipment received must be returned at the shipper's expense immediately.
CITES Shipments
Endangered plants and animals protected by the multilateral treaty of the Convention on International Trade in Endangered Species (CITES), must be accompanied by a valid CITES Certificate.
All import, export, re-export and introduction from the sea of species covered by the Convention has to be authorized through a licensing system.
Shipper needs to provide the following documentation:
Invoice with the scientific name and CITES certificate.
Additional charges will be applicable. Products of animals or plants subject to CITES can only be accepted under a special contract for International Special Commodities (ISC).
Medicine
Private individuals may accept medicinal products delivered by post (including express mail and courier deliveries) within and between countries of the EEA if the supplier operates legally and the medicinal product has been approved by the authorities of the country in question.
When you buy medicines in foreign online pharmacies, you must observe the import restrictions on medicines.
Buying and receiving medicines from outside the European Economic Area is prohibited for private individuals in the European Union. Only business to business shipments are allowed. The importer or buyer of the medicine is solely responsible for any risks involved in illegal medicine trade.
Rough Diamonds (Kimberley Process)
Importation into, or exportation from United Kingdom of any rough diamond is prohibited, from whatever source, unless the rough diamond has been controlled through the Kimberley Process Certification Scheme (KPCS). Rough diamonds, which have become known as conflict diamonds, are defined as diamonds used by rebel movements to finance military action opposed to legitimate and internationally recognized governments.
The KPCS is a joint government internationally recognized certification system that imposes extensive requirements on its members to enable them to certify shipments of rough diamonds as conflict-free and prevent conflict diamonds from entering legitimate trade.
Samurai Swords
A samurai sword must not be longer than 50 cm and have a curved blade. Any samurai swords larger than this will be seized. Further information can be obtained at the following website - http:ww.homeoffice.gov.uk/about-us/news/samurai-swords-banned
Plastic Kitchenware
The European Union (EU) has implemented specific conditions and detailed procedures for the import of plastic kitchenware (HS-Code 3924 1000 11) made of polyamide and melamine and originated in or consigned from China or Hong Kong (regulation 284/2011). Tableware (for example, plates, flatware, cups) are excluded from the restrictions. The reason for the new regulation were notifications and alerts by the European 'Rapid Alert System'- kitchen tableware was recognized which exceed the thresholds of aromatic amines and formaldehyde released into food.
Based on the regulation, controls must be performed at the point of introduction into the EU by the competent authorities. They include documentary checks on all consignments and identity or physical checks (including laboratory checks) on 10% of the consignments. All consignments of kitchen tableware (HS code 3924 1000) originated or consigned from China or Hong Kong must be accompanied by a declaration confirming that it meets the requirements concerning the release of primary aromatic amines and formaldehyde. The declaration shall be accompanied by a laboratory report that the consignments fulfill the requirements.
The goods and declaration must be examined at the first point of introduction into the EU.
The consignments shall be notified at the first point of introduction at least two working days in advance.
Our main points of entry (Cologne, Germany and East Midlands, United Kingdom) are not competent to perform the checks and forwarding under bond is prohibited without the checks. Products covered by the new regulation and destined to the EU can't be accepted by UPS. Exporters should clearly state on the invoice the material and the country or territory of origin of plastic kitchenware to avoid holds on commodities not subject to the regulation.
Electronic Cigarette / Vaping Product
Tobacco Products Directive 2014/14/EU (TPD)
Recently HMRC have enforced the regulations put in place in May 2016 for all operators.
Below you can see the regulations we should be abiding to:
Restrict e-cigarette tanks to a capacity of no more than 2 ml
Restrict the maximum volume of e-liquid for sale in one refill container to 10 ml.
Restrict e-liquids to a nicotine strength of no more than 20 mg/ml
Require nicotine-containing products or their packaging to be child-resistant and tamper evident.
Ban certain ingredients including colorings, caffeine and taurine.
Include new labelling requirements and warnings.
Require all e-cigarettes and e-liquids to be notified to MHRA before they can be sold.
Further information on this can be obtained from:
https://www.gov.uk/guidance/e-cigarettes-regulations-for-consumer-products
Further information regarding the TPD regulations can be obtained from:
https://ec.europa.eu/health/sites/health/files/tobacco/docs/dir_201440_en.pdf
Surgical Masks, Ventilators etc
S.No - ITC HS Codes - Description - Present Policy - Revised Policy
207 A - ex392690,ex621790,cx630790,ex901890,ex9020- Surgical Masks/ Disposable Masks (2/3 Ply Masks) - Free(As per Notification No. 48 dated 25.02.2020) - Prohibited.
207 B - ex9018 - All Ventilators - Free- Prohibited.
207 C -560311,560312,560313,560314,560391,560392,560393,560394 - Textile raw material for masks and coveralls - Free -Prohibited.
Iron and Steel products originating from Russia
Effective from 30 September 2023, 2023 Regulations, Part 5 , Chapter 4CA, Regulation 46IA and 46IB legislation.gov.uk/uksi/2023/440/regulation UK HTS Chapter 72 and 73 activates with immediate effect prohibition for import or purchase into the United Kingdom products processed in a third country using iron and steel inputs originating in Russia related to tariff headings of Chapter 72 and 73 of the Harmonized Tariff System (HTS). For products listed in 2023 Regulations, Part 5 , Chapter 4CA, Regulation 46IA and 46IB legislation.gov.uk/uksi/2023/440/regulation UK HTS Chapter 72 and 73, the third country where they have been processed prior to their import into the United Ki the Union is not relevant. In all cases, it has to be proved that they do not incorporate those iron and steel inputs originating in Russia that are listed in Annex XVII. ANNEX XVII Regulation (EU) No 833/2014 - List of iron and steel products referred to in Article 3g
As for all other restrictive measures prohibiting the import, transfer or purchase, the restriction envisaged in 2023 Regulations, Part 5 , Chapter 4CA, Regulation 46IA and 46IB legislation.gov.uk/uksi/2023/440/regulation UK HTS Chapter 72 and 73 does not concern goods which are already released for free circulation within the territory of the United Kingdom (i.e. usually already placed on the market) at the time when the respective measure enters into force.
For goods already in the United Kingdom but not yet released for free circulation, the provisions of 2023 Regulations, Part 5 , Chapter 4CA, Regulation 46IA and 46IB legislation.gov.uk/uksi/2023/440/regulation UK HTS Chapter 72 and 73 apply.
Evidence and proof of origin of Iron and Steel products:
In order to ensure the implementation of the prohibition, the same Article establishes an obligation for the importer in the United Kingdom to provide evidence of the country of origin of the iron and steel inputs used in a third country for the processing of the iron and steel products imported into the United Kingdom.
The following documents may be considered as sufficient evidence of the country of origin of the iron or steel used as inputs.
The mill test certificate (MTCT) or through other means such as:-a statement or declaration by the exporter or manufacturer confirming that, after exercising due diligence, the imported product does not contain any Russian steel or iron-other documents may be invoices, delivery notes, suppliers declarations, including suppliers declarations covering several consignments (long term suppliers declarations), business correspondence, production descriptions, quality certificates and clauses in implemented purchase orders or contracts, provided that they include information of the origin of goods, etc. The type of document(s) may also vary depending on the nature of the product, in particular for finished products (e.g. sewing needles, tubes, etc.).
The customs authorities may, in the event of reasonable doubt, require additional evidence.
It is strongly recommended commercial invoices indicate-No Russian iron and steel products were used in the production of the specified goods/parts in accordance with Regulation2023 Regulations, Part 5 , Chapter 4CA, Regulation 46IA and 46IB egislation.gov.uk/uksi/2023/440/regulation UK HTS Chapter 72 and 73
Delays in the customs entry process may occur, shipments will be RTSd in case of ineligibility of goods to the mentioned Regulation.
Knives
Flick, gravity, spring. or butterfly knives are prohibited."
Saturday Delivery,"Saturday Delivery Available: Yes
Not available in all areas. Always check the international time in transit system for details of service availability within a country or territory."
